"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"445","Patrick Brown","VGK","C","4","0.05","0.0125","-13.74","2303.82","-12.50","-4.58","1140.46","-7.14","-4.58","1149.62","-8.33","0","-4.58","-","-0.01","114.16","-0.22","-4.58","1154.2","-9.09","0","1186.26","0.00","0","-4.58","-","-6.11","-42.75","-","0","0","-","-6.62","1667.18","-9.09","0","0","-","-","100.00","1.00","0","0","0","1200","-","0","0","0","-"
"407","Adam Erne","DET","L","45","0.066666666666667","0.0014814814814815","888.3","1706.69","22.19","-10.84","1728.95","-13.24","-9.13","1746.64","-14.61","0","-6.85","-","-0.49","92.58","-7.04","895.72","1752.06","25.14","-1.43","880.03","-6.67","0","-3.71","-","1196.2","1162.71","40.74","0","-3.04","0.00","-4.12","-63.89","-","0","-1.24","0.00","-","100.00","1.00","0","0","0","900","-","0","0","0","-"
"278","Brett Ritchie","CGY","R","32","0.083333333333333","0.0026041666666667","-14.66","625.59","-13.44","-12.93","656.2","-16.85","-10.35","675.6","-18.90","-0.43","-6.47","-","-0.81","31.19","-11.75","-9.05","661.8","-13.46","-3.88","-20.26","-","-0.43","-2.59","-","-6.9","909.42","-12.00","0","-4.02","0.00","-4.36","-52.31","-","0","-1.25","0.00","-","100.00","1.00","0","0","0","720","-","0","0","0","-"
"506","Jacob Middleton","S.J","D","1","0.16666666666667","0.16666666666667","-10.06","309.72","-16.67","-10.06","319.78","-20.00","-10.06","339.89","-33.33","0","360","-","-0.81","32.38","-35.85","-10.06","360","-100.00","0","360","-","0","360","-","-13.41","0","-","0","0","-","0","-72.63","-","0","0","-","-","0.00","0.00","0","0","0","360","-","0","0","0","-"
"632","Nick Caamano","DAL","R","24","0.36666666666667","0.015277777777778","-15.35","232.28","-13.91","-12.47","256.27","-14.94","-11.03","276.9","-17.97","-0.96","-8.16","-","-0.52","15.96","-8.09","-6.24","123.82","-13.54","-1.44","-16.31","-","-0.48","-4.32","-","-6.4","186.84","-16.95","-0.64","-3.2","-16.67","-4.85","161.52","-6.09","0","-2.08","0.00","-","100.00","1.00","0","0","163.64","0","0.00","0","0","163.64","0.00"
"238","Brendan Gallagher","MTL","R","35","0.83333333333333","0.023809523809524","-18.44","194.47","-16.47","-15.81","209.29","-16.72","-13.5","10.74","-18.06","-2.63","-9.22","-","-1.03","9.44","-12.20","-9.88","15.35","-14.85","-4.28","47.96","-15.12","-1.65","-3.62","-","-7.47","-43.47","-","-0.88","-3.95","-18.18","-7.14","260.15","-12.10","-0.48","-3.81","-11.11","-","100.00","1.00","0","0","0","216","-","0","72","0","-"
"727","Sheldon Dries","COL","C","3","0.83333333333333","0.27777777777778","-4.74","178.91","-4.17","-4.74","0.85","-6.25","-4.74","29.31","-10.00","0","-9.49","-","-0.01","-2.78","-0.17","0","87.08","0.00","0","-28.46","-","0","-4.74","-","0","154.06","0.00","0","0","-","0","132.64","0.00","0","-6.85","0.00","-","100.00","1.00","0","0","0","72","-","0","0","0","-"
"799","Alexis Lafrenière","NYR","L","56","1.5166666666667","0.027083333333333","-15.54","144.98","-14.40","-13.44","127.89","-16.12","-10.92","110.58","-18.64","-1.68","-6.3","-","-1.42","9.18","-18.11","-7.77","151.4","-14.34","-4.83","20.45","-20.18","-0.42","-2.73","-","-3.92","174.6","-9.72","-0.28","-3.92","-6.67","-4.85","-7.15","-7.02","-0.3","-0.91","-25.00","-","100.00","1.00","0","0","0","197.8","-","0","0","0","-"
"53","Ryan Reaves","VGK","R","37","0.25","0.0067567567567568","-15.19","143.8","-13.64","-13.63","-66.99","-","-11.3","-48.3","-","-0.78","-5.45","-","-0.75","-6.77","-","-5.84","-52.97","-","-3.51","-19.47","-","-0.39","-2.73","-","-3.12","-44.66","-","0","-2.08","0.00","-5.06","288.16","-7.96","0","-1.13","0.00","-","-","-","0","240","0","240","-","0","240","0","-"
"186","Anders Lee","NYI","L","27","0.51666666666667","0.019135802469136","215.55","133.17","35.57","216.13","159.09","31.94","-12.1","179.83","-18.75","-1.15","110.37","-16.67","12.55","38.26","9.49","106.91","-55.88","85.84","109.79","-20.16","76.09","-1.15","-2.3","-","-3.84","-47.62","-","0","-3.84","0.00","160.25","107","39.02","0","-0.83","0.00","-","50.00","0.50","0","0","0","348.39","-","0","0","0","-"
"302","Rickard Rakell","ANA","L","52","1.3666666666667","0.026282051282051","29.29","129.07","2.75","30.2","106.63","3.43","32.71","36.87","15.32","-0.23","-7.08","-","0.63","18.82","-4.91","-6.4","127.87","-11.81","-3.43","20.83","-12.93","-0.23","-2.97","-","-3.96","142.72","-10.74","0","-3.05","0.00","59.46","-58.72","93.68","0","-2.64","0.00","0.00","100.00","1.000","87.8","0","0","307.32","100.00","87.8","0","43.9","66.67"
