"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"200","Chris Stewart","MIN","R","79","0.21666666666667","0.0027426160337553","-12.38","453.2","-10.96","-9.94","-78.5","-","-7.68","-54.25","-","-0.87","-6.11","-","-0.88","-6.65","-","-6.63","510.24","-13.19","-2.62","-22.68","-","-0.52","-3.84","-","-5.35","710.55","-16.08","-0.47","-1.4","-25.00","-6.8","-74.58","-","0","-1.51","0.00","-","-","-","0","0","0","553.85","-","0","0","0","-"
"631","Miles Wood","N.J","L","60","0.25","0.0041666666666667","-7.88","382.58","-7.49","-6.38","403.41","-7.69","-5.26","188.57","-9.27","-0.75","-7.88","-","-0.48","44.89","-6.28","-4.13","431.57","-7.86","-1.88","460.29","-8.70","-0.56","-4.13","-","-3","-38.29","-","-0.25","-2.5","-9.09","-3.52","-66.16","-","0","-2.71","0.00","-","100.00","1.00","0","240","0","0","-","0","240","0","-"
"295","Jimmy Hayes","BOS","R","58","0.26666666666667","0.0045977011494253","213.6","354.75","22.64","215.07","380.31","20.86","216.91","179.21","34.98","-1.29","-4.6","-","15.01","13.55","34.65","219.3","181.24","38.48","222.61","-18.76","88.70","-0.74","-1.84","-","-4.41","266.66","-11.69","-0.49","-2.45","-16.67","-4.52","255.94","-6.14","-0.27","-1.33","-16.67","0.00","100.00","1.000","0","0","0","450","-","0","0","225","0.00"
"457","Taylor Fedun","BUF","D","27","0.15","0.0055555555555556","-8.45","278.71","-6.51","-7.46","303.56","-7.18","-4.47","327.42","-5.81","-0.5","390.56","-5.00","-0.76","121.88","-8.19","-4.97","-60.15","-","-3.48","-30.82","-","-0.5","-6.96","-","-1.99","-39.11","-","0","-1.33","0.00","-3.59","-82.57","-","0","-2.15","0.00","-","0.00","0.00","0","0","0","400","-","0","0","0","-"
"460","Paul Thompson","FLA","R","21","0.16666666666667","0.0079365079365079","-10.86","277.79","-11.67","-9.82","290.72","-12.42","-6.72","309.33","-11.71","-0.52","-5.17","-","-0.47","20.17","-7.49","-4.14","317.09","-8.79","-1.55","-19.13","-","-0.52","-3.1","-","-3.45","448.29","-9.80","0","-1.38","0.00","-5.23","-54.52","-","0","-1.49","0.00","-","100.00","1.00","0","360","0","0","-","0","360","0","-"
"558","Nail Yakupov","STL","R","40","0.16666666666667","0.0041666666666667","-9.75","270.69","-9.84","-8.96","-66.92","-","-6.85","-49.53","-","0","-4.74","-","-0.73","-5.7","-","-5.53","-44.53","-","-3.16","-17.92","-","0","-2.11","-","-3.16","-35.48","-","0","-2.81","0.00","-3.04","457.59","-4.65","0","-0.76","0.00","-","-","-","0","0","0","360","-","0","0","0","-"
"560","Phillip Di Giuseppe","CAR","L","36","0.88333333333333","0.024537037037037","-13.3","264.26","-15.00","-11.45","217.39","-17.42","-10.34","167.94","-22.40","-2.22","64.23","-37.50","-1.11","40.86","-19.51","-6.65","100.02","-15.65","-3.69","52.78","-19.61","-1.48","-1.11","-","-3.94","62.98","-12.50","-0.99","88.1","-28.57","-4.8","242.58","-8.49","0","-1.07","0.00","-","66.67","0.67","0","0","0","203.77","-","0","0","0","-"
"712","Brett Lernout","MTL","D","2","0.23333333333333","0.11666666666667","-15.93","193.43","-20.00","-15.93","193.43","-20.00","-15.93","193.43","-20.00","-15.93","0","-","-0.81","29.06","-14.01","0","225.28","0.00","0","241.21","0.00","0","0","-","0","-21.24","-","0","0","-","-23.01","-46.02","-","-23.01","0","-100.00","-","100.00","1.00","0","257.14","0","0","-","0","257.14","0","-"
"750","Jakub Nakladal","CAR","D","3","0.23333333333333","0.077777777777778","-11.42","192.45","-15.00","-11.42","-49.47","-","-11.42","-34.25","-","0","0","-","-0.22","-2.77","-","-3.81","-19.03","-","0","-15.22","-","0","0","-","-5.07","-5.07","-","0","0","-","-10.99","-49.47","-","0","0","-","-","-","-","0","0","257.14","257.14","0.00","0","0","257.14","0.00"
"359","Richard Panik","CHI","R","82","0.43333333333333","0.0052845528455285","-7.07","164.84","-5.93","-5.52","53.97","-6.13","-5.35","-61.56","-","-0.17","-8.1","-","-0.41","1.3","-5.06","-3.97","227.61","-7.44","-1.38","-23.45","-","0","-4.48","-","-3.45","334.74","-9.09","0","-2.07","0.00","-2.99","-82.69","-","0","-2.99","0.00","-","-","-","0","0","0","553.85","-","0","0","0","-"
