"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"776","Calle Rosen","TOR","D","4","0.1","0.025","-33.58","512.69","-27.78","-33.58","532.84","-33.33","-33.58","546.27","-38.46","0","586.57","0.00","-0.81","74.04","-8.13","-6.72","539.55","-10.00","0","586.57","0.00","0","600","-","-8.96","-62.69","-","0","-17.91","0.00","-9.7","-38.81","-","0","0","-","-","0.00","0.00","0","0","600","0","0.00","0","0","600","0.00"
"511","Miles Wood","N.J","L","63","0.26666666666667","0.0042328042328042","-18.02","367.62","-17.94","-15.57","389.48","-20.46","-13.29","409.25","-24.60","-1.22","-5.07","-","-1.07","58","-16.00","-8.4","406.97","-16.33","-2.62","211.01","-15.79","-0.87","-1.57","-","-7.7","261.29","-16.58","-0.23","-2.33","-9.09","-6.06","-52.8","-","0","-2.53","0.00","-","100.00","1.00","0","225","0","225","-","0","225","0","-"
"527","Nic Petan","TOR, WPG","C, L","18","0.15","0.0083333333333333","-15.23","312.99","-14.89","-13.78","336.19","-17.76","-7.25","-47.85","-","-1.45","-6.53","-","-0.93","13.38","-15.74","-8.7","359.4","-17.65","-3.63","-13.78","-","0","-2.9","-","-6.77","497.56","-15.91","-1.93","-3.87","-33.33","-5.24","-57.6","-","0","-1.05","0.00","-","-","-","0","0","0","400","-","0","0","0","-"
"714","Carl Grundstrom","L.A","R","15","0.18333333333333","0.012222222222222","-18.25","227.42","-15.45","-17.18","246.75","-17.58","-13.96","277.88","-22.03","-1.07","-6.44","-","-1.12","2.81","-12.71","-5.37","-51.54","-","-3.22","-18.25","-","0","-2.15","-","-2.86","-44.38","-","0","0","-","-7.75","404.49","-10.20","0","-6.2","0.00","-","100.00","1.00","0","0","0","327.27","-","0","0","0","-"
"660","Nicolas Roy","CAR","C","6","0.58333333333333","0.097222222222222","-27.2","147.92","-32.00","-23.8","68.86","-41.18","-18.7","79.06","-44.00","0","94.36","0.00","-1.9","7.64","-37.87","-15.3","82.46","-42.86","-6.8","92.66","-40.00","0","97.76","0.00","-11.33","-13.6","-","0","-2.27","0.00","-9.82","104.38","-18.18","0","-2.46","0.00","-","0.00","0.00","0","0","205.71","0","0.00","0","0","205.71","0.00"
"285","Mark Alt","COL","D","2","0.81666666666667","0.40833333333333","-6","142.41","-7.14","-6","25.47","-11.11","-6","25.47","-11.11","0","-6","-","-0.75","0.34","-17.06","-6","43.47","-16.67","0","0","-","0","0","-","-8","57.96","-16.67","0","-8","0.00","0","54.12","0.00","0","0","-","-","100.00","1.00","0","0","0","73.47","-","0","0","0","-"
"480","Christian Djoos","WSH","D","45","1.0833333333333","0.024074074074074","-16","134.8","-15.57","-13.25","102.91","-17.32","-12","121.66","-21.24","-0.5","103.52","-6.45","-0.63","6.16","-8.94","-6.5","62.78","-11.93","-2.5","31.64","-9.52","-0.25","51.89","-6.67","-5.33","41.52","-14.16","0","-2.67","0.00","-6.14","108.01","-10.56","-0.36","77.47","-12.50","-","33.33","0.33","0","0","0","332.31","-","0","0","110.77","0.00"
"784","Daniel Brickley","L.A","D","4","0.85","0.2125","-10.51","127.68","-11.11","-10.51","78.11","-14.29","-10.51","88.62","-16.67","0","-10.51","-","-0.63","6.2","-8.02","-10.51","18.03","-16.67","0","39.06","0.00","0","-10.51","-","-14.01","-28.03","-","0","0","-","0","158.37","0.00","0","0","-","-","100.00","1.00","0","0","0","70.59","-","0","70.59","0","-"
"557","Nathan Walker","WSH","L","3","1.2833333333333","0.42777777777778","14.44","109.45","-9.41","17.67","38.57","-1.28","20.9","14.44","5.56","0","37.06","0.00","1.9","11.95","-0.23","37.06","104.71","3.57","-3.23","77.35","-16.67","0","40.29","0.00","53.72","36.48","25.00","0","-4.31","0.00","-18.67","11.52","-25.00","0","0","-","0.00","0.00","0.000","0","46.75","0","93.51","-","0","46.75","0","-"
"800","Jacob Nilsson","CHI","C","2","1.9833333333333","0.99166666666667","-7.38","108.49","-6.67","-7.38","70.11","-8.33","-7.38","54.61","-10.00","0","-7.38","-","0","11.6","-0.07","0","129.87","0.00","0","106.25","0.00","0","0","-","0","31.49","0.00","0","0","-","0","-30.89","0.00","0","-10.66","0.00","-","100.00","1.00","0","0","0","90.76","-","0","0","0","-"
"706","Matthew Tkachuk","CGY","L","80","0.63333333333333","0.0079166666666667","267.62","102.58","43.97","79.95","124.3","14.84","82.67","144.67","12.11","-2.72","87.5","-27.27","1.23","14.45","-7.69","179.97","140.9","33.64","88.55","72.71","28.07","-1.36","-3.32","-","121.89","90.92","38.89","-0.8","123.5","-22.22","131.83","-52.95","91.35","-0.65","-2.61","-20.00","0.00","50.00","0.500","94.74","0","0","378.95","100.00","189.47","0","0","100.00"
"552","Anthony Mantha","DET","R","67","0.3","0.0044776119402985","183.3","100.7","35.60","185.11","121.03","34.14","187.47","145","31.45","-1.27","-8.17","-","7.41","2.04","34.38","-7.08","-50.83","-","-3.45","-24.14","-","-0.73","-4.36","-","-4.84","-35.58","-","-0.24","-2.42","-9.09","281.81","224.91","40.04","-0.26","-2.88","-8.33","0.00","100.00","1.000","0","0","0","200","-","0","0","0","-"
"689","Dominik Simon","PIT","C","71","0.31666666666667","0.0044600938967136","-20.7","97.9","-18.44","-18.65","121.03","-21.41","-16.6","140.05","-25.14","-1.68","-7.27","-","-1.26","12.89","-17.19","-10.63","142.85","-18.57","-6.34","-15.29","-","-0.93","-3.54","-","-5.72","210.86","-12.04","-0.75","-3.23","-18.75","-5.93","-61.96","-","0","-1.89","0.00","-","100.00","1.00","0","0","0","568.42","-","0","0","0","-"
"222","Kyle Clifford","L.A","L","72","0.91666666666667","0.012731481481481","-15.36","96.09","-13.28","-13.37","119.76","-14.86","-10.66","144.69","-17.10","-0.54","57.87","-6.67","-0.92","10.46","-11.74","-6.87","147.4","-12.30","-3.61","46.66","-16.13","-0.18","-3.43","-","-4.34","134.31","-9.73","-0.24","84.86","-9.09","-6.52","-69.94","-","0","-3.39","0.00","-","66.67","0.67","0","0","0","327.27","-","0","0","0","-"
"650","Travis Konecny","PHI","C, R","82","1","0.01219512195122","-15.5","88.08","-14.43","-14.13","-8.98","-17.00","-11.85","9.4","-18.98","-0.61","-7.75","-","-0.89","-0.43","-11.52","-7.29","12.44","-13.30","-3.8","39.64","-15.72","-0.46","-3.65","-","-4.66","-36.26","-","-0.2","-2.84","-6.67","-5.49","114.52","-8.53","0","-2.41","0.00","-","100.00","1.00","0","0","0","240","-","0","0","60","0.00"
"517","Marko Dano","COL","C","8","0.3","0.0375","-17.35","86.54","-13.27","-17.35","125.25","-18.84","-14.68","139.93","-19.64","-1.33","-9.34","-","-0.76","5.16","-11.30","-6.67","153.28","-12.50","-4","-20.02","-","0","-2.67","-","-3.56","231.07","-9.09","0","-5.34","0.00","-7.71","-88.69","-","-1.93","-3.86","-33.33","-","100.00","1.00","0","0","0","200","-","0","0","0","-"
"297","Nick Bjugstad","FLA, PIT","C","64","1.65","0.02578125","-18.6","85.97","-16.25","-16.96","74.95","-19.39","-15.12","94.98","-23.05","-1.23","27.98","-12.77","-1.02","29.14","-14.25","-8.38","26.34","-15.30","-4.9","55.77","-22.43","-0.61","-3.27","-","-4.63","-39.24","-","-0.54","-3.54","-13.33","-5.9","37.45","-8.03","0","-3.54","0.00","-","75.00","0.75","0","0","109.09","36.36","0.00","0","0","145.45","0.00"
"623","Ondrej Kase","ANA","R","30","0.63333333333333","0.021111111111111","85.1","85.34","24.86","85.47","108.31","23.09","88.07","30.99","40.53","-0.74","-7.04","-","-0.36","26.24","-5.99","-4.82","124.62","-6.91","-2.96","64.72","-8.99","-0.74","-2.96","-","-2.47","79.87","-5.05","0","-4.45","0.00","-2.14","-52.46","-","0","-1.07","0.00","0.00","100.00","1.000","0","0","0","189.47","-","0","0","0","-"
"588","Robby Fabbri","STL","C","32","0.68333333333333","0.021354166666667","-14.36","85.15","-13.70","-13.28","16.73","-15.74","-11.13","-52.77","-","-0.72","-5.03","-","-1.04","1.2","-14.06","-7.54","36.47","-12.80","-5.38","68.06","-21.43","-0.72","-2.51","-","-2.87","-42.12","-","0","-1.91","0.00","-4.15","74.46","-7.34","0","-1.56","0.00","-","-","-","0","0","0","351.22","-","0","0","0","-"
"286","Greg McKegg","CAR","C","41","1.4833333333333","0.036178861788618","-12.14","78.41","-12.71","-11.18","97.9","-14.89","-9.27","74.7","-16.57","-1.28","-6.07","-","-1.06","-0.46","-14.56","-5.75","-39.3","-","-4.47","-20.13","-","-0.96","-3.83","-","-1.7","-25.56","-","0","-1.7","0.00","-3.23","118.06","-5.34","0","-0.92","0.00","-","100.00","1.00","40.45","0","40.45","121.35","50.00","40.45","0","161.8","20.00"
"694","Brett Seney","N.J","L","51","1.1833333333333","0.023202614379085","32.23","72.07","6.25","34.43","-8.01","28.30","36.85","-40.68","74.60","-1.54","-4.84","-","2.25","-2.41","33.67","41.25","-42.66","81.86","-3.08","-14.95","-","-1.1","-1.54","-","59.1","-36.94","81.29","-0.29","-1.76","-14.29","-5.72","171.12","-10.53","0","-2.86","0.00","0.00","-","0.00","0","0","0","202.82","-","0","0","0","-"
"419","Alex Galchenyuk","ARI","C","72","1.1333333333333","0.015740740740741","-19.1","67.16","-17.24","-17.01","-13.2","-20.46","-14.24","6.24","-23.36","-2.6","-5.03","-","-1.17","-3.73","-16.45","-7.99","6.93","-14.79","-4.34","-18.4","-","-1.22","-1.91","-","-4.86","33.78","-11.67","-0.93","-2.08","-30.77","-6.27","92","-9.33","-0.5","-2.26","-18.18","-","100.00","1.00","52.94","52.94","105.88","105.88","33.33","52.94","52.94","105.88","33.33"
"238","Chris Kreider","NYR","L","79","5.3","0.067088607594937","-15.8","65.23","-14.49","-14.12","28.06","-16.06","-11.6","24.3","-17.44","-1.12","4.05","-13.33","-1","1.23","-11.64","-8.25","15.63","-13.63","-3.78","9.07","-13.17","-0.84","8.1","-20.69","-5.97","8.74","-14.04","-0.37","-3.36","-10.00","-4.24","74.88","-7.05","0","-2.22","0.00","-","85.71","0.86","0","11.32","0","147.17","-","0","11.32","0","-"
"756","Michael Rasmussen","DET","C","62","0.73333333333333","0.011827956989247","-15.98","59.65","-13.32","-14.36","80.28","-14.70","-12.14","107.6","-17.80","-1.01","-8.7","-","-0.96","9.05","-10.45","-7.08","109.21","-11.51","-2.83","56.73","-10.14","-0.4","-3.84","-","-5.66","69.98","-12.65","-0.27","-3.51","-7.14","-7.01","-65.17","-","-0.29","-3.21","-8.33","-","100.00","1.00","0","0","0","409.09","-","0","0","0","-"
"215","Tyler Johnson","T.B","C","80","37.233333333333","0.46541666666667","0.91","56.22","-3.72","0.32","48.97","-5.56","0.9","31.93","-4.55","0.15","1.33","-2.22","-0.1","4.44","-6.61","0.75","27.37","-4.16","0.01","12.06","-5.94","0.44","-0.87","18.00","0.99","20.42","-2.99","-0.19","0.2","-9.09","1.91","43.77","-0.05","0","3.18","0.00","16.67","92.00","1.087","3.22","1.61","59.62","56.4","5.13","4.83","4.83","69.29","6.52"
"770","C.J. Smith","BUF","L","11","3.25","0.29545454545455","-17.54","53.24","-15.66","-14.84","72.13","-16.42","-14.84","93.72","-21.57","-1.35","-4.05","-","-0.65","6.16","-8.90","-6.75","68.94","-13.89","-2.7","33.8","-11.11","0","-2.7","-","-5.4","46.86","-16.67","-1.8","0","-100.00","-3.9","-12.93","-5.56","0","-1.95","0.00","-","100.00","1.00","0","0","36.92","92.31","0.00","0","0","36.92","0.00"
"668","Zach Senyshyn","BOS","R","2","0.7","0.35","-11.58","50.99","-25.00","-11.58","62.56","-33.33","-11.58","62.56","-33.33","0","85.71","-","-0.03","5.04","-1.35","0","74.14","0.00","0","0","-","0","0","-","0","98.85","0.00","0","114.29","0.00","0","-16.72","-","0","0","-","-","0.00","0.00","0","0","0","171.43","-","0","0","0","-"
"627","Andrew Mangiapane","CGY","L","44","1.7333333333333","0.039393939393939","-16.18","49.74","-15.42","-13.48","1.54","-16.61","-11.33","-46.39","-","-1.62","-6.2","-","-0.91","-0.94","-11.90","-9.71","52.34","-15.86","-5.93","-24.54","-","-1.08","-2.7","-","-5.03","102.5","-12.28","-0.36","-3.24","-10.00","-5.06","-0.64","-9.09","-0.39","-1.56","-20.00","-","-","-","0","0","0","103.85","-","0","0","0","-"
"462","Dominic Toninato","COL","C","2","0.46666666666667","0.23333333333333","-17.06","48.95","-17.65","-17.06","83.07","-27.27","-17.06","94.45","-33.33","-5.69","0","-","-1.37","3.88","-25.94","-11.37","88.76","-22.22","-5.69","-5.69","-","-5.69","0","-","-7.58","125.93","-14.29","0","0","-","0","-57.5","-","0","0","-","-","100.00","1.00","0","0","0","128.57","-","0","0","0","-"
"498","Saku Maenalanen","CAR","R","34","11.866666666667","0.34901960784314","2.4","46.19","-3.02","-2.26","56.03","-9.03","0.53","36.6","-6.67","-1.2","-1.33","-15.79","-1.01","3.64","-15.15","-6.78","14.91","-14.29","-4.79","9.98","-19.05","-1.2","0.67","-21.43","-2.66","6.57","-8.93","0","-1.6","0.00","4.42","36.91","2.32","0","-0.58","0.00","0.00","93.75","0.938","5.06","10.11","15.17","96.07","25.00","15.17","15.17","15.17","50.00"
"252","Chris Wideman","EDM, FLA, OTT","D","25","0.38333333333333","0.015333333333333","-19.36","45.57","-14.86","-17","72.48","-16.82","-14.16","87.12","-16.95","-0.47","-10.86","-","-0.86","5.23","-10.56","-9.44","-50.05","-","-6.14","-22.19","-","-0.47","-4.72","-","-4.41","-37.14","-","0","-4.41","0.00","-4.09","144.25","-4.76","0","-4.09","0.00","-","100.00","1.00","0","0","0","469.57","-","0","0","0","-"
"354","Blake Pietila","N.J","L","19","14.55","0.76578947368421","-12.62","42.93","-13.67","-10.46","39.24","-16.16","-6.14","26.4","-15.56","-2.16","-5.76","-","-1.31","4.23","-20.19","-6.67","12.59","-13.69","-5.76","6.23","-28.57","-0.72","-2.16","-","-1.22","8.49","-4.80","-1.92","-2.88","-40.00","-7.28","41.26","-11.86","0","-2.08","0.00","0.00","100.00","1.000","0","4.12","24.74","61.86","0.00","0","8.25","41.24","0.00"
"10","Deryk Engelland","VGK","D","74","237.03333333333","3.2031531531532","-13.88","41.77","-18.51","-11.26","23.27","-16.20","-7.84","22.42","-17.94","-3.89","2.4","-39.07","-1.12","2.39","-18.46","-6.9","23.51","-18.25","-5.79","11.37","-30.69","-2.34","-0.1","-32.58","-1.48","16.2","-7.78","-2.07","0.29","-50.00","-6.5","25.73","-14.96","0","3.29","0.00","1.89","86.44","0.883","0.25","6.33","35.44","6.08","0.71","3.29","11.39","59.74","5.22"
"36","Ryan Getzlaf","ANA","C","67","42.15","0.62910447761194","-0.16","40.84","-2.76","0.52","33.46","-2.79","-2.65","29.07","-6.17","-0.51","-1.39","-6.67","-0.33","5.82","-5.17","-2.79","46.92","-5.84","-1.11","20.42","-6.12","-0.51","-0.7","-12.50","-2.25","35.34","-5.49","0","0.42","0.00","-2.92","-11.54","-4.90","0","-1.46","0.00","0.00","93.33","0.933","2.85","9.96","82.56","49.82","3.33","4.27","14.23","96.8","4.23"
"367","Rocco Grimaldi","NSH","C","53","0.93333333333333","0.017610062893082","-16.32","40.78","-15.68","-13.9","58.2","-16.49","-9.04","81.59","-16.14","-0.44","-7.06","-","-0.79","1.5","-11.33","-8.6","-43.46","-","-3.31","-16.32","-","-0.44","-2.87","-","-7.06","-36.18","-","0","-3.24","0.00","-6.37","125.49","-9.57","0","-2.23","0.00","-","100.00","1.00","0","0","0","64.29","-","0","0","0","-"
"141","James van Riemsdyk","PHI","L","66","0.46666666666667","0.0070707070707071","-15.29","39.56","-14.66","-13.92","-64.9","-","-11.76","-48.23","-","-0.78","-6.47","-","-0.97","-6.27","-","-7.45","-45.1","-","-3.92","-18.82","-","-0.59","-2.55","-","-4.71","-35.03","-","-0.26","-2.88","-8.33","-5.95","127.94","-9.33","0","-2.27","0.00","-","-","-","0","0","0","514.29","-","0","0","0","-"
"325","Kenny Agostino","MTL, N.J","L","63","3.15","0.05","-15.27","38.31","-13.85","-13.76","5.87","-16.37","-10.37","4.73","-16.52","-1.32","12.64","-17.07","-0.81","0.32","-11.19","-7.16","28.49","-13.06","-3.39","-0.56","-14.75","-0.57","-2.26","-","-5.03","38.74","-11.83","-0.5","-3.52","-12.50","-5.17","-7.88","-7.60","-0.27","25.33","-11.11","-","66.67","0.67","0","0","0","152.38","-","0","0","0","-"
"335","Erik Burgdoerfer","OTT","D","4","1.1166666666667","0.27916666666667","-3.84","38.25","-3.03","-3.84","53.62","-3.45","-3.84","80.51","-4.55","0","49.89","0.00","-0.39","28.33","-4.71","-3.84","99.72","-5.88","-3.84","138.14","-14.29","0","53.73","-","0","-51.23","-","0","0","-","0","-83.24","-","0","-5.55","0.00","-","66.67","0.67","0","0","53.73","107.46","0.00","0","53.73","53.73","0.00"
"737","Tage Thompson","BUF","C, R","65","1.8666666666667","0.028717948717949","19.36","37.45","7.70","20.8","57.24","6.28","22.87","78.06","4.48","-0.62","-6.8","-","3.96","16.2","7.82","27.61","20.17","24.01","30.08","42.02","24.86","-0.41","-4.74","-","-3.3","-29.14","-","-0.27","-1.65","-14.29","-2.68","30.62","-4.13","0","-1.19","0.00","0.00","100.00","1.000","32.14","0","32.14","32.14","50.00","32.14","0","64.29","33.33"
"374","Brett Ritchie","DAL","R","53","0.43333333333333","0.0081761006289308","-14.39","37.04","-12.42","-12.23","64.13","-14.13","-10.79","83.79","-16.48","-0.24","-6.23","-","-0.86","11.92","-11.53","-6.47","87.63","-11.30","-3.6","121.68","-17.65","0","-2.16","-","-3.84","-45.4","-","0","-2.56","0.00","-5.54","-66.15","-","0","-3.12","0.00","-","100.00","1.00","138.46","0","0","0","100.00","138.46","0","0","100.00"
"54","Evgeni Malkin","PIT","C","68","2.7","0.039705882352941","3.19","36.32","-2.12","4.85","60.16","-4.90","6.7","80.48","-8.42","-1.48","15.39","-17.78","1.81","17.01","-3.97","12.98","-0.83","16.38","-5.73","28.18","-26.05","-0.92","-3.51","-","24.95","-38.68","89.20","-0.49","-2.71","-15.38","-5.87","25.83","-7.69","0","-1.87","0.00","0.00","83.33","0.833","22.22","0","22.22","377.78","50.00","22.22","0","22.22","50.00"
"414","J.T. Brown","MIN","R","56","12.783333333333","0.22827380952381","30.32","35.13","13.31","12.89","27.02","6.35","15.59","21.55","10.99","-1.12","4.66","-19.23","0.62","0.93","5.00","8.91","24.96","6.44","2.44","3.48","7.18","-0.22","3.57","-16.67","8.62","28.64","6.54","-0.6","2.96","-15.38","21.59","14.41","17.38","0","-1.62","0.00","0.00","87.50","0.875","0","18.77","9.39","89.18","0.00","0","18.77","9.39","0.00"
