"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"29","Willie Mitchell","L.A","D","76","224.66666666667","2.9561403508772","-2.71","7.07","-2.97","-2.26","5.34","-3.11","-2.43","3.13","-4.41","-0.47","1.12","-8.31","-0.11","1.63","-3.25","-0.16","6.48","-1.83","-1.93","5.34","-10.02","-0.74","-0.07","-15.84","2.36","1.52","4.98","0.36","-0.24","16.67","-1.58","2.78","-2.29","0","1.97","0.00","8.70","87.50","0.962","0.27","5.07","38.19","35.25","0.69","1.87","11.48","53.95","3.35"
"572","Victor Hedman","T.B","D","75","161.68333333333","2.1557777777778","2.54","6.97","1.33","2.12","11.14","0.65","2.43","11.94","0.87","0.65","2.52","1.19","0.29","0.94","1.86","3.66","-3.53","6.46","0.58","5.32","-1.21","-0.83","3.53","-27.45","4.1","-11.8","12.16","1.48","-2.04","50.00","-1.65","16.78","-3.00","0.54","0.75","20.00","19.23","86.23","1.055","0.74","5.57","40.08","37.48","1.82","3.34","12.62","54.92","5.73"
"701","Raphael Diaz","MTL, NYR, VAN","D","63","129.95","2.0626984126984","-4.05","6.96","-3.96","-3.21","0.39","-3.31","-2.95","-1.19","-3.57","-0.65","-2.59","4.07","0.06","-0.52","1.93","-3.92","-1.44","-5.36","-3.17","-5.13","-6.19","-1.16","-1.19","-25.00","-0.99","4.91","-3.57","1.07","-0.94","41.67","-0.41","8.52","-1.70","-0.42","-1.02","-20.00","13.64","93.27","1.069","0","5.54","49.87","29.09","0.00","1.39","10.62","66.49","2.04"
"91","Jerred Smithson","TOR","C","18","31.8","1.7666666666667","-8.14","6.73","-6.67","-7.13","-6.87","-7.07","-7.13","-15.83","-8.75","0","0.12","0.00","-0.29","-2.55","-3.06","-3.05","-8.38","-5.77","-1.02","-5.57","-4.00","0","0.57","0.00","-2.71","-3.75","-7.41","0","0.96","0.00","-5.88","17.84","-6.06","0","-1.69","0.00","-","80.65","0.81","0","3.77","83.02","37.74","0.00","1.89","9.43","109.43","1.69"
"762","Connor Carrick","WSH","D","34","43.283333333333","1.2730392156863","0.01","6.66","-0.44","1.22","6.97","0.45","-0.74","-0.74","-0.88","-0.81","4.86","-14.29","0.11","0.75","0.66","-1.9","5.83","-4.13","0.35","4.59","-0.79","-0.4","2.14","-16.67","-3","1.66","-6.99","-0.54","0.77","-33.33","-0.33","5.35","-0.55","0","3.09","0.00","0.00","83.33","0.833","2.77","2.77","4.16","70.7","40.00","4.16","4.16","13.86","23.08"
"122","Mikko Koivu","MIN","C","65","90.466666666667","1.3917948717949","2.95","6.59","1.95","1.34","12.04","0.00","0.8","6.64","0.08","1.08","2.42","8.64","-0.01","1.5","-1.49","-0.88","5.57","-2.68","-0.37","4.45","-2.78","0.42","2.33","3.75","-0.67","1.49","-2.24","0.88","1.27","20.00","1.54","1.69","1.98","0","-1.24","0.00","20.00","82.95","1.030","2.65","7.3","63.01","58.36","4.04","3.32","9.29","78.92","4.03"
"105","Niklas Kronwall","DET","D","79","242.56666666667","3.0704641350211","-0.41","6.52","-0.94","-1.6","2.08","-2.18","-2.3","2.54","-4.11","0.24","-2.27","5.36","-0.1","0.07","-1.39","-2.28","1.54","-4.38","-0.13","-2.01","0.87","-0.01","-1.87","5.83","-2.87","4.73","-8.28","0","-0.78","0.00","1.36","10.2","1.39","0.36","0.64","12.50","8.33","89.81","0.981","1.73","7.92","41.8","27.46","3.98","3.71","14.59","59.86","5.84"
"215","Zach Parise","MIN","L","67","69.533333333333","1.0378109452736","5.98","6.49","4.51","6.16","2.3","6.67","4.41","4.65","5.41","0.23","0.34","2.11","0.43","0.72","4.72","2.67","8.8","2.40","1.97","2.66","6.68","0.65","0.49","11.40","0.94","8.19","-1.17","-0.57","2.9","-25.00","0.69","-3.75","1.55","0","-3.37","0.00","8.33","85.25","0.936","5.18","9.49","28.48","83.7","15.38","8.63","10.35","33.65","20.41"
"23","Dainius Zubrus","N.J","C","82","177.28333333333","2.1619918699187","-7.65","6.32","-7.69","-7.45","10.89","-10.76","-4.78","8.92","-10.04","-1.89","-1.52","-26.47","-0.56","1.04","-8.88","-4.87","2.95","-9.39","-3.6","2.2","-15.31","-0.84","-0.82","-25.00","-1.7","1.01","-4.49","-0.56","0.13","-25.00","-2.22","6.71","-4.10","-0.91","-0.84","-33.33","0.00","92.62","0.926","0.68","11.17","39.6","42.64","1.68","2.37","12.86","54.83","4.14"
"743","J.T. Brown","T.B","R","63","60.433333333333","0.95925925925926","-2.04","6.26","-2.12","-0.86","7.15","-1.68","-1.32","13.55","-3.95","-0.53","0.98","-6.84","-0.39","0.84","-5.90","-2.09","1.92","-3.53","-0.63","-0.81","-2.12","-0.87","1.48","-20.00","-1.96","3.65","-4.53","-0.87","-0.83","-20.00","-2.16","5.25","-3.12","1.43","0.18","50.00","14.29","88.24","1.025","2.98","8.94","42.69","52.62","6.52","3.97","12.91","48.65","7.55"
