"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"406","Matt Taormina","T.B","D","3","0.36666666666667","0.12222222222222","-17.6","433.7","-23.53","-13.2","283.26","-23.08","-4.4","128.43","-11.11","0","-4.4","-","-0.99","4.73","-19.05","-8.8","132.83","-22.22","0","-8.8","-","0","0","-","-11.74","188.84","-28.57","0","-5.87","0.00","-12.71","434.59","-25.00","0","0","-","-","100.00","1.00","0","0","163.64","0","0.00","0","0","327.27","0.00"
"190","Mike Santorelli","ANA","C","70","0.26666666666667","0.0038095238095238","-15.72","353.85","-14.05","-13.31","377.78","-15.56","-8.5","401.43","-14.89","-0.99","220.04","-16.67","-1.11","95.46","-15.05","-7.65","401.71","-13.67","-3.4","430.88","-15.09","-0.57","222.73","-20.00","-5.66","-38.89","-","-0.38","-2.08","-15.38","-7.57","-64.43","-","0","-1.64","0.00","-","50.00","0.50","0","225","0","225","-","0","225","0","-"
"708","Sven Andrighetto","MTL","R","44","0.28333333333333","0.0064393939393939","-13.79","329.56","-12.79","-10.69","138.34","-12.71","-8.72","161.12","-14.69","-0.84","-6.75","-","-0.69","3.44","-9.04","-7.03","-43.89","-","-2.81","-21.66","-","-0.84","-4.22","-","-5.63","-29.63","-","0","-1.88","0.00","-5.69","541.87","-7.53","0","-1.63","0.00","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"553","Taylor Fedun","VAN","D","1","0.15","0.15","0","286.44","0.00","0","297.79","0.00","0","-90.85","-","0","-11.36","-","0","36.82","0.00","0","365.93","0.00","0","388.64","0.00","0","0","-","0","-30.28","-","0","-15.14","0.00","0","-114.83","-","0","0","-","-","-","-","0","0","400","0","0.00","0","0","400","0.00"
"26","Brad Richards","DET","C","68","0.65","0.0095588235294118","-8.99","269.85","-8.30","-7.03","204.68","-8.87","-5.23","134.76","-9.50","-0.33","-7.19","-","-0.59","17.6","-8.07","-5.88","230.83","-11.32","-2.62","73.02","-11.94","-0.33","-3.43","-","-4.36","210.41","-10.87","0","-1.96","0.00","-2.6","62.5","-3.54","0","-3.31","0.00","-","100.00","1.00","0","0","92.31","184.62","0.00","0","0","184.62","0.00"
"65","Ales Hemsky","DAL","R","75","0.58333333333333","0.0077777777777778","-13.51","209.78","-12.03","-11.72","132.8","-13.85","-9.11","54.2","-15.77","-1.63","96.51","-20.41","-1.21","12.45","-15.99","-8.14","55.5","-14.66","-3.58","84.95","-16.67","-0.98","100.25","-27.27","-6.08","-39.28","-","-0.65","-2.82","-18.75","-4","80.63","-5.56","0","-2.35","0.00","-","0.00","0.00","0","0","0","205.71","-","0","0","0","-"
"567","Max McCormick","OTT","R","20","1.3333333333333","0.066666666666667","31.87","204.68","1.86","34.49","226.35","1.90","35.81","204.33","2.01","-0.66","30.55","-4.35","0.39","33.62","-5.23","-3.94","125.49","-6.74","-1.31","65.7","-5.13","0","37.78","0.00","-3.5","79.72","-8.00","0","-5.25","0.00","60.26","120.06","19.05","0","-4.74","0.00","0.00","83.33","0.833","0","45","0","135","-","0","45","45","0.00"
"745","Ronalds Kenins","VAN","L","8","0.83333333333333","0.10416666666667","-10.91","200.7","-11.11","-9.7","218.89","-12.31","-8.49","165.07","-14.29","0","-7.28","-","-0.87","36.03","-10.93","-7.28","234.65","-12.00","-3.64","264.96","-13.64","0","-4.85","-","-4.85","-40.42","-","0","-3.23","0.00","-5.25","-47.29","-","0","0","-","-","100.00","1.00","0","72","0","0","-","0","72","0","-"
"531","Teemu Pulkkinen","DET","L","36","0.4","0.011111111111111","-8.06","197.65","-7.30","-7.13","224.01","-8.58","-4.96","93.86","-8.12","-0.31","-5.89","-","-0.55","18.85","-8.05","-4.65","105.96","-9.55","-2.48","132.32","-12.31","-0.31","-3.1","-","-2.89","-35.15","-","0","-1.65","0.00","-2.69","135.58","-3.21","0","-2.24","0.00","-","100.00","1.00","0","0","0","150","-","0","0","0","-"
"784","Markus Hannikainen","CBJ","L","4","0.2","0.05","-5.45","180","-4.35","-5.45","196.36","-5.00","0","-60","-","0","-16.36","-","-0.02","0.59","-0.21","0","-65.45","-","0","-21.82","-","0","-5.45","-","0","-58.18","-","0","-14.55","0.00","0","370.3","0.00","0","0","-","-","-","-","0","0","0","300","-","0","0","0","-"
