"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"26","Eric Staal","MIN","C","81","21","0.25925925925926","0","2.86","0","2.86","2.86","100.00","8.57","0.00","0.08","8.57","8.57","2.86","0","0","0","0","0","0","0","0","0","2.86","2.86","0","2.86","0","17.14","25.71","114.29"
"154","Carl Gunnarsson","STL","D","25","42.35","1.694","0","1.42","0","1.42","1.42","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1.42","0","4.25","0","9.92","0","0","-"
"124","Andrew MacDonald","PHI","D","47","89.85","1.9117021276596","0","1.34","0","1.34","1.34","100.00","0.67","0.00","0.06","0.67","0.67","0.67","0","0","0","4.01","2","2","0","0","0.67","1.34","0","1.34","2.67","10.02","0","0","-"
"246","Brian Dumoulin","PIT","D","76","179.58333333333","2.3629385964912","0","1.34","0","1.34","1.34","80.00","1.67","0.00","0","3.01","1.67","1","0","0.33","0.33","0","0","0","0","0","0","2.34","2","4.68","1.67","9.35","0","0","-"
"337","Taylor Fedun","DAL","D","54","50.966666666667","0.94382716049383","0","1.18","0","1.18","1.18","100.00","2.35","0.00","0","2.35","2.35","0","0","1.18","0","0","0","0","0","0","0","0","1.18","0","0","7.06","0","0","-"
"95","Darren Helm","DET","L","61","115.26666666667","1.8896174863388","0.52","1.56","0.52","1.04","2.08","200.00","8.85","5.88","0.65","13.01","11.97","5.21","2.6","3.12","0.52","0","0","0","0","0","1.04","1.04","2.6","1.04","1.04","1.56","3.12","3.12","26.03"
"353","Fredrik Claesson","NYR","D","37","58.566666666667","1.5828828828829","0","1.02","0","1.02","1.02","50.00","2.05","0.00","0.11","2.05","2.05","1.02","1.02","0","0","2.05","1.02","1.02","0","0","0","3.07","2.05","5.12","0","4.1","0","0","-"
"597","Marcus Pettersson","ANA, PIT","D","84","68.833333333333","0.81944444444444","0","0.87","0","0.87","0.87","25.00","0.87","0.00","0.01","0.87","0.87","0","0","0","0","0","0","0","0","0","0.87","0","0.87","1.74","2.62","12.2","0","0","-"
"528","Carl Dahlstrom","CHI","D","38","71.583333333333","1.8837719298246","0","0.84","0","0.84","0.84","50.00","2.51","0.00","0.03","2.51","2.51","0","0","0.84","0","1.68","0.84","0.84","0","0","0","1.68","0.84","2.51","0","5.03","0","0","-"
"37","Brent Burns","S.J","D","82","165.5","2.0182926829268","0.36","1.45","0.73","0.73","1.81","100.00","3.26","11.11","0.17","5.08","4.35","1.81","0.73","0.36","0","0.73","0.36","0.36","0","0","0.36","5.44","5.08","4.35","1.09","2.9","0","0.36","0.00"
"472","Matthew Benning","EDM","D","70","87.35","1.2478571428571","0","0.69","0","0.69","0.69","25.00","1.37","0.00","0","2.06","1.37","0","0","0.69","0","2.75","1.37","1.37","0","0","1.37","1.37","0.69","7.56","2.06","5.5","0","0","-"
"300","Cam Fowler","ANA","D","59","88.283333333333","1.4963276836158","0","0.68","0","0.68","0.68","inf","1.36","0.00","0","1.36","1.36","0","0","0","0","0","0","0","0","0","0","2.04","1.36","0.68","0","6.12","0","0","-"
"248","Mattias Ekholm","NSH","D","80","179.23333333333","2.2404166666667","0","0.67","0","0.67","0.67","66.67","1.34","0.00","0.12","2.34","2.01","0.67","0.67","0","0.33","0.67","0.33","0.33","0","0","0","3.35","0.33","2.01","1","6.36","0","0","-"
"147","Thomas Hickey","NYI","D","40","90.233333333333","2.2558333333333","0","0.66","0","0.66","0.66","25.00","0.66","0.00","0.05","1.99","1.33","0","0","0.66","0","1.33","0.66","0.66","0","0","0","1.99","0","1.99","1.99","15.29","0","0","-"
"77","Jack Johnson","PIT","D","82","185.65","2.2640243902439","0","0.65","0","0.65","0.65","40.00","1.29","0.00","0.01","1.29","1.29","0","0","0","0","0","0","0","0","0","0.32","2.26","0.65","8.08","0.65","9.05","0","0","-"
"389","Mark Scheifele","WPG","C","82","95.733333333333","1.1674796747967","0","1.88","1.25","0.63","1.88","75.00","4.39","0.00","0.26","6.27","4.39","2.51","0.63","0","0","1.25","0.63","0.63","0","0","0","2.51","6.27","0.63","2.51","5.01","26.95","36.98","26.42"
"118","Michael Grabner","ARI","R","41","96.666666666667","2.3577235772358","3.72","1.86","1.24","0.62","5.59","90.00","7.45","50.00","0.9","10.55","9.93","6.83","3.72","1.86","0","0","0","0","0","0","0.62","1.86","3.1","3.1","1.86","2.48","2.48","3.72","24.83"
"652","Brandon Carlo","BOS","D","72","199.06666666667","2.7648148148148","0","0.6","0","0.6","0.6","66.67","1.51","0.00","0.05","1.81","1.51","0.3","0.3","0","0","0","0","0","0","0","0.6","0.9","2.11","5.73","0.6","5.12","0","0","-"
"150","Brendan Smith","NYR","D","63","100.85","1.6007936507937","0","0.59","0","0.59","0.59","100.00","1.78","0.00","0.15","4.16","3.57","1.19","0.59","0","0","2.38","1.19","1.19","0","0","2.38","2.97","2.38","3.57","0.59","5.95","0","0","-"
"52","Mark Giordano","CGY","D","78","206.96666666667","2.6534188034188","1.16","0.58","0","0.58","1.74","54.55","1.74","66.67","0.19","3.19","2.32","1.45","1.16","0","0.58","0.58","0.29","0.29","0","0","0.58","2.61","2.61","1.45","0.87","9.28","0","0","-"
"169","Nick Holden","VGK","D","61","106.41666666667","1.7445355191257","0","1.13","0.56","0.56","1.13","50.00","2.26","0.00","0.08","3.38","3.38","0.56","0.56","0.56","0","0","0","0","0","0","0.56","0.56","1.69","1.13","1.13","5.07","0","0","-"
"241","Reilly Smith","VGK","R","74","114.08333333333","1.5416666666667","0.53","1.58","1.05","0.53","2.1","100.00","5.79","9.09","0.89","9.99","8.94","7.36","4.21","1.05","0.53","0","0","0","0","0","0.53","1.05","8.41","2.1","0.53","1.58","1.05","0.53","35.06"
"443","Colton Parayko","STL","D","80","113.43333333333","1.4179166666667","0","0.53","0","0.53","0.53","inf","2.12","0.00","0","2.64","2.64","0","0","0","0","2.64","0.53","0","0.53","0","2.12","1.59","1.59","3.17","0.53","8.46","0","0","-"
"103","Brad Marchand","BOS","L","79","123.96666666667","1.5691983122363","1.45","1.94","1.45","0.48","3.39","100.00","4.84","30.00","0.64","7.74","6.78","5.81","2.42","0.48","0.48","6.78","1.45","0.97","0","0.48","2.42","3.87","4.36","1.94","2.9","3.87","0.48","2.9","6.91"
"196","Marco Scandella","BUF","D","63","126.3","2.0047619047619","0","0.48","0","0.48","0.48","100.00","1.9","0.00","0.02","1.9","1.9","0","0","0","0","0.95","0.48","0.48","0","0","0","3.8","0.95","1.9","0.95","5.23","0","0","-"
"314","Mark Pysyk","FLA","D","70","124.78333333333","1.782619047619","0","0.48","0","0.48","0.48","100.00","0","-","0","0","0","0","0","0","0","1.92","0.96","0.96","0","0","0","0.96","2.4","5.77","1.44","8.17","0","0","-"
"91","Vladimir Sobotka","BUF","C","69","130.51666666667","1.8915458937198","0","0.46","0","0.46","0.46","50.00","2.3","0.00","0.16","3.22","3.22","1.38","0","1.38","0","0","0","0","0","0","0.46","1.38","1.38","1.84","0.46","3.22","16.09","17.47","22.04"
"94","Niklas Hjalmarsson","ARI","D","82","260.28333333333","3.1741869918699","0","0.46","0","0.46","0.46","15.38","1.61","0.00","0","1.61","1.61","0","0","0.23","0","0.92","0.46","0.46","0","0","0.69","2.07","1.61","1.15","1.61","11.53","0","0","-"
"350","Dylan DeMelo","OTT","D","77","131.75","1.711038961039","0","0.46","0","0.46","0.46","33.33","1.37","0.00","0.17","1.82","1.37","0.91","0.91","0","0.46","0","0","0","0","0","0.46","0.46","0","2.28","1.37","6.83","0","0","-"
"35","Eric Fehr","MIN","C","72","136.43333333333","1.8949074074074","0","0.44","0","0.44","0.44","100.00","3.08","0.00","0.44","5.72","5.28","3.96","1.76","0.44","0","0.88","0.44","0.44","0","0","0","0.44","3.52","1.32","0.88","7.04","41.78","42.22","21.87"
"89","Kris Russell","EDM","D","72","140.5","1.9513888888889","0","0.43","0","0.43","0.43","33.33","0.43","0.00","0","0.43","0.43","0","0","0","0","0.85","0.43","0.43","0","0","0","3.84","1.71","3.42","0.43","14.09","0","0","-"
"98","Dan Girardi","T.B","D","62","140.2","2.2612903225806","0","0.43","0","0.43","0.43","25.00","0.43","0.00","0.02","0.43","0.43","0.43","0","0","0","0","0","0","0","0","0","1.28","1.28","3.85","1.71","9.42","0","0","-"
"164","Jake Muzzin","L.A, TOR","D","80","140.78333333333","1.7597916666667","0","0.43","0","0.43","0.43","100.00","1.7","0.00","0.02","1.7","1.7","0","0","0.43","0","0.85","0.43","0.43","0","0","0.43","5.11","0.85","5.11","0.43","9.38","0","0","-"
"417","Yanni Gourde","T.B","C","80","139.86666666667","1.7483333333333","0.43","0.43","0","0.43","0.86","100.00","3","14.29","0.57","3.86","3.86","2.14","1.29","0.43","0","0.86","0.43","0.43","0","0","0.86","1.72","4.29","2.14","2.14","1.72","2.57","4.29","16.09"
"177","Alex Pietrangelo","STL","D","71","146.13333333333","2.0582159624413","0","0.41","0","0.41","0.41","25.00","4.11","0.00","0.2","4.52","4.11","1.23","1.23","0.82","0.82","0","0","0","0","0","1.23","1.23","4.52","4.11","1.64","8.21","0","0","-"
"683","Derek Ryan","CGY","C","81","155.28333333333","1.9170781893004","0","1.55","1.16","0.39","1.55","80.00","2.7","0.00","0.29","3.86","3.48","2.32","1.55","0.77","0","0","0","0","0","0","1.16","1.16","3.48","0","0.39","2.7","22.8","15.07","23.26"
"135","Nick Bonino","NSH","C","81","158","1.9506172839506","0","0.38","0","0.38","0.38","50.00","2.28","0.00","0.27","5.7","4.56","2.28","0.38","0.38","0","0","0","0","0","0","0.38","1.14","3.04","0","0.38","4.18","28.86","33.8","17.49"
