"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"405","Artemi Panarin","NYR","L","82","2.8166666666667","0.034349593495935","0","21.3","0","21.3","21.3","100.00","0","-","0.35","21.3","21.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"713","Jamie Drysdale","ANA, PHI","D","34","6.3333333333333","0.18627450980392","0","9.47","0","9.47","9.47","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"734","Ilya Solovyov","CGY","D","10","13.366666666667","1.3366666666667","0","4.49","0","4.49","4.49","50.00","4.49","0.00","0","4.49","4.49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.98","0","0","-"
"130","Ryan Johansen","COL","C","63","19.516666666667","0.30978835978836","0","3.07","0","3.07","3.07","100.00","3.07","0.00","0.02","3.07","3.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.22","119.9","98.38","168.87"
"527","Josh Norris","OTT","C","50","35.783333333333","0.71566666666667","0","1.68","0","1.68","1.68","100.00","1.68","0.00","0.06","3.35","3.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.68","16.77","25.15","67.07"
"149","Nick Seeler","PHI","D","71","139.9","1.9704225352113","0","1.72","0.43","1.29","1.72","66.67","0.86","0.00","0.09","2.14","1.72","0.86","0","0","0","0","0","0","0","0","0.86","2.14","0.86","4.29","0.43","18.87","0","0","-"
"524","Timothy Liljegren","TOR","D","55","59.633333333333","1.0842424242424","0","1.01","0","1.01","1.01","100.00","1.01","0.00","0.13","2.01","2.01","1.01","1.01","1.01","0","0","0","0","0","0","1.01","2.01","2.01","8.05","1.01","9.06","0","0","-"
"521","Henri Jokiharju","BUF","D","74","68.25","0.9222972972973","0","0.88","0","0.88","0.88","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0.88","0","0.88","0.88","1.76","2.64","0","0","-"
"327","Warren Foegele","EDM","L","82","72.366666666667","0.88252032520325","0.83","0.83","0","0.83","1.66","100.00","9.12","9.09","1.18","15.75","14.92","9.95","4.15","2.49","1.66","0","0","0","0","0","0","0","3.32","1.66","0","4.97","0","0","-"
"170","Sean Couturier","PHI","C","74","84.2","1.1378378378378","0","1.43","0.71","0.71","1.43","100.00","7.13","0.00","0.52","7.13","7.13","3.56","1.43","0.71","0","1.43","0.71","0.71","0","0","0","2.85","5.7","0","0","2.14","21.38","31.35","28.89"
"192","Brady Skjei","CAR","D","80","175.83333333333","2.1979166666667","0.34","1.02","0.34","0.68","1.36","66.67","2.73","12.50","0.07","3.41","3.07","0.68","0","0.34","0","0","0","0","0","0","0.68","1.02","1.71","2.39","0.68","6.14","0","0","-"
"239","MacKenzie Weegar","CGY","D","82","179.33333333333","2.1869918699187","0","0.67","0","0.67","0.67","40.00","1.34","0.00","0.04","1.34","1.34","0","0","0.33","0","1.34","0.33","0.33","0","0","0.67","2.01","1.34","5.02","1.34","15.06","0","0","-"
"646","Cam York","PHI","D","82","192.63333333333","2.3491869918699","0","0.62","0","0.62","0.62","28.57","1.87","0.00","0.03","2.18","1.87","0.31","0","0.31","0","0","0","0","0","0","0.31","1.25","0.62","2.18","0.93","10.59","0","0","-"
"741","Janis Moser","ARI","D","80","193.23333333333","2.4154166666667","0","0.62","0","0.62","0.62","50.00","0.62","0.00","0.15","1.24","1.24","0.62","0.62","0.31","0","0","0","0","0","0","0.31","0.93","1.24","1.24","1.55","7.76","0","0","-"
"51","Zach Bogosian","MIN, T.B","D","65","98.666666666667","1.5179487179487","0","0.61","0","0.61","0.61","100.00","0","-","0.01","0.61","0.61","0","0","0","0","2.43","1.22","1.22","0","0","0.61","1.22","1.22","6.08","0.61","7.91","0","0","-"
"529","Cale Makar","COL","D","77","196.4","2.5506493506494","0.31","0.92","0.31","0.61","1.22","80.00","3.36","9.09","0.13","4.58","3.97","1.53","0","0.92","0.31","0","0","0","0","0","0.61","1.22","2.75","0.92","0","7.94","0","0","-"
"292","Trevor van Riemsdyk","WSH","D","70","111.2","1.5885714285714","0","0.54","0","0.54","0.54","100.00","2.16","0.00","0.21","3.24","2.7","1.08","0.54","0.54","0.54","0","0","0","0","0","1.08","1.62","0.54","0","0","5.4","0","0","-"
"566","Martin Fehervary","WSH","D","66","111.73333333333","1.6929292929293","0","0.54","0","0.54","0.54","100.00","0","-","0","0","0","0","0","0","0","1.07","0.54","0.54","0","0","0.54","0","0","4.3","0.54","10.2","0","0","-"
"407","Derek Ryan","EDM","C","70","112.25","1.6035714285714","1.07","0.53","0","0.53","1.6","100.00","3.21","33.33","0.47","4.81","4.28","3.21","2.67","0.53","1.07","1.07","0.53","0.53","0","0","1.6","0.53","2.67","3.74","0.53","1.6","35.28","40.09","25.02"
"420","Matt Roy","L.A","D","81","231.86666666667","2.8625514403292","0","0.52","0","0.52","0.52","28.57","1.04","0.00","0","1.29","1.04","0.26","0","0.52","0","1.04","0.52","0.52","0","0","0.26","1.55","0.78","4.92","0.78","12.68","0","0","-"
"26","Jeff Petry","DET","D","73","120.66666666667","1.6529680365297","0","0.5","0","0.5","0.5","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","5.47","0.5","10.94","0","0","-"
"210","Chandler Stephenson","VGK","C","75","119.36666666667","1.5915555555556","1.01","0.5","0","0.5","1.51","75.00","3.52","28.57","0.44","4.02","4.02","2.51","2.51","2.01","0","0","0","0","0","0","0.5","0","3.02","1.51","1.01","2.01","16.59","19.6","23.04"
"374","Travis Konecny","PHI","R","76","119.03333333333","1.5662280701754","3.02","0.5","0","0.5","3.53","87.50","12.1","25.00","1.09","16.13","14.62","9.58","3.02","3.53","0.5","2.02","1.01","1.01","0","0","0.5","1.51","4.54","7.56","1.01","2.02","1.51","3.02","16.80"
"173","Jamie Oleksiak","SEA","D","82","244.25","2.9786585365854","0","0.49","0","0.49","0.49","66.67","0.74","0.00","0.05","0.98","0.98","0.25","0.25","0.25","0.25","0.98","0.49","0.49","0","0","0.25","1.47","0.49","3.19","0.49","13.51","0","0","-"
"617","Yegor Sharangovich","CGY","C","82","123.88333333333","1.5107723577236","1.45","1.94","1.45","0.48","3.39","100.00","6.3","23.08","0.62","9.2","7.26","5.33","2.42","1.45","0.48","0","0","0","0","0","0","1.45","3.39","0.97","1.45","1.45","7.26","8.72","22.01"
"83","Chris Kreider","NYR","L","82","129.96666666667","1.5849593495935","0.92","1.38","0.92","0.46","2.31","83.33","9.69","9.52","1.24","14.77","13.39","10.16","6","3.23","0.46","0","0","0","0","0","1.38","1.38","2.77","0.46","0.92","0.92","0.92","3.69","9.23"
"162","William Karlsson","VGK","C","70","132.13333333333","1.887619047619","0.45","0.45","0","0.45","0.91","100.00","4.54","10.00","0.63","6.81","6.81","4.99","3.18","0.45","0","0","0","0","0","0","0.91","0.45","1.82","0.45","0.91","4.54","10.9","12.26","21.37"
"506","Urho Vaakanainen","ANA","D","68","132.75","1.9522058823529","0","0.45","0","0.45","0.45","25.00","1.36","0.00","0.04","1.36","1.36","0.45","0","0.9","0","0","0","0","0","0","0","1.81","0","0.9","0.45","9.04","0","0","-"
"194","Scott Laughton","PHI","C","82","139.1","1.6963414634146","0.86","2.59","2.16","0.43","3.45","100.00","8.2","10.53","1.05","10.78","9.92","7.76","3.45","1.29","0.43","3.45","1.73","1.73","0","0","2.16","0.86","1.73","1.29","0.86","3.88","29.33","30.63","21.10"
"213","Adam Pelech","NYI","D","58","146.65","2.5284482758621","0","0.41","0","0.41","0.41","50.00","1.64","0.00","0.25","1.64","1.64","1.23","0","0.82","0","0","0","0","0","0","0.41","1.64","1.23","2.45","0","15.14","0","0","-"
"133","Mikael Granlund","S.J","C","69","149.33333333333","2.1642512077295","0","0.4","0","0.4","0.4","100.00","1.61","0.00","0.16","2.41","2.01","2.01","1.61","0","0.4","1.61","0.8","0.8","0","0","1.21","0.4","4.42","0.8","0.8","4.42","18.88","18.48","20.31"
"145","Josh Manson","COL","D","76","151.41666666667","1.9923245614035","0.4","0.4","0","0.4","0.79","100.00","1.98","20.00","0.15","2.77","2.77","0.79","0","0","0","1.98","0.4","0","0.4","0","1.19","0.4","3.17","8.32","1.98","9.91","0","0.4","0.00"
"576","K'Andre Miller","NYR","D","80","150.43333333333","1.8804166666667","0","0.4","0","0.4","0.4","16.67","0.8","0.00","0.34","2.79","2.39","1.2","1.2","0.4","0","1.6","0.8","0.8","0","0","0.8","0.8","3.19","1.2","1.2","4.39","0","0","-"
"168","Mika Zibanejad","NYR","C","81","154.03333333333","1.901646090535","0.78","1.56","1.17","0.39","2.34","85.71","4.28","18.18","0.4","7.01","7.01","3.51","0.78","0.78","0.78","0","0","0","0","0","1.56","0.78","5.45","0.39","0.78","3.51","22.59","37","14.77"
"330","Jake Walman","DET","D","63","154.25","2.4484126984127","0","0.39","0","0.39","0.39","20.00","1.94","0.00","0.08","3.11","2.33","0.78","0.78","1.56","0.39","0.78","0.39","0.39","0","0","1.94","1.94","1.94","0.78","0.78","12.84","0","0","-"
"482","Vincent Desharnais","EDM","D","78","159.56666666667","2.0457264957265","0","0.38","0","0.38","0.38","33.33","0","-","0","0","0","0","0","0","0","2.26","1.13","1.13","0","0","0.38","1.13","0.38","7.14","1.13","14.29","0","0","-"
