"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"518","Jeff Skinner","CAR","C, L","82","1.9833333333333","0.024186991869919","0","0","0","0","0","-","30.25","0.00","5.74","30.25","30.25","30.25","30.25","0","0","60.5","30.25","30.25","0","0","0","0","0","0","30.25","0","0","0","-"
"519","Zach Hyman","TOR","C","16","25.966666666667","1.6229166666667","0","0","0","0","0","-","2.31","0.00","0.28","6.93","4.62","2.31","0","0","0","0","0","0","0","0","2.31","0","4.62","4.62","0","2.31","0","0","-"
"520","Alexander Burmistrov","WPG","C","81","162.71666666667","2.0088477366255","0","0.37","0.37","0","0.37","100.00","2.95","0.00","0.27","3.32","2.95","1.84","1.11","0","0.37","0.74","0.37","0.37","0","0","0.37","1.84","1.84","1.84","0.37","4.06","9.59","10.69","17.43"
"521","Erik Gudbranson","FLA","D","64","207.33333333333","3.2395833333333","0","0","0","0","0","0.00","0.58","0.00","0.02","1.16","0.58","0.29","0","0.58","0","1.16","0.58","0.58","0","0","1.16","2.6","0.29","5.21","1.74","7.52","0","0","-"
"522","Taylor Hall","EDM","L","82","4.0833333333333","0.04979674796748","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.69","0","0","0","0","-"
"523","Brett Connolly","BOS","R","71","1.0666666666667","0.015023474178404","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"524","Ryan Johansen","CBJ, NSH","C","80","13.1","0.16375","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","4.58","0","0","9.16","0","0","64.12","68.7","221.11"
"525","Tyler Seguin","DAL","C","72","1.6","0.022222222222222","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.5","37.5","1875.00"
"526","Dylan McIlrath","NYR","D","34","32.2","0.94705882352941","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","7.45","0","0","1.86","0","5.59","0","0","-"
"528","Jarred Tinordi","ARI, MTL","D","10","19.133333333333","1.9133333333333","0","0","0","0","0","-","3.14","0.00","0.1","6.27","3.14","0","0","0","0","0","0","0","0","0","0","3.14","0","12.54","3.14","6.27","0","0","-"
"529","Mikael Granlund","MIN","C","82","48.233333333333","0.58821138211382","1.24","0","0","0","1.24","100.00","2.49","50.00","0.97","3.73","3.73","1.24","0","1.24","0","2.49","1.24","1.24","0","0","1.24","0","1.24","0","1.24","4.98","21.15","9.95","84.59"
"530","Nino Niederreiter","MIN","R","82","4","0.048780487804878","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"531","Teemu Pulkkinen","DET","L","36","0.4","0.011111111111111","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"532","Joakim Nordstrom","CAR","C, L","71","117.8","1.6591549295775","0.51","0","0","0","0.51","50.00","1.53","33.33","0.09","3.06","1.53","1.53","1.02","0","0","0","0","0","0","0","1.02","0.51","3.06","0","1.53","3.06","1.02","1.02","25.47"
"533","Bryan Rust","PIT","R","41","10.783333333333","0.2630081300813","0","0","0","0","0","-","5.56","0.00","0.88","22.26","16.69","11.13","0","0","0","0","0","0","0","0","0","0","0","5.56","5.56","0","0","0","-"
"534","Julian Melchiori","WPG","D","11","4.3166666666667","0.39242424242424","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.9","0","0","-"
"535","Stanislav Galiev","WSH","R","24","0.66666666666667","0.027777777777778","0","0","0","0","0","-","90","0.00","5.39","90","90","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"536","Joonas Donskoi","S.J","R","76","4.6833333333333","0.061622807017544","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"537","John Ramage","CBJ","D","1","0.35","0.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"538","Tom Kuhnhackl","PIT","R","42","41.266666666667","0.98253968253968","2.91","0","0","0","2.91","66.67","5.82","50.00","0.69","7.27","7.27","5.82","2.91","1.45","0","2.91","1.45","1.45","0","0","0","0","1.45","1.45","1.45","1.45","0","2.91","0.00"
"539","Sam Carrick","TOR","C","3","4.7666666666667","1.5888888888889","0","0","0","0","0","-","12.59","0.00","0.2","12.59","12.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.59","0","1258.74"
"540","Brendan Gallagher","MTL","R","53","3.0666666666667","0.057861635220126","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","19.57","0","0","0","0","0","0","-"
"541","Jesper Fast","NYR","R","79","172.1","2.1784810126582","0","0","0","0","0","-","0.7","0.00","0.08","1.39","1.39","1.05","0.35","0","0","0","0","0","0","0","1.74","0.7","2.44","2.09","1.05","6.62","0","1.05","0.00"
"542","Kevin Gravel","L.A","D","5","1.6833333333333","0.33666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"543","Anthony Bitetto","NSH","D","28","1.4166666666667","0.050595238095238","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"545","Freddie Hamilton","CGY","C","4","3.3666666666667","0.84166666666667","17.82","0","0","0","17.82","100.00","17.82","100.00","4.01","17.82","17.82","17.82","17.82","17.82","0","0","0","0","0","0","0","0","0","0","0","0","0","17.82","0.00"
"546","Zach Trotman","BOS","D","38","68.466666666667","1.8017543859649","0","0","0","0","0","0.00","0","-","0","1.75","0","0.88","0","0","0","0","0","0","0","0","0","0.88","0","3.51","1.75","7.01","0","0","-"
"547","John Klingberg","DAL","D","76","7.5333333333333","0.099122807017544","0","0","0","0","0","-","7.96","0.00","0.53","15.93","7.96","7.96","0","0","0","0","0","0","0","0","7.96","0","0","0","0","0","0","0","-"
"548","Micheal Ferland","CGY","L","71","11.366666666667","0.16009389671362","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.28","5.28","0","0","0","0","-"
"549","Mark Stone","OTT","R","75","91.7","1.2226666666667","0.65","1.31","1.31","0","1.96","100.00","5.23","12.50","0.53","6.54","6.54","5.89","1.96","0.65","0","0","0","0","0","0","0.65","0.65","7.2","3.27","3.27","5.23","0","0","-"
"550","Marek Hrivik","NYR","L","5","4.3166666666667","0.86333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","13.9","0","0","0","0","0","0","-"
"551","Mark Arcobello","TOR","R","20","2.1666666666667","0.10833333333333","0","0","0","0","0","-","27.69","0.00","1.62","27.69","27.69","27.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.46","27.69","2307.69"
"552","Ryan Garbutt","ANA, CHI","C","80","51.833333333333","0.64791666666667","1.16","0","0","0","1.16","50.00","6.95","16.67","0.74","10.42","10.42","6.95","2.32","0","0","8.1","2.32","1.16","1.16","0","5.79","0","3.47","11.58","2.32","4.63","0","0","-"
"553","Taylor Fedun","VAN","D","1","0.15","0.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"554","Matt Read","PHI","R","79","131.95","1.670253164557","0","0","0","0","0","-","5","0.00","0.34","6.37","5.46","2.27","1.36","0.91","0","0","0","0","0","0","0.91","0.91","3.64","1.82","1.36","5.91","0.45","0.91","15.16"
"555","Kevan Miller","BOS","D","71","180.08333333333","2.5363849765258","0","0","0","0","0","0.00","1","0.00","0.02","1.67","1.33","0","0","0","0","0","0","0","0","0","0.33","1.33","0.67","5","2.33","12.66","0","0","-"
"556","Paul Thompson","N.J","R","3","0.11666666666667","0.038888888888889","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"557","Mike Sislo","N.J","R","18","0.15","0.0083333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"558","Justin Fontaine","MIN","R","60","66.8","1.1133333333333","0","0.9","0.9","0","0.9","100.00","3.59","0.00","0.25","4.49","4.49","2.69","0","0","0","0","0","0","0","0","0","0","6.29","0","0.9","2.69","0.9","0","89.82"
"559","Jyrki Jokipakka","CGY, DAL","D","58","64.75","1.1163793103448","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","1.85","0.93","0.93","0","0","0.93","1.85","0.93","7.41","1.85","7.41","0","0","-"
"560","Ryan Dzingel","OTT","L","30","3.2","0.10666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"561","Alexey Marchenko","DET","D","66","138.7","2.1015151515152","0","0.43","0.43","0","0.43","100.00","0","-","0","0","0","0","0","0","0","0.87","0.43","0.43","0","0","0","3.03","0.43","3.89","0.87","13.84","0","0","-"
"562","Ondrej Palat","T.B","L","62","88.25","1.4233870967742","1.36","0.68","0.68","0","2.04","100.00","4.08","33.33","0.44","6.12","4.76","2.72","2.04","1.36","0","0","0","0","0","0","0.68","0","2.04","4.08","1.36","6.12","0","0.68","0.00"
"563","Scott Wilson","PIT","L","24","1.95","0.08125","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"564","Nikita Nesterov","T.B","D","57","2.7333333333333","0.047953216374269","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.95","0","0","0","0","-"
"565","Frank Corrado","TOR","D","39","26.283333333333","0.67393162393162","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.13","0","2.28","0","0","-"
"566","Josh Manson","ANA","D","71","151.5","2.1338028169014","0","0","0","0","0","0.00","2.38","0.00","0.43","3.56","3.56","1.58","1.19","1.19","0","1.58","0.79","0.79","0","0","1.58","3.96","1.19","8.32","2.77","9.11","0","0","-"
"567","Max McCormick","OTT","R","20","1.3333333333333","0.066666666666667","0","0","0","0","0","-","45","0.00","1.08","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0.00"
"568","Dylan DeMelo","S.J","D","45","5.8166666666667","0.12925925925926","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.32","10.32","0","0","0","-"
"569","Iiro Pakarinen","EDM","R","63","73.083333333333","1.1600529100529","0","0","0","0","0","0.00","0","-","0.03","0.82","0.82","0","0","0","0","0","0","0","0","0","0","0.82","0.82","2.46","0","7.39","0","0","-"
"570","Johnny Gaudreau","CGY","L","79","7.2333333333333","0.091561181434599","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","8.29","16.59","0","0","0","0","0","0","-"
"571","Michael Mersch","L.A","L","17","7.2333333333333","0.42549019607843","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.29","0","0","-"
"572","Tobias Rieder","ARI","R","82","159.5","1.9451219512195","0","0.38","0.38","0","0.38","100.00","4.89","0.00","0.63","8.28","6.77","6.02","3.01","1.88","0","0.75","0.38","0.38","0","0","1.13","0.38","2.63","0.38","1.5","2.26","0","0.38","0.00"
"573","Fredrik Claesson","OTT","D","16","22.5","1.40625","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","5.33","0","0","2.67","5.33","0","0","-"
"574","Blake Pietila","N.J","L","7","7.4","1.0571428571429","0","0","0","0","0","-","0","-","0.5","8.11","8.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.11","0","0","-"
"575","Darren Dietz","MTL","D","13","4.0166666666667","0.30897435897436","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.88","0","0","-"
"576","Andrew Shaw","CHI","C","78","1.25","0.016025641025641","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","96","48","48","0","0","0","0","48","0","0","0","48","0","4800.00"
"577","Max Friberg","ANA","R","5","2.4833333333333","0.49666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"578","Shane Prince","NYI, OTT","L","62","3.7","0.059677419354839","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.43","0","1621.62"
"579","Andrey Pedan","VAN","D","13","6.0666666666667","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.89","0","0","-"
"580","Vincent Trocheck","FLA","C","76","60.733333333333","0.79912280701754","0.99","0","0","0","0.99","100.00","0.99","100.00","0.69","5.93","3.95","0.99","0.99","0.99","0","0","0","0","0","0","0","1.98","1.98","1.98","0.99","6.92","25.69","31.61","44.29"
