"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"157","Morgan Rielly","TOR","D","82","16.616666666667","0.20264227642276","0","3.61","0","3.61","3.61","100.00","3.61","0.00","0.26","7.22","7.22","0","0","0","0","0","0","0","0","0","0","3.61","0","7.22","0","3.61","0","0","-"
"9","Marc-Edouard Vlasic","S.J","D","27","19.95","0.73888888888889","0","3.01","0","3.01","3.01","inf","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.02","0","0","-"
"545","Tyler Tucker","STL","D","38","34.45","0.90657894736842","0","1.74","0","1.74","1.74","50.00","0","-","0.04","1.74","1.74","0","0","0","0","0","0","0","0","0","0","0","0","5.22","0","5.22","0","0","-"
"698","Kent Johnson","CBJ","C","68","35.7","0.525","1.68","3.36","1.68","1.68","5.04","100.00","3.36","50.00","0.49","8.4","6.72","5.04","0","0","0","0","0","0","0","0","0","0","3.36","0","1.68","1.68","0","0","-"
"237","Sean Monahan","CBJ","C","54","82.966666666667","1.5364197530864","0","2.17","0.72","1.45","2.17","100.00","6.51","0.00","0.43","6.51","6.51","2.89","1.45","1.45","0","0","0","0","0","0","1.45","0","1.45","0","0","3.62","41.94","43.39","35.55"
"524","Rasmus Dahlin","BUF","D","73","51.966666666667","0.71187214611872","0","1.15","0","1.15","1.15","50.00","3.46","0.00","0","4.62","3.46","1.15","1.15","2.31","0","2.31","1.15","1.15","0","0","1.15","2.31","0","3.46","0","3.46","0","0","-"
"591","Drew Helleson","ANA","D","56","55.433333333333","0.98988095238095","0","1.08","0","1.08","1.08","50.00","1.08","0.00","0","1.08","1.08","0","0","0","0","2.16","1.08","1.08","0","0","0","2.16","4.33","4.33","0","6.49","0","0","-"
"13","Erik Johnson","COL, PHI","D","36","61.35","1.7041666666667","0","0.98","0","0.98","0.98","inf","0.98","0.00","0","0.98","0.98","0","0","0.98","0","0","0","0","0","0","0","0.98","2.93","3.91","0","2.93","0","0","-"
"730","Emil Lilleberg","T.B","D","76","61.466666666667","0.80877192982456","0","0.98","0","0.98","0.98","25.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0.98","0","4.88","1.95","6.83","0","0","-"
"207","Connor Clifton","BUF","D","73","200.43333333333","2.7456621004566","0","0.9","0","0.9","0.9","75.00","2.1","0.00","0.08","2.69","2.39","0.6","0.3","0.6","0.3","1.2","0.6","0.6","0","0","0.6","1.8","0.9","8.08","1.5","9.28","0","0","-"
