"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"418","Wayne Simmonds","PHI","R","75","236.48333333333","14","10","5","5","24","57.14","54","25.93","12.56","80","74","71","57","0","5","2","1","1","0","0","0","5","2","7","18","0","0","0","-"
"471","Gustav Nyquist","DET","R","82","246.36666666667","14","10","2","8","24","68.57","48","29.17","8.22","75","61","54","33","0","5","2","1","1","0","0","1","11","1","0","8","1","0","1","0.00"
"65","Radim Vrbata","VAN","R","79","229.55","12","11","4","7","23","63.89","77","15.58","9.26","129","103","56","19","3","3","4","2","2","0","0","0","5","2","1","4","1","1","1","50.00"
"78","Niklas Kronwall","DET","D","80","257.45","3","20","9","11","23","57.50","39","7.69","2.92","80","55","17","2","0","6","0","0","0","0","0","0","3","0","8","5","6","0","0","-"
"373","Jamie Benn","DAL","L","82","292.48333333333","10","13","8","5","23","56.10","55","18.18","9.15","93","80","58","38","2","10","7","2","1","1","0","2","11","6","6","11","1","86","78","52.44"
"20","Joe Thornton","S.J","C","78","246.03333333333","4","18","7","11","22","55.00","26","15.38","4.07","59","38","40","14","1","7","2","1","1","0","0","0","12","3","1","4","2","77","58","57.04"
"406","Patrick Kane","CHI","R","61","223.21666666667","6","16","9","7","22","73.33","41","14.63","5.03","71","53","36","13","0","2","0","0","0","0","0","1","6","3","2","9","0","0","0","-"
"126","Dennis Wideman","CGY","D","80","247.23333333333","6","15","7","8","21","63.64","70","8.57","5.88","148","93","37","5","1","13","2","1","1","0","0","1","10","2","6","6","3","0","0","-"
"270","Jack Johnson","CBJ","D","79","213.26666666667","3","18","7","11","21","63.64","33","9.09","3.4","61","47","25","5","1","3","0","0","0","0","0","0","2","0","6","6","3","0","0","-"
"387","P.K. Subban","MTL","D","82","302.21666666667","8","13","9","4","21","61.76","67","11.94","4.16","155","94","25","1","1","6","4","2","2","0","0","1","10","3","5","8","8","0","0","-"
"445","Jordan Eberle","EDM","C, R","81","212.4","6","15","8","7","21","77.78","44","13.64","5.5","67","54","42","16","0","4","0","0","0","0","0","0","12","3","1","8","0","0","0","-"
"656","Johnny Gaudreau","CGY","L","80","224.53333333333","8","13","9","4","21","65.63","36","22.22","5.42","55","45","32","17","0","2","0","0","0","0","0","1","25","3","1","5","0","0","1","0.00"
"118","Marek Zidlicky","DET, N.J","D","84","221.96666666667","6","14","6","8","20","66.67","39","15.38","3.86","87","61","21","5","0","3","4","2","2","0","0","0","5","1","2","4","1","0","0","-"
"514","Oliver Ekman-Larsson","ARI","D","82","318.56666666667","10","10","6","4","20","58.82","93","10.75","7.95","206","138","64","11","2","12","2","1","1","0","0","3","10","2","9","9","2","0","0","-"
"594","Justin Faulk","CAR","D","82","223.55","7","13","7","6","20","74.07","63","11.11","5.36","122","91","28","2","0","8","6","3","3","0","0","0","6","6","0","8","4","0","0","-"
"219","Andrew Ladd","WPG","L","81","259.68333333333","9","10","4","6","19","59.38","51","17.65","9.77","88","74","74","39","3","4","11","4","3","1","0","3","4","1","8","5","1","1","0","100.00"
"381","James van Riemsdyk","TOR","L","82","290.18333333333","9","10","7","3","19","54.29","53","16.98","10.42","83","76","69","52","0","4","4","2","2","0","0","4","5","4","9","10","0","8","12","40.00"
"513","Brayden Schenn","PHI","C","82","244.8","7","12","10","2","19","44.19","55","12.73","11.48","95","82","87","55","1","8","2","1","1","0","0","2","1","2","4","13","0","15","10","60.00"
"531","Tomas Tatar","DET","L","82","201.75","9","10","6","4","19","63.33","53","16.98","6.98","91","74","59","20","1","7","4","2","2","0","0","2","10","4","2","8","0","0","1","0.00"
"741","Filip Forsberg","NSH","L","82","231.9","6","13","6","7","19","76.00","41","14.63","4.87","79","60","41","5","0","4","2","1","1","0","0","1","17","2","4","5","1","0","1","0.00"
"70","Marian Gaborik","L.A","R","69","190.61666666667","11","7","6","1","18","58.06","40","27.50","6.06","61","53","46","31","0","8","2","1","1","0","0","0","7","0","1","2","0","0","0","-"
"138","Frans Nielsen","NYI","C","78","223.83333333333","4","14","9","5","18","62.07","36","11.11","6.08","60","48","45","19","0","7","0","0","0","0","0","1","7","3","0","11","1","19","17","52.78"
"315","Bryan Little","WPG","C","70","223.88333333333","9","9","6","3","18","78.26","40","22.50","6.33","78","55","55","17","2","5","0","0","0","0","0","4","5","1","4","4","2","108","86","55.67"
"322","Kyle Okposo","NYI","R","60","226.43333333333","6","12","5","7","18","58.06","43","13.95","7.03","82","66","55","23","0","7","0","0","0","0","0","2","8","3","1","14","0","21","24","46.67"
"340","Derick Brassard","NYR","C","80","219.76666666667","6","12","5","7","18","66.67","43","13.95","4.74","68","53","36","11","0","2","2","1","1","0","0","1","9","2","3","5","0","85","89","48.85"
"493","Tyler Bozak","TOR","C","82","288.18333333333","12","6","4","2","18","51.43","59","20.34","10.11","85","75","73","45","0","3","2","1","1","0","0","1","4","1","4","9","0","177","149","54.29"
"603","Vladimir Tarasenko","STL","R","77","203.68333333333","8","10","5","5","18","60.00","49","16.33","7.01","104","78","62","15","0","6","6","3","3","0","0","2","3","1","3","5","0","0","0","-"
"777","Sean Monahan","CGY","C","81","229.68333333333","10","8","5","3","18","54.55","40","25.00","7.12","72","62","55","29","0","1","0","0","0","0","0","0","6","7","2","4","0","132","129","50.57"
"24","Marian Hossa","CHI","R","82","202.55","6","11","4","7","17","77.27","41","14.63","5.21","79","54","36","13","0","5","2","1","1","0","0","0","6","3","3","7","0","0","0","-"
"130","Valtteri Filppula","T.B","C","82","279.21666666667","2","15","7","8","17","54.84","14","14.29","1.82","31","22","13","4","0","2","0","0","0","0","0","0","10","2","1","8","0","109","75","59.24"
"163","Eric Staal","CAR","C","77","200.65","7","10","8","2","17","65.38","39","17.95","6.22","83","55","57","29","0","8","2","1","1","0","0","1","7","1","1","10","0","81","57","58.70"
"164","Thomas Vanek","MIN","L","80","240.7","5","12","8","4","17","73.91","53","9.43","9.26","86","77","58","35","0","9","8","4","4","0","0","0","15","3","1","2","0","3","5","37.50"
"207","Dustin Byfuglien","WPG","D","69","265.13333333333","5","12","5","7","17","54.84","64","7.81","6.63","156","95","42","11","2","12","4","2","2","0","0","2","10","1","10","1","2","0","0","-"
"229","Mike Green","WSH","D","72","198.8","1","16","11","5","17","51.52","34","2.94","3.01","67","49","16","3","0","1","2","1","1","0","0","0","4","5","1","5","4","0","0","-"
"291","Cody Franson","NSH, TOR","D","78","197.05","5","12","5","7","17","68.00","34","14.71","2.88","62","41","20","4","0","9","2","1","1","0","0","0","5","4","6","3","7","0","0","-"
"354","Jonathan Toews","CHI","C","81","272.06666666667","6","11","5","6","17","51.52","53","11.32","9.34","93","80","72","31","1","6","8","4","4","0","0","2","6","2","4","19","0","208","122","63.03"
"429","Drew Doughty","L.A","D","82","282.08333333333","1","16","9","7","17","48.57","59","1.69","4.76","126","91","36","2","0","8","4","2","2","0","0","0","8","1","3","8","4","0","0","-"
"446","Tyler Ennis","BUF","C, L","78","237.61666666667","6","11","9","2","17","70.83","41","14.63","5.8","68","51","36","25","0","6","6","3","3","0","0","2","3","1","5","8","1","8","15","34.78"
"491","Tyler Johnson","T.B","C","77","172.38333333333","8","9","8","1","17","70.83","27","29.63","3.75","59","42","30","7","0","3","2","1","1","0","0","3","5","0","1","8","0","74","62","54.41"
"542","Sami Vatanen","ANA","D","67","207.71666666667","7","10","2","8","17","77.27","47","14.89","4.25","95","68","26","3","0","8","0","0","0","0","0","1","8","6","1","7","2","1","1","50.00"
"688","Gabriel Landeskog","COL","L","82","205.91666666667","8","9","2","7","17","70.83","42","19.05","6.7","62","55","41","24","0","4","4","2","2","0","0","2","6","0","11","12","0","2","9","18.18"
"71","Scott Hartnell","CBJ","L","77","204.38333333333","8","8","3","5","16","55.17","37","21.62","6.7","52","47","45","31","2","4","8","4","4","0","0","0","5","3","10","4","1","0","1","0.00"
"108","Tomas Plekanec","MTL","C","82","179.58333333333","7","9","3","6","16","80.00","38","18.42","5.49","67","48","36","14","2","5","2","1","1","0","0","1","2","1","1","9","0","84","83","50.30"
"154","Duncan Keith","CHI","D","80","265.6","3","13","8","5","16","59.26","49","6.12","3.48","113","66","31","2","0","3","0","0","0","0","0","0","6","1","0","4","3","0","0","-"
"162","Chris Kunitz","PIT","L","74","230.38333333333","9","7","4","3","16","45.71","41","21.95","7.71","63","55","49","30","0","4","4","2","2","0","0","0","6","2","27","12","0","4","3","57.14"
"173","Zach Parise","MIN","L","74","243.95","11","5","2","3","16","66.67","60","18.33","9.98","84","75","61","42","0","9","2","1","1","0","0","3","3","6","4","18","0","0","4","0.00"
"191","David Backes","STL","R","80","191.48333333333","10","6","4","2","16","50.00","36","27.78","5.98","53","46","44","29","0","5","8","4","4","0","0","0","3","2","13","7","1","77","57","57.46"
"247","Ryan Callahan","T.B","R","77","234.01666666667","10","6","4","2","16","59.26","37","27.03","6.99","60","53","51","39","0","3","4","2","2","0","0","2","4","0","2","5","0","5","7","41.67"
"391","Kyle Turris","OTT","C","82","248.75","4","12","7","5","16","59.26","44","9.09","4.47","97","64","39","13","0","6","2","1","1","0","0","3","11","0","5","12","1","114","87","56.72"
"447","John Carlson","WSH","D","82","142.58333333333","3","13","9","4","16","76.19","30","10.00","2.98","74","53","15","1","1","8","0","0","0","0","0","0","3","4","1","3","5","0","0","-"
"463","Adam Henrique","N.J","C","75","131.53333333333","5","11","6","5","16","76.19","15","33.33","3.44","29","24","26","20","0","4","14","3","2","0","1","0","5","0","2","4","1","33","21","61.11"
"532","Tyson Barrie","COL","D","80","239.5","2","14","6","8","16","61.54","37","5.41","3.22","94","61","17","3","1","9","2","1","1","0","0","1","5","2","5","5","1","0","0","-"
"605","Jaden Schwartz","STL","L","75","174.56666666667","8","8","4","4","16","66.67","30","26.67","3.83","47","37","32","14","1","6","0","0","0","0","0","0","5","2","2","6","0","25","14","64.10"
"93","Mikko Koivu","MIN","C","80","261.61666666667","4","11","5","6","15","55.56","58","6.90","6.87","78","64","44","24","1","7","4","2","2","0","0","0","9","4","3","8","1","175","125","58.33"
"147","Johnny Boychuk","NYI","D","72","192.3","5","10","5","5","15","60.00","54","9.26","4.39","106","77","26","3","0","8","4","2","2","0","0","1","3","0","5","8","1","0","0","-"
"148","Jiri Hudler","CGY","R","78","232.7","5","10","6","4","15","50.00","42","11.90","6.92","64","56","49","30","0","3","2","1","1","0","0","2","6","6","6","7","1","6","8","42.86"
"150","James Wisniewski","ANA, CBJ","D","69","209.61666666667","7","8","4","4","15","62.50","47","14.89","4.24","100","63","34","6","3","6","2","1","1","0","0","0","3","0","3","4","2","0","0","-"
"168","Dion Phaneuf","TOR","D","70","247.08333333333","2","13","8","5","15","51.72","48","4.17","4.03","111","77","21","2","0","8","11","4","3","1","0","2","6","2","9","5","4","0","0","-"
"169","Jeff Carter","L.A","C","82","228.03333333333","10","5","3","2","15","51.72","41","24.39","8.33","84","67","53","21","2","3","6","3","3","0","0","1","9","2","3","7","0","93","65","58.86"
"171","Brent Seabrook","CHI","D","82","199.01666666667","4","11","4","7","15","65.22","54","7.41","3.58","101","78","12","1","0","5","2","1","1","0","0","0","7","0","2","6","4","0","0","-"
"187","Shea Weber","NSH","D","78","240.66666666667","5","10","6","4","15","68.18","72","6.94","5.79","148","112","25","2","0","5","2","1","1","0","0","1","5","1","4","3","5","0","0","-"
"267","Paul Stastny","STL","C","74","173.35","7","8","2","6","15","57.69","28","25.00","4.85","46","37","36","18","0","3","2","1","1","0","0","0","2","0","1","5","0","72","47","60.50"
"306","Patric Hornqvist","PIT","R","64","212.86666666667","6","9","4","5","15","45.45","57","10.53","8.91","80","71","69","45","1","9","8","4","4","0","0","1","2","1","8","19","1","0","0","-"
"450","Roman Josi","NSH","D","81","251.85","3","12","7","5","15","57.69","41","7.32","2.28","85","49","19","0","0","7","0","0","0","0","0","0","3","0","4","6","8","0","0","-"
"497","Marcus Johansson","WSH","L","82","239.66666666667","3","12","1","11","15","39.47","22","13.64","3.84","38","31","30","18","1","2","2","1","1","0","0","3","11","2","3","14","0","1","1","50.00"
"595","Brock Nelson","NYI","C","82","223.35","10","5","4","1","15","53.57","49","20.41","10.31","76","65","67","46","0","8","4","2","2","0","0","1","11","3","2","10","0","15","9","62.50"
"686","Nikita Kucherov","T.B","R","82","180.75","2","13","6","7","15","62.50","33","6.06","3.65","61","48","35","8","0","2","6","3","3","0","0","1","14","0","1","7","0","0","0","-"
"695","Dougie Hamilton","BOS","D","72","180.61666666667","5","10","4","6","15","75.00","50","10.00","3.85","114","84","26","2","1","3","0","0","0","0","0","1","4","1","4","1","2","0","0","-"
"776","Elias Lindholm","CAR","C","81","203.75","4","11","4","7","15","65.22","29","13.79","3.96","51","36","27","15","0","2","6","3","3","0","0","0","9","3","7","16","0","40","27","59.70"
"38","Alex Tanguay","COL","L","80","193.36666666667","2","12","7","5","14","82.35","22","9.09","2.74","39","29","14","8","0","4","8","4","4","0","0","1","1","0","5","2","1","1","0","100.00"
"41","Scott Gomez","N.J","C","58","111.55","0","14","5","9","14","82.35","5","0.00","0.59","13","8","6","0","0","0","0","0","0","0","0","1","5","0","1","2","0","50","52","49.02"
