"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"136","Nikita Kucherov","T.B","R","78","298.75","8","38","24","14","46","88.46","64","12.50","6.76","128","88","41","4","0","12","2","1","1","0","0","0","17","3","3","8","0","0","0","-"
"236","Nathan MacKinnon","COL","C","79","302.53333333333","9","29","17","12","38","74.51","64","14.06","8.1","131","86","56","10","0","13","2","1","1","0","0","4","13","1","3","8","0","91","64","58.71"
"402","Clayton Keller","UTA","R","81","278.86666666667","10","27","12","15","37","74.00","47","21.28","5.55","98","75","35","5","1","8","4","2","2","0","0","3","14","2","0","9","0","0","7","0.00"
"483","Martin Necas","CAR, COL","C","79","284.5","12","25","12","13","37","69.81","54","22.22","5.53","83","67","31","9","0","6","0","0","0","0","0","1","12","1","0","7","1","7","10","41.18"
"651","Lucas Raymond","DET","L","82","252.63333333333","8","29","12","17","37","72.55","44","18.18","5.48","79","59","55","8","0","9","2","1","1","0","0","0","10","3","2","7","1","0","0","-"
"489","Cale Makar","COL","D","80","291.61666666667","12","23","13","10","35","77.78","62","19.35","5.78","141","96","53","9","1","10","0","0","0","0","0","0","7","7","3","1","7","0","0","-"
"266","Leon Draisaitl","EDM","C","71","232.86666666667","16","18","8","10","34","80.95","62","25.81","10.63","112","93","45","18","1","12","0","0","0","0","0","1","8","1","0","3","0","120","95","55.81"
"322","Jack Eichel","VGK","C","77","213.23333333333","5","29","9","20","34","72.34","57","8.77","5.08","84","62","32","7","1","5","2","1","1","0","0","0","12","0","1","7","2","28","21","57.14"
"338","Dylan Strome","WSH","C","82","246.3","9","25","10","15","34","82.93","37","24.32","6.29","68","54","45","22","0","6","4","2","2","0","0","2","16","2","1","6","0","161","123","56.69"
"425","Jesper Bratt","N.J","L","81","230.61666666667","4","30","10","20","34","68.00","34","11.76","5.06","60","45","39","13","1","9","4","2","2","0","0","0","9","3","4","5","0","0","0","-"
"358","Mitch Marner","TOR","R","81","241.8","6","27","16","11","33","73.33","29","20.69","3.94","73","46","35","5","0","11","4","2","2","0","0","1","14","4","0","3","1","0","0","-"
