Rk,Team,Overall,,,,,,,,,,,,,,,,,,,
1,Winnipeg Jets,56-22-4,,,,,,,,,,,,,,,,,,,
2,Washington Capitals,51-22-9,,,,,,,,,,,,,,,,,,,
3,Vegas Golden Knights,50-22-10,,,,,,,,,,,,,,,,,,,
4,Toronto Maple Leafs,52-26-4,,,,,,,,,,,,,,,,,,,
5,Dallas Stars,50-26-6,,,,,,,,,,,,,,,,,,,
6,Los Angeles Kings,48-25-9,,,,,,,,,,,,,,,,,,,
7,Colorado Avalanche,49-29-4,,,,,,,,,,,,,,,,,,,
8,Tampa Bay Lightning,47-27-8,,,,,,,,,,,,,,,,,,,
9,Edmonton Oilers,48-29-5,,,,,,,,,,,,,,,,,,,
10,Carolina Hurricanes,47-30-5,,,,,,,,,,,,,,,,,,,
11,Florida Panthers,47-31-4,,,,,,,,,,,,,,,,,,,
12,Minnesota Wild,45-30-7,,,,,,,,,,,,,,,,,,,
13,Ottawa Senators,45-30-7,,,,,,,,,,,,,,,,,,,
14,St. Louis Blues,44-30-8,,,,,,,,,,,,,,,,,,,
15,Calgary Flames,41-27-14,,,,,,,,,,,,,,,,,,,
16,New Jersey Devils,42-33-7,,,,,,,,,,,,,,,,,,,
17,Montreal Canadiens,40-31-11,,,,,,,,,,,,,,,,,,,
18,Vancouver Canucks,38-30-14,,,,,,,,,,,,,,,,,,,
19,Columbus Blue Jackets,40-33-9,,,,,,,,,,,,,,,,,,,
20,Utah Hockey Club,38-31-13,,,,,,,,,,,,,,,,,,,
21,Detroit Red Wings,39-35-8,,,,,,,,,,,,,,,,,,,
22,New York Rangers,39-36-7,,,,,,,,,,,,,,,,,,,
23,New York Islanders,35-35-12,,,,,,,,,,,,,,,,,,,
24,Anaheim Ducks,35-37-10,,,,,,,,,,,,,,,,,,,
25,Pittsburgh Penguins,34-36-12,,,,,,,,,,,,,,,,,,,
26,Buffalo Sabres,36-39-7,,,,,,,,,,,,,,,,,,,
27,Seattle Kraken,35-41-6,,,,,,,,,,,,,,,,,,,
28,Boston Bruins,33-39-10,,,,,,,,,,,,,,,,,,,
29,Philadelphia Flyers,33-39-10,,,,,,,,,,,,,,,,,,,
30,Nashville Predators,30-44-8,,,,,,,,,,,,,,,,,,,
31,Chicago Blackhawks,25-46-11,,,,,,,,,,,,,,,,,,,
32,San Jose Sharks,20-50-12,,,,,,,,,,,,,,,,,,,
