Rk,Team,Overall,,,,,,,,,,,,,,,,,,,
1,New York Rangers,55-23-4,,,,,,,,,,,,,,,,,,,
2,Dallas Stars,52-21-9,,,,,,,,,,,,,,,,,,,
3,Carolina Hurricanes,52-23-7,,,,,,,,,,,,,,,,,,,
4,Florida Panthers,52-24-6,,,,,,,,,,,,,,,,,,,
5,Winnipeg Jets,52-24-6,,,,,,,,,,,,,,,,,,,
6,Vancouver Canucks,50-23-9,,,,,,,,,,,,,,,,,,,
7,Boston Bruins,47-20-15,,,,,,,,,,,,,,,,,,,
8,Colorado Avalanche,50-25-7,,,,,,,,,,,,,,,,,,,
9,Edmonton Oilers,49-27-6,,,,,,,,,,,,,,,,,,,
10,Toronto Maple Leafs,46-26-10,,,,,,,,,,,,,,,,,,,
11,Nashville Predators,47-30-5,,,,,,,,,,,,,,,,,,,
12,Los Angeles Kings,44-27-11,,,,,,,,,,,,,,,,,,,
13,Tampa Bay Lightning,45-29-8,,,,,,,,,,,,,,,,,,,
14,Vegas Golden Knights,45-29-8,,,,,,,,,,,,,,,,,,,
15,New York Islanders,39-27-16,,,,,,,,,,,,,,,,,,,
16,St. Louis Blues,43-33-6,,,,,,,,,,,,,,,,,,,
17,Detroit Red Wings,41-32-9,,,,,,,,,,,,,,,,,,,
18,Washington Capitals,40-31-11,,,,,,,,,,,,,,,,,,,
19,Pittsburgh Penguins,38-32-12,,,,,,,,,,,,,,,,,,,
20,Minnesota Wild,39-34-9,,,,,,,,,,,,,,,,,,,
21,Philadelphia Flyers,38-33-11,,,,,,,,,,,,,,,,,,,
22,Buffalo Sabres,39-37-6,,,,,,,,,,,,,,,,,,,
23,Calgary Flames,38-39-5,,,,,,,,,,,,,,,,,,,
24,New Jersey Devils,38-39-5,,,,,,,,,,,,,,,,,,,
25,Seattle Kraken,34-35-13,,,,,,,,,,,,,,,,,,,
26,Ottawa Senators,37-41-4,,,,,,,,,,,,,,,,,,,
27,Arizona Coyotes,36-41-5,,,,,,,,,,,,,,,,,,,
28,Montreal Canadiens,30-36-16,,,,,,,,,,,,,,,,,,,
29,Columbus Blue Jackets,27-43-12,,,,,,,,,,,,,,,,,,,
30,Anaheim Ducks,27-50-5,,,,,,,,,,,,,,,,,,,
31,Chicago Blackhawks,23-53-6,,,,,,,,,,,,,,,,,,,
32,San Jose Sharks,19-54-9,,,,,,,,,,,,,,,,,,,
