"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"629","Cole Schwindt","VGK","R","42","0.33333333333333","0.0079365079365079","180","180","50.00","180","180","50.00","0","180","0.00","0","0","-","20.76","6.58","75.93","180","0","100.00","180","0","100.00","0","0","-","0","0","-","0","0","-","260","520","33.33","0","0","-","-","100.00","1.00","180","0","180","180","50.00","180","0","180","50.00"
"312","Dryden Hunt","CGY","L","5","0.35","0.07","0","171.43","0.00","0","171.43","0.00","0","171.43","0.00","0","0","-","0","17.3","0.00","0","171.43","0.00","0","171.43","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","171.43","0","0","-","0","171.43","0","-"
"260","Patrick Brown","BOS","C","15","0.36666666666667","0.024444444444444","0","163.64","0.00","0","163.64","0.00","0","163.64","0.00","0","0","-","0","3.64","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","236.36","0.00","0","0","-","-","100.00","1.00","0","0","0","327.27","-","0","0","163.64","0.00"
"583","Jimmy Schuldt","S.J","D","8","0.36666666666667","0.045833333333333","0","163.64","0.00","0","163.64","0.00","0","163.64","0.00","0","0","-","0","0.02","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","163.64","-","0","0","0","-"
"428","Brett Murray","BUF","L","3","1.1666666666667","0.38888888888889","0","154.29","0.00","0","154.29","0.00","0","154.29","0.00","0","51.43","0.00","0","6.86","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","74.29","222.86","25.00","0","0","-","-","66.67","0.67","51.43","0","0","102.86","100.00","51.43","0","51.43","50.00"
"697","Callahan Burke","VGK","C","7","0.4","0.057142857142857","0","150","0.00","0","150","0.00","0","150","0.00","0","0","-","0","11.76","0.00","0","150","0.00","0","0","-","0","0","-","0","200","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","150","0","0","150","100.00","150","0","0","100.00"
"695","Riley Duran","BOS","C","2","0.45","0.225","0","133.33","0.00","0","133.33","0.00","0","0","-","0","0","-","0","6.11","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","192.59","0.00","0","0","-","-","-","-","0","133.33","0","0","-","0","133.33","0","-"
"186","Jimmy Vesey","COL, NYR","L","43","0.46666666666667","0.010852713178295","0","128.57","0.00","0","128.57","0.00","0","128.57","0.00","0","0","-","0","0.47","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","185.71","0.00","0","0","-","-","100.00","1.00","128.57","128.57","128.57","514.29","50.00","128.57","128.57","128.57","50.00"
"567","Jack St. Ivany","PIT","D","19","0.46666666666667","0.024561403508772","128.57","128.57","50.00","0","128.57","0.00","0","0","-","0","0","-","0","13.95","0.00","128.57","0","100.00","0","0","-","0","0","-","171.43","0","100.00","0","0","-","0","185.71","0.00","0","0","-","-","-","-","257.14","0","0","642.86","100.00","257.14","0","0","100.00"
"218","Mattias Janmark","EDM","C","80","2.0166666666667","0.025208333333333","148.76","119.01","55.56","89.26","59.5","60.00","59.5","59.5","50.00","29.75","0","100.00","6.49","2.24","74.32","0","59.5","0.00","0","59.5","0.00","0","0","-","0","0","-","0","0","-","300.83","42.98","87.50","42.98","0","100.00","50.00","100.00","1.500","59.5","29.75","29.75","238.02","66.67","119.01","29.75","29.75","80.00"
"507","Nick Perbix","T.B","D","74","1.1333333333333","0.015315315315315","105.88","105.88","50.00","52.94","52.94","50.00","52.94","52.94","50.00","0","0","-","7.55","0.11","98.60","52.94","52.94","50.00","52.94","52.94","50.00","0","0","-","0","0","-","0","0","-","76.47","0","100.00","0","0","-","0.00","100.00","1.000","105.88","0","0","317.65","100.00","105.88","0","0","100.00"
"372","Ryan Shea","PIT","D","39","1.7166666666667","0.044017094017094","34.95","104.85","25.00","34.95","104.85","25.00","34.95","69.9","33.33","34.95","0","100.00","3.23","2.2","59.47","34.95","0","100.00","34.95","0","100.00","34.95","0","100.00","0","0","-","0","0","-","50.49","151.46","25.00","0","0","-","100.00","100.00","2.000","34.95","34.95","34.95","384.47","50.00","34.95","34.95","34.95","50.00"
"225","Ryan Graves","PIT","D","61","0.63333333333333","0.010382513661202","94.74","94.74","50.00","94.74","94.74","50.00","94.74","94.74","50.00","94.74","0","100.00","8.76","3.59","70.91","94.74","0","100.00","94.74","0","100.00","94.74","0","100.00","0","0","-","0","0","-","136.84","273.68","33.33","0","0","-","100.00","100.00","2.000","0","0","0","284.21","-","94.74","0","94.74","50.00"
"729","Samuel Helenius","L.A","C","50","0.71666666666667","0.014333333333333","167.44","83.72","66.67","83.72","83.72","50.00","83.72","0","100.00","0","0","-","14.88","1.93","88.54","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","241.86","241.86","50.00","0","0","-","0.00","-","0.00","0","0","83.72","167.44","0.00","0","0","83.72","0.00"
"9","Marc-Edouard Vlasic","S.J","D","27","0.78333333333333","0.029012345679012","0","76.6","0.00","0","76.6","0.00","0","76.6","0.00","0","0","-","0","0.01","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","110.64","0","100.00","0","0","-","-","100.00","1.00","0","0","0","229.79","-","76.6","0","0","100.00"
"585","Nolan Foote","N.J","L","7","0.85","0.12142857142857","0","70.59","0.00","0","70.59","0.00","0","0","-","0","0","-","0","4.67","0.00","0","70.59","0.00","0","0","-","0","0","-","0","94.12","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","141.18","-","0","0","0","-"
"837","Karsen Dorwart","PHI","L","5","3.5666666666667","0.71333333333333","16.82","67.29","20.00","16.82","67.29","20.00","0","16.82","0.00","0","16.82","0.00","0.78","4.37","15.14","0","33.64","0.00","0","16.82","0.00","0","16.82","0.00","0","22.43","0.00","0","0","-","24.3","48.6","33.33","0","0","-","-","0.00","0.00","16.82","16.82","0","67.29","100.00","16.82","16.82","0","100.00"
"229","Jason Dickinson","CHI","C","59","2.8","0.047457627118644","21.43","64.29","25.00","21.43","64.29","25.00","21.43","42.86","33.33","0","0","-","0.47","2.39","16.57","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","30.95","92.86","25.00","0","0","-","0.00","100.00","1.000","64.29","64.29","21.43","192.86","75.00","64.29","64.29","21.43","75.00"
"111","Sam Carrick","NYR","C","80","2.0166666666667","0.025208333333333","29.75","59.5","33.33","0","59.5","0.00","0","29.75","0.00","0","0","-","0","2.39","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","85.95","0.00","0","0","-","-","100.00","1.00","29.75","29.75","29.75","297.52","50.00","29.75","29.75","29.75","50.00"
"357","Mitchell Stephens","SEA","C","28","2.1166666666667","0.075595238095238","28.35","56.69","33.33","0","56.69","0.00","0","56.69","0.00","0","0","-","0","4.34","0.00","0","56.69","0.00","0","0","-","0","0","-","0","75.59","0.00","0","0","-","81.89","81.89","50.00","0","0","-","-","100.00","1.00","85.04","28.35","28.35","255.12","75.00","85.04","28.35","56.69","60.00"
"395","Ryan Lindgren","COL, NYR","D","72","1.1166666666667","0.015509259259259","53.73","53.73","50.00","53.73","53.73","50.00","53.73","53.73","50.00","0","0","-","5.34","0.2","96.47","53.73","0","100.00","53.73","0","100.00","0","0","-","0","0","-","0","0","-","0","77.61","0.00","0","0","-","0.00","100.00","1.000","107.46","53.73","53.73","268.66","66.67","107.46","53.73","53.73","66.67"
"638","Adam Edstrom","NYR","C","51","3.5166666666667","0.068954248366013","34.12","51.18","40.00","34.12","51.18","40.00","34.12","51.18","40.00","0","0","-","3.23","1.9","62.99","17.06","17.06","50.00","17.06","17.06","50.00","0","0","-","0","0","-","0","0","-","24.64","24.64","50.00","0","0","-","0.00","100.00","1.000","0","17.06","17.06","170.62","0.00","0","17.06","17.06","0.00"
"48","Matt Martin","NYI","L","32","1.1833333333333","0.036979166666667","0","50.7","0.00","0","50.7","0.00","0","50.7","0.00","0","0","-","0","1.09","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","73.24","0.00","0","0","-","-","100.00","1.00","0","50.7","0","152.11","-","0","50.7","0","-"
"815","Ryan Leonard","WSH","R","9","3.6","0.4","66.67","50","57.14","33.33","50","40.00","33.33","33.33","50.00","0","16.67","0.00","6.26","3.96","61.26","33.33","33.33","50.00","16.67","0","100.00","0","0","-","22.22","44.44","33.33","0","22.22","0.00","24.07","24.07","50.00","0","0","-","0.00","50.00","0.500","0","0","0","50","-","0","0","0","-"
