"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"622","Petteri Lindbohm","STL","D","7","0.033333333333333","0.0047619047619048","0","1800","0.00","0","1800","0.00","0","1800","0.00","0","0","-","0","53.18","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","2600","0.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"465","Harry Zolnierczyk","NSH","L","24","0.21666666666667","0.0090277777777778","0","276.92","0.00","0","276.92","0.00","0","276.92","0.00","0","0","-","0","8.66","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","400","0.00","0","0","-","-","100.00","1.00","0","0","0","1107.69","-","0","0","0","-"
"666","Laurent Dauphin","ARI","C","24","0.66666666666667","0.027777777777778","0","270","0.00","0","270","0.00","0","270","0.00","0","90","0.00","0","3.1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","130","0.00","0","130","0.00","-","66.67","0.67","0","0","180","270","0.00","0","90","180","0.00"
"709","Tomas Nosek","DET","L","11","0.48333333333333","0.043939393939394","0","124.14","0.00","0","124.14","0.00","0","124.14","0.00","0","0","-","0","1.45","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","496.55","-","0","0","0","-"
"636","Anton Blidh","BOS","L","19","0.5","0.026315789473684","120","120","50.00","0","120","0.00","0","120","0.00","0","0","-","0","7.93","0.00","0","120","0.00","0","0","-","0","0","-","0","160","0.00","0","0","-","173.33","0","100.00","0","0","-","-","100.00","1.00","240","120","0","240","100.00","240","120","0","100.00"
"107","Brad Richardson","ARI","R","16","3.0166666666667","0.18854166666667","0","99.45","0.00","0","99.45","0.00","0","99.45","0.00","0","19.89","0.00","0","2.32","0.00","0","19.89","0.00","0","0","-","0","0","-","0","26.52","0.00","0","0","-","0","57.46","0.00","0","28.73","0.00","-","80.00","0.80","19.89","19.89","19.89","99.45","50.00","19.89","59.67","19.89","50.00"
"793","Brandon Tanev","WPG","L","51","0.61666666666667","0.012091503267974","0","97.3","0.00","0","97.3","0.00","0","97.3","0.00","0","0","-","0","2.12","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","140.54","0.00","0","0","-","-","100.00","1.00","97.3","291.89","194.59","291.89","33.33","97.3","291.89","194.59","33.33"
"810","C.J. Smith","BUF","L","2","0.61666666666667","0.30833333333333","97.3","97.3","50.00","97.3","97.3","50.00","97.3","97.3","50.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","140.54","140.54","50.00","0","0","-","0.00","100.00","1.000","0","0","0","97.3","-","0","0","97.3","0.00"
"322","Matt Bartkowski","CGY","D","24","0.75","0.03125","160","80","66.67","0","80","0.00","0","80","0.00","0","0","-","0","3.69","0.00","0","80","0.00","0","0","-","0","0","-","0","106.67","0.00","0","0","-","115.56","0","100.00","0","0","-","-","100.00","1.00","80","0","80","400","50.00","80","0","80","50.00"
"641","Sean Malone","BUF","C","1","0.83333333333333","0.83333333333333","0","72","0.00","0","72","0.00","0","72","0.00","0","0","-","0","7.34","0.00","0","72","0.00","0","72","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","72","0","0","144","100.00","72","0","0","100.00"
