"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"592","Daniel Catenacci","BUF","C","11","0.41666666666667","0.037878787878788","0","144","0.00","0","144","0.00","0","0","-","0","0","-","0","3","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","208","0.00","0","0","-","-","-","-","0","0","0","0","-","0","0","0","-"
"281","Brian Strait","NYI","D","52","2.45","0.047115384615385","24.49","97.96","20.00","24.49","24.49","50.00","24.49","24.49","50.00","24.49","0","100.00","18.26","1.42","92.77","24.49","48.98","33.33","0","0","-","0","0","-","32.65","65.31","33.33","32.65","0","100.00","0","35.37","0.00","0","0","-","100.00","100.00","2.000","48.98","24.49","0","269.39","100.00","48.98","48.98","0","100.00"
"576","Max McCormick","OTT","R","20","1.25","0.0625","0","96","0.00","0","96","0.00","0","96","0.00","0","0","-","0","3.31","0.00","0","48","0.00","0","0","-","0","0","-","0","64","0.00","0","0","-","0","69.33","0.00","0","0","-","-","100.00","1.00","0","48","0","144","-","0","48","0","-"
"549","Tom Kuhnhackl","PIT","R","42","1.3333333333333","0.031746031746032","90","90","50.00","45","45","50.00","45","45","50.00","0","0","-","4.66","5.35","46.56","90","45","66.67","0","45","0.00","0","0","-","120","0","100.00","0","0","-","0","65","0.00","0","0","-","0.00","100.00","1.000","90","45","0","135","100.00","135","45","0","100.00"
"776","Patrick Brown","CAR","C","7","0.66666666666667","0.095238095238095","0","90","0.00","0","90","0.00","0","0","-","0","0","-","0","5.53","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","130","0.00","0","0","-","-","-","-","0","0","0","180","-","0","0","0","-"
"584","Darren Dietz","MTL","D","13","2.2333333333333","0.17179487179487","0","80.6","0.00","0","53.73","0.00","0","26.87","0.00","0","26.87","0.00","0","3.19","0.00","0","53.73","0.00","0","26.87","0.00","0","26.87","0.00","0","35.82","0.00","0","0","-","0","38.81","0.00","0","0","-","-","0.00","0.00","0","26.87","0","53.73","-","0","26.87","0","-"
"824","Sergei Plotnikov","ARI, PIT","L","45","5.2166666666667","0.11592592592593","115.02","80.51","58.82","80.51","57.51","58.33","57.51","23","71.43","0","0","-","5.76","2.33","71.23","57.51","23","71.43","23","11.5","66.67","0","0","-","46.01","15.34","75.00","0","0","-","66.45","66.45","50.00","0","0","-","0.00","100.00","1.000","34.5","11.5","0","149.52","100.00","57.51","11.5","11.5","83.33"
"779","Garnet Hathaway","CGY","R","14","1.6166666666667","0.11547619047619","74.23","74.23","50.00","74.23","74.23","50.00","74.23","74.23","50.00","37.11","0","100.00","4.14","6.74","38.04","37.11","37.11","50.00","0","37.11","0.00","0","0","-","49.48","0","100.00","0","0","-","53.61","53.61","50.00","53.61","0","100.00","50.00","100.00","1.500","74.23","37.11","0","259.79","100.00","74.23","37.11","0","100.00"
"37","Martin Havlat","STL","R","2","0.86666666666667","0.43333333333333","0","69.23","0.00","0","69.23","0.00","0","69.23","0.00","0","0","-","0","2.76","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","100","0.00","0","0","-","-","100.00","1.00","0","0","0","69.23","-","0","0","0","-"
"741","Laurent Dauphin","ARI","C","8","0.91666666666667","0.11458333333333","130.91","65.45","66.67","65.45","65.45","50.00","65.45","65.45","50.00","0","0","-","1.89","2.25","45.72","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","94.55","94.55","50.00","0","0","-","0.00","100.00","1.000","130.91","65.45","0","130.91","100.00","130.91","65.45","0","100.00"
"693","Adam Pelech","NYI","D","9","4.7333333333333","0.52592592592593","63.38","63.38","50.00","50.7","25.35","66.67","50.7","25.35","66.67","12.68","0","100.00","15.46","1.57","90.77","38.03","12.68","75.00","12.68","0","100.00","0","0","-","33.8","16.9","66.67","16.9","0","100.00","18.31","54.93","25.00","0","0","-","25.00","100.00","1.250","25.35","0","0","114.08","100.00","38.03","38.03","12.68","75.00"
"702","Trevor Carrick","CAR","D","2","0.95","0.475","0","63.16","0.00","0","63.16","0.00","0","63.16","0.00","0","0","-","0","3.47","0.00","0","63.16","0.00","0","0","-","0","0","-","0","84.21","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","63.16","-","0","0","0","-"
"79","Dennis Seidenberg","BOS","D","61","3.1","0.050819672131148","77.42","58.06","57.14","58.06","38.71","60.00","38.71","38.71","50.00","19.35","0","100.00","4.2","2.52","62.48","58.06","19.35","75.00","19.35","0","100.00","19.35","0","100.00","51.61","25.81","66.67","0","0","-","0","27.96","0.00","0","0","-","50.00","100.00","1.500","96.77","58.06","19.35","135.48","83.33","116.13","77.42","19.35","85.71"
