"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"403","Nikolai Prokhorkin","L.A","L","43","26.216666666667","0.60968992248062","68.66","27.46","71.43","54.93","27.46","66.67","43.48","27.46","61.29","6.87","0","100.00","4.88","1.37","78.04","25.17","11.44","68.75","11.44","6.87","62.50","2.29","0","100.00","18.31","6.1","75.00","3.05","0","100.00","56.2","6.61","89.47","0","0","-","15.79","100.00","1.158","27.46","4.58","0","57.22","100.00","32.04","9.15","4.58","87.50"
"532","Jayce Hawryluk","FLA, OTT","C, R","26","4.4","0.16923076923077","68.18","27.27","71.43","68.18","27.27","71.43","68.18","27.27","71.43","0","0","-","9.19","0.02","99.74","40.91","0","100.00","27.27","0","100.00","0","0","-","18.18","0","100.00","0","0","-","39.39","0","100.00","0","0","-","0.00","100.00","1.000","27.27","0","0","122.73","100.00","54.55","0","0","100.00"
"716","Morgan Geekie","CAR","C","2","4.4","2.2","150","27.27","84.62","122.73","27.27","81.82","95.45","27.27","77.78","27.27","0","100.00","9.52","1.48","86.53","81.82","13.64","85.71","40.91","13.64","75.00","13.64","0","100.00","54.55","0","100.00","0","0","-","78.79","0","100.00","19.7","0","100.00","28.57","100.00","1.286","40.91","27.27","0","13.64","100.00","40.91","27.27","0","100.00"
"174","Mark Barberio","COL","D","21","2.2166666666667","0.10555555555556","27.07","27.07","50.00","0","27.07","0.00","0","27.07","0.00","0","0","-","0","1.47","0.00","0","27.07","0.00","0","0","-","0","0","-","0","36.09","0.00","0","0","-","39.1","0","100.00","0","0","-","-","100.00","1.00","0","0","0","108.27","-","0","0","0","-"
"342","Jamie Oleksiak","DAL","D","69","2.25","0.032608695652174","53.33","26.67","66.67","53.33","26.67","66.67","26.67","26.67","50.00","0","0","-","6.04","0.03","99.57","53.33","0","100.00","26.67","0","100.00","0","0","-","35.56","0","100.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","53.33","53.33","26.67","213.33","66.67","53.33","80","26.67","66.67"
"73","Anton Stralman","FLA","D","69","11.433333333333","0.16570048309179","20.99","26.24","44.44","10.5","26.24","28.57","5.25","26.24","16.67","0","0","-","0.15","0.83","15.15","5.25","5.25","50.00","5.25","0","100.00","0","0","-","0","7","0.00","0","0","-","22.74","22.74","50.00","0","0","-","0.00","100.00","1.000","20.99","41.98","10.5","73.47","66.67","20.99","52.48","15.74","57.14"
"164","Dale Weise","MTL","R","23","2.3","0.1","26.09","26.09","50.00","26.09","26.09","50.00","26.09","0","100.00","0","0","-","0.19","0.5","27.24","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","37.68","0.00","0","0","-","0.00","-","0.00","52.17","52.17","0","104.35","100.00","52.17","52.17","0","100.00"
"461","Jacob de la Rose","DET, STL","C, L","50","2.3","0.046","0","26.09","0.00","0","26.09","0.00","0","26.09","0.00","0","0","-","0","1.11","0.00","0","26.09","0.00","0","0","-","0","0","-","0","34.78","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","26.09","26.09","0","182.61","100.00","26.09","26.09","0","100.00"
"453","Nick Paul","OTT","L","56","29.916666666667","0.53422619047619","102.28","26.07","79.69","74.21","22.06","77.08","58.16","16.04","78.38","6.02","2.01","75.00","7.91","1.12","87.56","62.17","10.03","86.11","26.07","4.01","86.67","2.01","2.01","50.00","48.13","8.02","85.71","0","0","-","55.04","8.69","86.36","5.79","0","100.00","10.34","87.50","0.978","36.1","14.04","0","66.18","100.00","50.14","16.04","2.01","96.15"
"741","Filip Chytil","NYR","C","60","76.8","1.28","89.06","25.78","77.55","65.63","21.09","75.68","50","19.53","71.91","5.47","0.78","87.50","6.33","0.86","88.09","42.19","7.03","85.71","23.44","2.34","90.91","3.13","0","100.00","25","6.25","80.00","1.04","1.04","50.00","66.58","10.16","86.76","2.26","0","100.00","10.94","96.00","1.069","24.22","3.91","3.13","56.25","88.57","31.25","8.59","3.91","88.89"
