"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"420","Jonathan Drouin","MTL","L","44","0.63333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"421","Seth Jones","CBJ","D","56","112.11666666667","0","0","0","0","0","-","1","0.00","0","2","1","0","0","0","0","0","0","0","0","0","1","3","2","5","3","18","0","0","-"
"423","Sean Monahan","CGY","C","50","27","0","0","0","0","0","-","0","-","0.08","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","10","11","47.62"
"424","Darnell Nurse","EDM","D","56","136.93333333333","0","0","0","0","0","0.00","5","0.00","0.07","7","6","0","0","0","0","0","0","0","0","0","2","7","3","5","0","19","0","0","-"
"425","Rasmus Ristolainen","BUF","D","49","111.16666666667","0","0","0","0","0","0.00","3","0.00","0","3","3","0","0","0","0","0","0","0","0","0","1","1","0","15","3","12","0","0","-"
"428","Samuel Morin","PHI","L","20","11.733333333333","0","0","0","0","0","-","1","0.00","0.04","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"429","Max Domi","CBJ","C","54","2.4166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"430","Josh Morrissey","WPG","D","56","65.383333333333","0","0","0","0","0","-","1","0.00","0.01","3","2","0","0","1","0","0","0","0","0","0","0","5","1","3","0","11","0","0","-"
"432","Ryan Pulock","NYI","D","56","84.4","0","0","0","0","0","0.00","1","0.00","0.01","2","1","0","0","0","0","2","1","1","0","0","0","2","0","4","0","18","0","0","-"
"433","Nikita Zadorov","CHI","D","54","95.616666666667","0","0","0","0","0","0.00","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","3","2","7","4","11","0","0","-"
"434","Curtis Lazar","BOS, BUF","C","50","103.66666666667","0","0","0","0","0","-","7","0.00","0.46","8","8","6","2","0","1","2","1","1","0","0","0","0","5","3","2","7","20","36","35.71"
"435","Anthony Mantha","DET, WSH","R","56","7.45","0","0","0","0","0","-","0","-","0","2","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"436","Dakota Mermis","MIN","D","3","0.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","-"
"437","Nathan Walker","STL","L","8","2.7833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0.00"
"438","Josh Currie","PIT","R","1","1.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"439","Joel Hanley","DAL","D","35","14.75","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","-"
"440","Kevin Czuczman","PIT","D","2","0.66666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"441","Conor Sheary","WSH","L","53","1.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"442","Trevor van Riemsdyk","WSH","D","20","33.05","0","0","0","0","0","-","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","0","-"
"444","Jordan Oesterle","ARI","D","43","53.3","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","2","1","1","0","0","0","1","0","3","0","13","0","0","-"
