"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"691","Turner Elson","CGY","C","1","11.55","11.55","0","5.19","0","5.19","5.19","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.39","5.19","0","0","0","-"
"875","Pavel Zacha","N.J","C","1","11.7","11.7","0","10.26","5.13","5.13","10.26","50.00","10.26","0.00","0.74","15.38","15.38","15.38","0","0","0","0","0","0","0","0","0","0","10.26","5.13","0","0","10.26","25.64","146.52"
"767","Viktor Loov","TOR","D","4","40.533333333333","10.133333333333","0","2.96","0","2.96","2.96","50.00","1.48","0.00","0.13","10.36","7.4","1.48","0","0","0","0","0","0","0","0","0","0","0","11.84","5.92","1.48","0","0","-"
"883","Evan Rodrigues","BUF","L","2","21.983333333333","10.991666666667","2.73","2.73","0","2.73","5.46","100.00","19.11","14.29","1.06","30.02","24.56","13.65","2.73","0","0","0","0","0","0","0","0","0","0","8.19","2.73","0","0","0","-"
"281","Tom Sestito","PIT","L","4","23.183333333333","5.7958333333333","0","2.59","0","2.59","2.59","100.00","2.59","0.00","0.29","2.59","2.59","2.59","2.59","0","0","49.17","10.35","5.18","2.59","2.59","7.76","2.59","0","33.64","5.18","2.59","0","0","-"
"771","Buddy Robinson","OTT","R","3","25.733333333333","8.5777777777778","2.33","2.33","0","2.33","4.66","66.67","11.66","20.00","0.72","16.32","11.66","9.33","4.66","0","0","9.33","4.66","4.66","0","0","0","2.33","0","25.65","4.66","2.33","0","2.33","0.00"
"752","Charles Hudon","MTL","L","3","29.9","9.9666666666667","0","4.01","2.01","2.01","4.01","100.00","4.01","0.00","0.33","10.03","10.03","4.01","0","0","2.01","0","0","0","0","0","0","0","4.01","14.05","6.02","2.01","0","2.01","0.00"
"760","Josh Anderson","CBJ","R","12","127.35","10.6125","0.47","1.41","0","1.41","1.88","80.00","5.18","9.09","0.57","10.37","7.54","6.12","3.77","0.47","0.47","0.94","0.47","0.47","0","0","0.47","0.47","1.88","18.85","5.65","1.88","0","0","-"
"833","Joel Hanley","MTL","D","10","143.36666666667","14.336666666667","0","2.51","1.26","1.26","2.51","75.00","3.77","0.00","0.11","6.7","5.86","0","0","0.42","0","0","0","0","0","0","0","1.67","0.84","2.09","6.28","7.53","0","0","-"
"390","Aaron Ness","WSH","D","8","97.75","12.21875","0","1.23","0","1.23","1.23","33.33","4.91","0.00","0.27","11.05","7.98","1.84","0","0","0","1.23","0.61","0.61","0","0","0.61","1.23","0","2.46","5.52","4.3","0","0","-"
"590","Marek Hrivik","NYR","L","5","48.716666666667","9.7433333333333","0","1.23","0","1.23","1.23","33.33","3.69","0.00","0.3","6.16","3.69","3.69","1.23","1.23","0","0","0","0","0","0","0","2.46","0","7.39","6.16","1.23","3.69","2.46","73.90"
"779","Joel Vermin","T.B","R","6","49.8","8.3","0","1.2","0","1.2","1.2","50.00","1.2","0.00","0.22","6.02","3.61","3.61","1.2","0","0","0","0","0","0","0","0","1.2","0","7.23","16.87","2.41","1.2","0","120.48"
"12","Joe Thornton","S.J","C","82","1201.1333333333","14.647967479675","0.55","2.1","1.05","1.05","2.65","70.67","4.25","12.94","0.38","7.19","5.89","3.3","1.65","0.2","0.3","2.3","0.95","0.9","0","0.05","0.9","4.2","3.4","2.25","3.05","1.5","15.34","14.24","2.59"
"768","JC Lipon","WPG","R","9","62.7","6.9666666666667","0","0.96","0","0.96","0.96","100.00","3.83","0.00","0.24","6.7","3.83","3.83","0.96","0","0","4.78","0.96","0","0.96","0","1.91","0","0.96","27.75","6.7","1.91","0","0","-"
"727","Derrick Pouliot","PIT","D","22","315.73333333333","14.351515151515","0","1.33","0.38","0.95","1.33","46.67","4.18","0.00","0.25","9.88","5.7","2.85","0.57","0.19","0.95","0.38","0.19","0.19","0","0","0.19","0.38","1.14","2.85","7.03","3.42","0","0","-"
"769","Jayson Megna","NYR","C","6","63.066666666667","10.511111111111","0.95","0.95","0","0.95","1.9","100.00","7.61","12.50","1.08","18.08","12.37","10.47","5.71","0","0","1.9","0.95","0.95","0","0","0.95","1.9","0.95","5.71","7.61","0.95","0.95","0","95.14"
"299","Mathieu Perreault","WPG","C","71","966.95","13.619014084507","0.19","1.43","0.5","0.93","1.61","61.90","6.52","2.86","0.6","12.84","8.81","7.57","2.73","0.12","0.68","2.11","1.05","1.05","0","0","1.18","1.18","1.86","4.9","3.6","1.99","4.96","5.15","3.05"
"128","Steve Bernier","NYI","R","24","262.01666666667","10.917361111111","0.23","1.14","0.23","0.92","1.37","75.00","6.18","3.70","0.51","9.85","7.1","5.72","3.43","0.69","0.23","2.06","0.69","0.46","0.23","0","0.69","1.6","1.37","9.62","5.72","2.98","0","0","-"
"337","Brandon Sutter","VAN","C","20","270.85","13.5425","0.66","0.89","0","0.89","1.55","63.64","7.09","9.38","0.53","11.08","9.3","6.65","3.1","0.22","0.44","0.44","0.22","0.22","0","0","1.11","1.11","0.66","2.44","3.99","1.99","23.92","20.16","12.02"
"400","Andrew Campbell","TOR","D","6","67.1","11.183333333333","0","0.89","0","0.89","0.89","50.00","0.89","0.00","0.13","2.68","2.68","0.89","0","0.89","0","1.79","0.89","0.89","0","0","0.89","0.89","0.89","4.47","9.84","8.05","0","0","-"
"876","Connor McDavid","EDM","C","45","679.76666666667","15.105925925926","1.15","1.85","0.97","0.88","3","82.93","7.33","15.66","0.86","10.68","9.44","8.83","5.3","0.26","0.62","1.41","0.71","0.71","0","0","1.5","0.97","2.38","0.88","3.53","0.88","20.83","30.36","3.59"
"416","Mark Barberio","MTL","D","30","414.78333333333","13.826111111111","0.29","1.16","0.29","0.87","1.45","50.00","4.48","6.45","0.23","11.28","5.93","2.17","1.01","0.43","1.3","0.87","0.43","0.43","0","0","0.29","2.6","1.45","1.74","7.96","2.6","0","0","-"
"514","Dave Dziurzynski","OTT","L","14","138","9.8571428571429","0.43","1.3","0.43","0.87","1.74","100.00","5.65","7.69","0.45","8.7","7.83","5.22","2.17","0.43","0","3.91","1.3","0.87","0.43","0","0.43","0.87","0.87","23.48","8.7","3.04","1.3","1.74","18.63"
"693","Jonathan Marchessault","T.B","C","45","413.18333333333","9.1818518518519","0.44","1.16","0.29","0.87","1.6","84.62","9.15","4.76","0.84","14.38","12.05","9","4.65","0.58","1.16","2.18","0.87","0.73","0.15","0","2.03","1.02","1.02","7.84","6.53","1.16","3.19","1.89","9.13"
