"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"605","Andrew Agozzino","COL","L","1","9.75","9.75","0","6.15","0","6.15","6.15","100.00","6.15","0.00","0.59","12.31","12.31","6.15","6.15","0","6.15","0","0","0","0","0","0","0","6.15","6.15","0","0","0","12.31","0.00"
"722","Michael Paliotta","CHI","D","1","12.75","12.75","0","4.71","0","4.71","4.71","100.00","9.41","0.00","0.2","14.12","14.12","0","0","0","0","0","0","0","0","0","0","0","0","0","9.41","9.41","0","0","-"
"437","Keaton Ellerby","WPG","D","1","16.966666666667","16.966666666667","0","3.54","0","3.54","3.54","inf","0","-","0","3.54","0","0","0","0","0","0","0","0","0","0","0","3.54","0","3.54","10.61","3.54","0","0","-"
"354","Tom Sestito","VAN","L","3","18.716666666667","6.2388888888889","0","3.21","0","3.21","3.21","100.00","0","-","0.2","3.21","3.21","0","0","0","0","22.44","6.41","3.21","3.21","0","16.03","0","0","32.06","6.41","0","0","0","-"
"683","Michael Sgarbossa","COL","C","3","20.716666666667","6.9055555555556","0","2.9","0","2.9","2.9","33.33","5.79","0.00","0.17","14.48","8.69","2.9","0","0","0","28.96","2.9","0","0","2.9","8.69","0","0","0","5.79","2.9","26.07","31.86","130.33"
"718","Shane Prince","OTT","L","2","20.95","10.475","0","2.86","0","2.86","2.86","100.00","5.73","0.00","1.05","17.18","11.46","11.46","5.73","0","0","0","0","0","0","0","0","0","0","5.73","5.73","0","0","0","-"
"250","Peter Regin","CHI","C","4","32.316666666667","8.0791666666667","0","1.86","0","1.86","1.86","100.00","5.57","0.00","0.52","9.28","9.28","5.57","5.57","0","0","0","0","0","0","0","1.86","0","5.57","5.57","13","0","1.86","1.86","92.83"
"780","Daniil Tarasov","S.J","R","5","35.95","7.19","0","1.67","0","1.67","1.67","50.00","8.34","0.00","0.42","11.68","10.01","6.68","1.67","0","0","0","0","0","0","0","0","0","0","3.34","1.67","1.67","1.67","0","166.90"
"508","Sean Collins","CBJ","C","8","82.216666666667","10.277083333333","0","1.46","0","1.46","1.46","66.67","2.92","0.00","0.16","5.11","3.65","2.92","0.73","0","0","1.46","0.73","0.73","0","0","0.73","0","0","13.14","6.57","0","1.46","2.19","29.19"
"845","Emile Poirier","CGY","L","6","46.7","7.7833333333333","0","1.28","0","1.28","1.28","100.00","2.57","0.00","0.18","7.71","5.14","2.57","0","1.28","0","0","0","0","0","0","2.57","0","3.85","8.99","8.99","1.28","0","1.28","0.00"
"372","Frédéric St-Denis","CBJ","D","4","51.85","12.9625","0","1.16","0","1.16","1.16","100.00","2.31","0.00","0.1","9.26","2.31","3.47","1.16","0","0","0","0","0","0","0","2.31","0","0","2.31","3.47","2.31","0","0","-"
"689","Kael Mouillierat","NYI","L","6","51.916666666667","8.6527777777778","1.16","1.16","0","1.16","2.31","100.00","1.16","100.00","0.33","4.62","3.47","2.31","1.16","0","0","9.25","3.47","3.47","0","0","0","0","4.62","9.25","3.47","3.47","18.49","20.8","54.39"
"692","Taylor Fedun","S.J","D","7","104.46666666667","14.92380952381","0","1.15","0","1.15","1.15","66.67","4.59","0.00","0.39","12.06","6.89","4.02","1.15","0","1.15","2.3","1.15","1.15","0","0","2.3","0.57","1.72","0","11.49","4.59","0","0","-"
"705","Ondrej Palat","T.B","L","75","999.93333333333","13.332444444444","0.72","2.28","1.14","1.14","3","69.44","7.2","10.00","0.72","13.68","10.2","9.36","3.24","0.3","0.66","1.32","0.66","0.66","0","0","0.66","2.04","1.92","6.78","6.66","2.1","0.54","1.38","1.69"
"491","David Warsofsky","BOS","D","4","57.933333333333","14.483333333333","0","1.04","0","1.04","1.04","50.00","4.14","0.00","0.08","9.32","5.18","2.07","0","0","0","0","0","0","0","0","0","1.04","0","2.07","6.21","2.07","0","0","-"
"450","Chris Mueller","NYR","C","7","60.016666666667","8.5738095238095","0","1","0","1","1","33.33","6","0.00","0.24","9","6","4","1","0","1","0","0","0","0","0","1","0","1","3","9","1","25.99","24.99","50.97"
"835","Andrew Miller","EDM","C","9","123.45","13.716666666667","0","2.43","1.46","0.97","2.43","100.00","6.32","0.00","0.55","10.21","9.23","7.78","2.43","0.49","0.97","0","0","0","0","0","0.49","2.92","1.46","3.4","4.37","2.92","0","0.49","0.00"
"355","Derick Brassard","NYR","C","80","1152.4833333333","14.406041666667","0.68","1.51","0.57","0.94","2.19","70.00","6.51","10.40","0.55","11.09","8.54","6.14","3.18","0.31","0.21","1.67","0.83","0.83","0","0","0.99","1.46","2.08","5.36","2.86","0.68","29.62","31.5","2.52"
