"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"883","Brad Lambert","WPG","C","1","9.2666666666667","9.2666666666667","0","6.47","0","6.47","6.47","100.00","6.47","0.00","0.3","12.95","12.95","0","0","0","0","0","0","0","0","0","0","0","0","0","12.95","6.47","19.42","25.9","277.49"
"697","Kirby Dach","MTL","C","2","18.933333333333","9.4666666666667","0","6.34","0","6.34","6.34","100.00","9.51","0.00","0.58","15.85","9.51","9.51","6.34","0","0","0","0","0","0","0","3.17","0","3.17","9.51","9.51","0","9.51","15.85","118.84"
"747","Aku Raty","ARI","R","1","11.75","11.75","0","5.11","0","5.11","5.11","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","5.11","0","0","10.21","0","0","0","0","-"
"849","Logan Mailloux","MTL","D","1","21.116666666667","21.116666666667","0","2.84","0","2.84","2.84","50.00","5.68","0.00","0.29","11.37","11.37","2.84","0","0","0","0","0","0","0","0","2.84","0","0","2.84","11.37","2.84","0","0","-"
"369","Matthew Highmore","OTT","C","7","45.283333333333","6.4690476190476","0","2.65","0","2.65","2.65","100.00","1.32","0.00","0.71","6.62","6.62","5.3","3.97","0","1.32","0","0","0","0","0","1.32","1.32","0","3.97","14.57","3.97","2.65","2.65","66.25"
"738","Vladislav Kolyachonok","ARI","D","5","62.366666666667","12.473333333333","0.96","2.89","0.96","1.92","3.85","57.14","4.81","20.00","0.21","9.62","6.73","3.85","0","0","0.96","1.92","0.96","0.96","0","0","0","0","0.96","2.89","9.62","5.77","0","0","-"
"472","Kale Clague","BUF","D","3","36.816666666667","12.272222222222","0","1.63","0","1.63","1.63","50.00","3.26","0.00","0.15","9.78","4.89","6.52","0","0","1.63","3.26","1.63","1.63","0","0","0","0","0","1.63","6.52","0","0","0","-"
"662","Jonatan Berggren","DET","R","12","121.63333333333","10.136111111111","0.99","1.97","0.49","1.48","2.96","75.00","6.91","14.29","0.48","10.36","8.88","4.93","1.97","0","0.99","0.99","0.49","0.49","0","0","2.47","0","1.48","0.99","4.44","3.45","0","0","-"
"756","Marc Del Gaizo","NSH","D","9","134.05","14.894444444444","0","1.34","0","1.34","1.34","37.50","3.58","0.00","0.16","11.64","5.82","3.58","0.45","0.45","0","0.9","0.45","0.45","0","0","0.9","1.79","1.79","8.95","5.37","4.03","0","0","-"
"807","Roby Jarventie","OTT","L","7","52.65","7.5214285714286","0","1.14","0","1.14","1.14","100.00","5.7","0.00","0.76","9.12","6.84","5.7","4.56","0","1.14","4.56","2.28","2.28","0","0","0","3.42","1.14","5.7","6.84","6.84","12.54","27.35","35.82"
"890","Liam Ohgren","MIN","L","4","53.383333333333","13.345833333333","1.12","1.12","0","1.12","2.25","100.00","7.87","14.29","0.75","14.61","11.24","7.87","3.37","2.25","2.25","0","0","0","0","0","1.12","0","2.25","2.25","4.5","0","0","2.25","0.00"
"476","Riley Tufte","COL","L","5","53.866666666667","10.773333333333","1.11","1.11","0","1.11","2.23","100.00","7.8","14.29","0.6","12.25","11.14","8.91","4.46","2.23","1.11","2.23","1.11","1.11","0","0","1.11","1.11","2.23","8.91","4.46","2.23","1.11","1.11","55.69"
"852","James Malatesta","CBJ","L","11","108.03333333333","9.8212121212121","1.11","1.11","0","1.11","2.22","100.00","6.11","18.18","0.49","11.66","10","6.11","2.78","0.56","0.56","2.78","0.56","0","0.56","0","1.67","1.11","0.56","22.77","5.55","1.11","0","0.56","0.00"
"381","Connor McDavid","EDM","C","76","1333.1166666667","17.54100877193","1.04","2.84","1.76","1.08","3.87","78.90","8.87","11.68","1.05","15.57","12.29","9.59","4.1","0.45","1.71","0.99","0.5","0.5","0","0","1.67","3.29","2.79","5.09","4.86","1.71","18.77","17.64","2.32"
"801","Hendrix Lapierre","WSH","C","51","529.13333333333","10.375163398693","0.91","1.36","0.34","1.02","2.27","90.91","5.33","17.02","0.54","9.53","8.05","4.88","2.95","0.34","0.34","0.45","0.11","0.11","0","0","0.91","2.04","2.15","2.83","4.2","3.4","11.91","19.28","4.33"
"201","Mark Jankowski","NSH","C","32","357.96666666667","11.186458333333","1.01","1.17","0.17","1.01","2.18","72.22","7.54","13.33","0.98","14.25","11.57","12.07","4.69","0.34","0.67","1.34","0.67","0.67","0","0","0.34","1.68","2.85","1.34","4.02","1.84","11.23","11.4","8.32"
"483","Josh Mahura","FLA","D","30","357.63333333333","11.921111111111","0","1.34","0.34","1.01","1.34","61.54","4.03","0.00","0.16","7.89","5.37","2.18","0.34","0","0","3.36","1.68","1.68","0","0","1.34","1.01","0.5","5.87","10.07","4.53","0","0","-"
