"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"744","Adam Johnson","PIT","C","7","0.21666666666667","0.030952380952381","0","553.85","0.00","0","553.85","0.00","0","276.92","0.00","0","0","-","0","60.64","0.00","0","276.92","0.00","0","0","-","0","0","-","0","369.23","0.00","0","0","-","0","400","0.00","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
"556","Anthony Angello","PIT","C","8","0.26666666666667","0.033333333333333","0","450","0.00","0","450","0.00","0","225","0.00","0","0","-","0","47.6","0.00","0","225","0.00","0","225","0.00","0","0","-","0","0","-","0","0","-","0","325","0.00","0","0","-","-","100.00","1.00","0","0","0","225","-","0","0","0","-"
"500","Daniel Carr","NSH","L","11","0.31666666666667","0.028787878787879","0","378.95","0.00","0","378.95","0.00","0","189.47","0.00","0","0","-","0","55.5","0.00","0","189.47","0.00","0","189.47","0.00","0","0","-","0","0","-","0","0","-","0","273.68","0.00","0","0","-","-","100.00","1.00","0","0","0","189.47","-","0","0","0","-"
"450","Peter Cehlarik","BOS","L","3","0.76666666666667","0.25555555555556","0","313.04","0.00","0","313.04","0.00","0","156.52","0.00","0","0","-","0","28.45","0.00","0","156.52","0.00","0","156.52","0.00","0","0","-","0","0","-","0","0","-","0","226.09","0.00","0","0","-","-","100.00","1.00","0","0","0","78.26","-","0","0","0","-"
"219","Gabriel Dumont","MIN","C","3","0.2","0.066666666666667","0","300","0.00","0","300","0.00","0","300","0.00","0","0","-","0","15.35","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","433.33","0.00","0","0","-","-","100.00","1.00","0","0","0","300","-","0","0","0","-"
"637","Adam Gaudette","VAN","C","59","0.4","0.0067796610169492","0","300","0.00","0","300","0.00","0","300","0.00","0","150","0.00","0","6.84","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","433.33","0.00","0","216.67","0.00","-","50.00","0.50","0","0","150","0","0.00","0","0","150","0.00"
"415","Joseph Blandisi","PIT","C","21","1.0666666666667","0.050793650793651","0","281.25","0.00","0","168.75","0.00","0","168.75","0.00","0","56.25","0.00","0","9.91","0.00","0","112.5","0.00","0","0","-","0","0","-","0","150","0.00","0","75","0.00","0","243.75","0.00","0","0","-","-","66.67","0.67","0","0","0","112.5","-","0","0","0","-"
"177","Antoine Roussel","VAN","L","41","0.43333333333333","0.010569105691057","0","276.92","0.00","0","276.92","0.00","0","276.92","0.00","0","0","-","0","28.32","0.00","0","276.92","0.00","0","0","-","0","0","-","0","369.23","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","138.46","-","0","0","0","-"
"629","Christian Wolanin","OTT","D","3","0.21666666666667","0.072222222222222","0","276.92","0.00","0","276.92","0.00","0","276.92","0.00","0","276.92","0.00","0","19.49","0.00","0","276.92","0.00","0","0","-","0","0","-","0","369.23","0.00","0","369.23","0.00","0","0","-","0","0","-","-","0.00","0.00","0","0","276.92","0","0.00","0","0","276.92","0.00"
"489","Anthony Mantha","DET","R","43","0.66666666666667","0.015503875968992","0","270","0.00","0","270","0.00","0","180","0.00","0","90","0.00","0","30.42","0.00","0","180","0.00","0","180","0.00","0","90","0.00","0","0","-","0","0","-","0","130","0.00","0","0","-","-","50.00","0.50","0","0","0","270","-","0","0","0","-"
"474","Jonathan Drouin","MTL","L","27","0.45","0.016666666666667","0","266.67","0.00","0","266.67","0.00","0","266.67","0.00","0","0","-","0","32.35","0.00","0","266.67","0.00","0","266.67","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","133.33","-","0","0","0","-"
"272","Michael Chaput","ARI","C","2","1.45","0.725","0","248.28","0.00","0","124.14","0.00","0","82.76","0.00","0","0","-","0","11.99","0.00","0","206.9","0.00","0","41.38","0.00","0","0","-","0","220.69","0.00","0","0","-","0","59.77","0.00","0","0","-","-","100.00","1.00","0","0","41.38","0","0.00","0","0","82.76","0.00"
"598","Jack Roslovic","WPG","C","71","0.8","0.011267605633803","0","225","0.00","0","150","0.00","0","150","0.00","0","0","-","0","2.22","0.00","0","150","0.00","0","0","-","0","0","-","0","200","0.00","0","0","-","0","108.33","0.00","0","0","-","-","100.00","1.00","0","75","0","150","-","0","75","0","-"
"5","Justin Williams","CAR","R","20","1.1833333333333","0.059166666666667","0","202.82","0.00","0","202.82","0.00","0","101.41","0.00","0","0","-","0","10.19","0.00","0","101.41","0.00","0","0","-","0","0","-","0","135.21","0.00","0","0","-","0","146.48","0.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"406","Gemel Smith","T.B","C","3","1.8666666666667","0.62222222222222","0","192.86","0.00","0","96.43","0.00","0","32.14","0.00","0","32.14","0.00","0","7.53","0.00","0","64.29","0.00","0","32.14","0.00","0","32.14","0.00","0","42.86","0.00","0","0","-","0","139.29","0.00","0","0","-","-","0.00","0.00","0","0","32.14","32.14","0.00","0","0","32.14","0.00"
"609","Filip Chlapik","OTT","C","31","0.31666666666667","0.010215053763441","0","189.47","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","273.68","0.00","0","0","-","-","-","-","0","0","0","0","-","0","0","378.95","0.00"
"636","Troy Terry","ANA","C, R","47","0.95","0.020212765957447","0","189.47","0.00","0","189.47","0.00","0","126.32","0.00","0","0","-","0","23.65","0.00","0","189.47","0.00","0","126.32","0.00","0","0","-","0","84.21","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","63.16","-","0","0","0","-"
"588","David Kase","PHI","R","6","0.65","0.10833333333333","0","184.62","0.00","0","184.62","0.00","0","184.62","0.00","0","0","-","0","8.03","0.00","0","92.31","0.00","0","0","-","0","0","-","0","123.08","0.00","0","0","-","0","133.33","0.00","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
