"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"177","Pierre-Marc Bouchard","NYI","C","28","0.066666666666667","0.0023809523809524","0","900","0.00","0","900","0.00","0","900","0.00","0","0","-","0","90.47","0.00","0","900","0.00","0","0","-","0","0","-","0","1200","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","0","-","0","900","0","-"
"330","Steve Downie","COL, PHI","R","62","0.066666666666667","0.0010752688172043","0","900","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","900","0.00","0","0","-","0","0","-","0","1200","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","900","0","0.00","0","0","900","0.00"
"492","Colin Wilson","NSH","C, L","81","0.48333333333333","0.0059670781893004","0","372.41","0.00","0","372.41","0.00","0","248.28","0.00","0","0","-","0","44.31","0.00","0","372.41","0.00","0","124.14","0.00","0","0","-","0","331.03","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","248.28","496.55","0.00","0","0","248.28","0.00"
"596","Ben Hanowski","CGY","R","11","0.16666666666667","0.015151515151515","0","360","0.00","0","360","0.00","0","0","-","0","0","-","0","26.08","0.00","0","360","0.00","0","0","-","0","0","-","0","480","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","360","-","0","0","0","-"
"260","David Clarkson","TOR","R","60","0.35","0.0058333333333333","0","342.86","0.00","0","342.86","0.00","0","342.86","0.00","0","171.43","0.00","0","17.97","0.00","0","342.86","0.00","0","0","-","0","0","-","0","457.14","0.00","0","228.57","0.00","0","0","-","0","0","-","-","50.00","0.50","171.43","0","171.43","342.86","50.00","171.43","0","171.43","50.00"
"83","Brian McGrattan","CGY","R","76","0.9","0.011842105263158","0","333.33","0.00","0","200","0.00","0","133.33","0.00","0","0","-","0","6.49","0.00","0","200","0.00","0","0","-","0","0","-","0","266.67","0.00","0","0","-","0","192.59","0.00","0","0","-","-","100.00","1.00","0","0","66.67","133.33","0.00","0","0","66.67","0.00"
"486","Ville Leino","BUF","L","58","0.63333333333333","0.010919540229885","0","284.21","0.00","0","284.21","0.00","0","189.47","0.00","0","94.74","0.00","0","21.92","0.00","0","94.74","0.00","0","0","-","0","0","-","0","126.32","0.00","0","126.32","0.00","0","136.84","0.00","0","0","-","-","50.00","0.50","0","94.74","0","189.47","-","0","94.74","94.74","0.00"
"584","Peter Holland","ANA, TOR","C","43","0.45","0.01046511627907","0","266.67","0.00","0","266.67","0.00","0","133.33","0.00","0","0","-","0","65.76","0.00","0","266.67","0.00","0","133.33","0.00","0","0","-","0","177.78","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","266.67","133.33","0","0.00","0","266.67","133.33","0.00"
"625","Adam Almquist","DET","D","2","0.45","0.225","0","266.67","0.00","0","133.33","0.00","0","133.33","0.00","0","0","-","0","14.36","0.00","0","133.33","0.00","0","133.33","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","266.67","0","0.00","0","0","266.67","0.00"
"748","Alex Galchenyuk","MTL","C","65","1.2666666666667","0.019487179487179","0","236.84","0.00","0","142.11","0.00","0","94.74","0.00","0","0","-","0","18.15","0.00","0","189.47","0.00","0","47.37","0.00","0","0","-","0","189.47","0.00","0","0","-","0","68.42","0.00","0","0","-","-","100.00","1.00","0","47.37","47.37","47.37","0.00","0","47.37","47.37","0.00"
