"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"362","Jordan Eberle","EDM","C, R","69","1.75","0.02536231884058","0","68.57","0.00","0","68.57","0.00","0","68.57","0.00","0","0","-","0","16.75","0.00","0","68.57","0.00","0","68.57","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","68.57","0","240","-","0","68.57","0","-"
"753","Jordan Oesterle","EDM","D","17","21.95","1.2911764705882","2.73","68.34","3.85","2.73","46.47","5.56","0","21.87","0.00","0","2.73","0.00","0.44","4.62","8.75","2.73","49.2","5.26","2.73","24.6","10.00","0","2.73","0.00","0","32.8","0.00","0","0","-","0","27.64","0.00","0","0","-","-","87.50","0.88","0","2.73","21.87","57.4","0.00","2.73","2.73","32.8","7.69"
"325","TJ Brennan","TOR","D","7","2.6666666666667","0.38095238095238","0","67.5","0.00","0","67.5","0.00","0","67.5","0.00","0","0","-","0","8.11","0.00","0","45","0.00","0","0","-","0","0","-","0","60","0.00","0","0","-","0","32.5","0.00","0","0","-","-","100.00","1.00","0","0","22.5","67.5","0.00","0","0","22.5","0.00"
"337","Carl Hagelin","ANA, PIT","L","80","130.8","1.635","18.81","67.43","21.81","16.06","51.38","23.81","12.84","35.78","26.42","0.92","4.59","16.67","1.19","4.01","22.86","9.63","31.19","23.60","5.96","10.55","36.11","0.92","1.38","40.00","4.89","27.52","15.09","0","3.06","0.00","9.94","48.37","17.05","0","1.33","0.00","7.14","87.18","0.943","1.83","9.17","23.39","74.31","7.27","4.59","12.39","27.06","14.49"
"177","Brandon Prust","VAN","L","35","22.433333333333","0.64095238095238","10.7","66.86","13.79","10.7","58.84","15.38","8.02","42.79","15.79","0","10.7","0.00","1.11","5.03","18.08","8.02","37.44","17.65","5.35","13.37","28.57","0","5.35","0.00","3.57","32.1","10.00","0","3.57","0.00","3.86","38.63","9.09","0","3.86","0.00","0.00","75.00","0.750","2.67","5.35","18.72","77.56","12.50","8.02","8.02","21.4","27.27"
"248","Nick Foligno","CBJ","L","72","39.666666666667","0.55092592592593","12.1","66.55","15.38","9.08","52.94","14.63","6.05","39.33","13.33","0","4.54","0.00","0.92","5.77","13.76","9.08","30.25","23.08","4.54","19.66","18.75","0","3.03","0.00","6.05","14.12","30.00","0","0","-","2.18","45.88","4.55","0","0","-","0.00","88.46","0.885","1.51","16.64","18.15","95.29","7.69","3.03","18.15","21.18","12.50"
"394","Mark Barberio","MTL","D","30","13.55","0.45166666666667","0","66.42","0.00","0","53.14","0.00","0","44.28","0.00","0","0","-","0","3.37","0.00","0","17.71","0.00","0","0","-","0","0","-","0","23.62","0.00","0","0","-","0","63.96","0.00","0","0","-","-","100.00","1.00","4.43","4.43","44.28","44.28","9.09","4.43","8.86","53.14","7.69"
"39","Henrik Zetterberg","DET","L","82","6.3333333333333","0.077235772357724","18.95","66.32","22.22","9.47","47.37","16.67","9.47","37.89","20.00","0","0","-","0.1","3.2","3.03","0","47.37","0.00","0","0","-","0","0","-","0","63.16","0.00","0","0","-","27.37","27.37","50.00","0","0","-","0.00","100.00","1.000","28.42","28.42","18.95","265.26","60.00","47.37","37.89","18.95","71.43"
"259","Jiri Tlusty","N.J","L","30","11.8","0.39333333333333","20.34","66.1","23.53","20.34","45.76","30.77","15.25","30.51","33.33","5.08","5.08","50.00","3.42","3.14","52.16","5.08","40.68","11.11","5.08","5.08","50.00","0","0","-","0","47.46","0.00","0","6.78","0.00","7.34","29.38","20.00","0","0","-","33.33","83.33","1.167","5.08","0","15.25","76.27","25.00","5.08","10.17","15.25","25.00"
"552","Ryan Garbutt","ANA, CHI","C","80","51.833333333333","0.64791666666667","16.21","65.98","19.72","15.05","46.3","24.53","10.42","37.04","21.95","2.32","4.63","33.33","1.21","3.95","23.42","10.42","25.47","29.03","4.63","10.42","30.77","1.16","2.32","33.33","7.72","20.06","27.78","1.54","1.54","50.00","6.69","53.5","11.11","0","1.67","0.00","22.22","87.50","1.097","0","4.63","8.1","108.81","0.00","2.32","8.1","10.42","18.18"
