"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"451","Drew Doughty","L.A","D","82","1877.1","22.891463414634","60.76","49","55.36","45.61","37.53","54.86","32.32","26.4","55.04","2.4","2.4","50.00","2.49","2.27","52.33","25.12","22.95","52.26","9.59","8.82","52.08","1.28","1.18","51.95","20.71","18.84","52.37","0.81","1.15","41.30","42.06","30.84","57.69","0.65","0.32","66.67","7.42","90.92","0.983","8.63","15.63","8.79","37.53","49.54","20.97","23.43","18.6","52.99"
"5","Bryce Salvador","N.J","D","15","216.91666666667","14.461111111111","41.77","48.96","46.04","28.49","37.62","43.10","21.85","30.43","41.80","1.38","3.04","31.25","1.74","2.04","45.98","17.98","22.68","44.22","8.3","9.4","46.88","1.11","1.66","40.00","12.91","17.7","42.17","0","1.11","0.00","27.97","32.36","46.36","0.4","0.8","33.33","6.33","90.00","0.963","5.53","16.87","9.13","52.28","37.74","12.72","23.79","17.98","41.44"
"57","Barret Jackman","STL","D","80","1163.3333333333","14.541666666667","54.93","48.95","52.88","41.11","34.04","54.70","29.19","24.81","54.06","2.22","2.11","51.19","2.4","1.91","55.71","25.99","22.38","53.73","9.34","6.96","57.28","0.72","0.83","46.67","22.21","20.56","51.93","1.38","1.17","54.05","34.64","31.14","52.66","0.52","0.6","46.67","7.60","91.48","0.991","7.74","13.77","10.21","48.43","43.10","14.39","18.83","19.29","42.73"
"100","Carlo Colaiacovo","PHI","D","33","518.66666666667","15.717171717172","60.15","48.93","55.14","42.92","35.98","54.40","31.23","26.26","54.33","1.62","1.62","50.00","2.17","2.09","50.95","23.37","19.9","54.01","8.56","8.91","49.01","1.04","1.16","47.37","19.74","14.65","57.40","0.62","0.31","66.67","43.78","34.09","56.22","0.17","0.33","33.33","5.19","93.83","0.990","8.68","12.03","8.33","51.48","51.02","20.71","18.05","16.66","55.42"
"166","Chris Kunitz","PIT","L","74","1085.0333333333","14.662612612613","64.59","48.88","56.92","48.33","36.88","56.72","35.56","27.15","56.70","2.65","2.27","53.93","2.73","2.27","54.58","29.09","22.95","55.90","10.95","9.35","53.95","1.38","1.22","53.19","24.18","18.14","57.14","0.88","0.81","52.17","43.05","31.15","58.02","0.8","0.56","58.82","7.47","91.65","0.991","13.22","14.88","7.24","45.07","64.59","22.51","21.18","15.59","59.07"
"56","Henrik Sedin","VAN","C","82","1216.2166666667","14.831910569106","56.59","48.84","53.67","42.77","36.01","54.29","31.77","24.91","56.05","3.16","2.57","55.17","2.41","2.52","48.82","23.88","24.62","49.24","9.57","9.87","49.24","1.73","1.43","54.69","19.08","19.67","49.24","0.99","0.59","62.50","41.05","30.5","57.37","0.71","0.71","50.00","9.94","89.70","0.996","11.64","19.49","8.73","37.74","57.14","19.88","26.39","16.77","54.24"
"521","Jordan Schroeder","MIN","C","25","269.05","10.762","55.97","48.84","53.40","42.15","32.34","56.59","32.56","23.42","58.17","2.68","0.67","80.00","2.41","1.59","60.28","28.54","18.73","60.38","10.26","7.36","58.23","1.78","0.22","88.89","24.38","15.16","61.65","1.19","0","100.00","31.57","35.11","47.34","0","0.64","0.00","8.22","97.14","1.054","9.14","14.05","10.26","44.16","47.13","19.18","20.96","20.74","48.04"
"787","J.T. Brown","T.B","R","52","492.6","9.4730769230769","48.72","48.84","49.94","35.81","36.18","49.75","26.07","26.43","49.65","1.95","2.19","47.06","1.98","1.99","49.90","22.53","21.56","51.10","9.99","9.5","51.25","1.34","1.1","55.00","16.73","16.08","50.99","0.65","1.14","36.36","32.02","33.96","48.53","0.18","0.35","33.33","7.48","91.71","0.992","7.43","15.47","8.53","44.95","46.56","11.94","20.46","15.23","43.95"
"708","Frank Corrado","VAN","D","10","150.11666666667","15.011666666667","45.96","48.76","48.52","36.77","37.17","49.73","25.18","25.98","49.22","0.8","3.6","18.18","1.83","2.59","41.39","19.19","24.38","44.04","6.79","8.79","43.59","0.4","0.8","33.33","16.52","20.78","44.29","0.53","1.6","25.00","36.37","30.02","54.78","0","1.15","0.00","3.17","86.15","0.893","6.4","14.39","5.6","55.96","53.33","17.99","20.78","19.58","47.87"
"327","Stephen Gionta","N.J","R","61","663.63333333333","10.879234972678","42.76","48.73","46.74","32.19","36.62","46.78","23.51","26.31","47.19","1.81","1.54","54.05","2.01","1.99","50.14","20.79","21.25","49.46","9.04","8.68","51.02","0.99","0.81","55.00","15.67","16.76","48.33","0.36","0.84","30.00","28.47","33.82","45.70","0.78","0.13","85.71","7.69","94.16","1.019","6.96","13.83","10.4","52.98","40.10","11.57","18.72","18.72","38.21"
