"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"151","Max McCormick","SEA","L","1","5.6333333333333","5.6333333333333","-48.53","52.51","-43.52","-20.84","25.38","-27.24","-11.21","12.5","-18.59","-1.2","-3.61","-","0.11","1.1","-4.71","-19.45","9.08","-31.82","2.22","1.02","3.33","0","-2.41","-","-28.9","10.74","-62.07","-1.61","0","-100.00","-50.7","50.84","-55.03","0","0","-","0.00","100.00","1.000","0","21.3","0","74.56","-","10.65","31.95","10.65","50.00"
"279","Gustav Olofsson","SEA","D","1","14.95","14.95","-4.03","51.86","-24.55","-15.67","30.59","-28.75","-17.47","17.26","-39.16","-3.41","0","-","-0.69","1.82","-28.34","-3.22","30.5","-31.37","1.8","14.95","-29.17","-1.71","0","-","-6.7","20.73","-33.33","-2.27","0","-100.00","-2.77","34.19","-19.23","0","0","-","0.00","100.00","1.000","16.05","0","8.03","40.13","66.67","28.09","0","20.07","58.33"
"746","Tyler Angle","CBJ","C","2","16.45","8.225","-35.19","50.21","-32.41","-23.94","28.08","-28.26","-21.32","17.45","-38.31","-1.43","1.51","-40.00","-2.06","2.63","-34.37","-21.96","32.76","-39.47","-6.34","19.35","-27.75","-0.71","2.22","-33.33","-20.82","17.87","-48.86","0","-0.95","0.00","-43.17","29.56","-43.22","-1.03","0","-100.00","0.00","92.31","0.923","0","7.29","0","72.95","-","3.65","7.29","18.24","16.67"
"883","Brad Lambert","WPG","C","1","9.2666666666667","9.2666666666667","-6.56","45.24","-20.00","-2.08","10.66","-9.55","5.54","-0.93","7.14","1.78","-1.57","25.00","-1.19","-0.22","-10.69","-10.75","10.45","-27.33","4.91","-1.14","23.33","6.47","-1.57","100.00","-20.88","15.46","-66.67","-4.18","0","-100.00","6.05","45.42","-19.60","0","0","-","25.00","100.00","1.250","0","19.42","0","58.27","-","12.95","19.42","19.42","40.00"
"121","Alex Petrovic","DAL","D","1","12.483333333333","12.483333333333","-26.47","42.04","-24.73","-13.17","45.9","-27.31","-10.07","38.81","-32.00","2.11","8.27","-33.33","-4.36","5.02","-59.57","-25.84","44.38","-42.20","-18.11","18.06","-53.71","-1.35","9.61","-100.00","-10.31","35.09","-35.63","-1.8","0","-100.00","7.13","-7.27","7.43","6.94","-1.95","100.00","12.50","83.33","0.958","19.23","0","4.81","62.48","80.00","43.26","14.42","4.81","90.00"
"249","Anton Blidh","NYR","L","1","5.35","5.35","-23.67","41.34","-25.29","-9.36","33.7","-22.81","-5.79","34.57","-28.19","-2.69","8.53","-50.00","-1.62","0.15","-27.54","-15.66","19.33","-31.28","-13.44","8.99","-50.00","0","8.53","0.00","-2.96","13.78","-19.30","0","0","-","-77.64","29.86","-68.97","-3.88","0","-100.00","0.00","80.00","0.800","0","0","11.21","100.93","0.00","0","0","22.43","0.00"
"664","Ruslan Iskhakov","NYI","C","1","12.7","12.7","-8.01","40.14","-12.92","-2.46","32.56","-12.82","13.81","22.43","0.00","-4.5","-3","-","0.98","2.9","-8.25","-7.64","37.88","-23.60","2.18","14.85","-13.73","-3","-1.5","-","-13.09","30.7","-30.17","-2","-2","-50.00","-9.52","-18.72","-0.71","0","0","-","0.00","100.00","1.000","4.72","18.9","9.45","51.97","33.33","18.9","18.9","18.9","50.00"
"484","Victor Mete","PHI","D","1","10.866666666667","10.866666666667","-12.12","33.33","-13.91","-0.39","34.22","-12.24","2.47","5.13","-1.19","-6.7","-3.35","-","0.8","2.07","-6.31","5.33","25.05","-7.14","6.51","-4.53","25.00","-5.03","-1.68","-","-1.58","39.44","-15.00","0","0","-","-16.52","12.68","-12.55","-2.42","-2.42","-50.00","0.00","100.00","1.000","5.52","11.04","11.04","49.69","33.33","16.56","16.56","11.04","60.00"
"845","Oskar Olausson","COL","R","1","11.833333333333","11.833333333333","-25.46","30.82","-23.42","-19.88","30.98","-29.41","-15.88","30.62","-32.31","-4.72","0","-","-3.15","2.8","-57.19","-19.73","11.2","-39.29","-10.65","10.5","-51.92","-4.72","0","-","-12.1","0.94","-26.67","0","0","-","-3.74","23.28","-11.34","0","0","-","0.00","100.00","1.000","5.07","10.14","5.07","60.85","50.00","10.14","20.28","20.28","33.33"
"541","Jake Leschyshyn","NYR","C","1","6.4666666666667","6.4666666666667","-38.69","28.68","-28.45","-18.68","2.73","-11.82","-20.5","-0.97","-16.67","-1.39","6.49","-33.33","-2.96","-1.16","-14.40","-35.36","20.38","-52.73","-10.25","-6.97","26.32","-1.39","0","-","-33.48","36.47","-72.00","0","10.51","0.00","-8.85","20.06","-18.47","0","0","-","0.00","50.00","0.500","0","0","0","92.78","-","0","0","0","-"
