"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"799","Ben Jones","VGK","C","2","16.05","8.025","-8.84","58.24","-23.52","-7.53","29.64","-19.64","-12.16","27.28","-27.13","1.53","0.79","7.14","-0.84","1.67","-23.55","-2.53","37.7","-26.13","1.69","3.11","-4.93","1.53","-2.21","50.00","-5.62","46.12","-34.25","0","4.98","0.00","-0.61","28.52","-16.37","0","-1.06","0.00","14.29","92.86","1.071","3.74","11.21","7.48","63.55","33.33","3.74","14.95","33.64","10.00"
"779","C.J. Smith","CAR","L","1","9.3666666666667","9.3666666666667","-6.98","57.19","-20.94","5.95","52.46","-16.74","-3.52","38.15","-21.13","-4.85","6.41","-100.00","-2.17","4.17","-35.40","-17.95","33.41","-35.53","-9.81","19.1","-35.06","-3.23","6.41","-100.00","-10.85","19.08","-36.25","0","0","-","29.68","41.35","-7.58","-2.33","0","-100.00","0.00","90.91","0.909","6.41","12.81","0","44.84","100.00","19.22","12.81","0","100.00"
"943","Viktor Lodin","OTT","C","1","8.85","8.85","-13.1","52.4","-23.60","-6.43","49.3","-23.17","1.04","40.91","-21.67","-4.48","0","-","-2.39","5.05","-40.03","4.71","40.1","-20.95","0.12","15.17","-19.61","-1.49","0","-","6.13","33.25","-21.43","0","0","-","-10.62","16.6","-19.70","-2.16","0","-100.00","0.00","100.00","1.000","6.78","20.34","0","54.24","100.00","13.56","27.12","0","100.00"
"762","Dmitri Samorukov","EDM","D","1","2.4666666666667","2.4666666666667","72.77","52.11","3.61","32.67","60.66","-9.52","20.56","72.87","-20.16","-2.44","47.43","-66.67","1.03","5.01","-22.96","26.67","72.87","-14.04","13.33","63.2","-27.94","-1.22","47.43","-50.00","17.78","12.89","7.14","-1.63","0","-100.00","68.36","-24.69","40.00","0","0","-","0.00","50.00","0.500","0","0","0","97.3","-","0","0","0","-"
"991","Walker Duehr","CGY","R","1","8.7833333333333","8.7833333333333","-32.16","35.01","-31.05","-30.11","12.92","-29.18","-26.47","4.64","-30.56","-5.24","0","-","-2.12","-0.38","-26.80","-14.26","-8.87","2.67","-0.15","-6.98","50.00","-1.75","0","-","-18.81","-2.53","-20.59","-4.65","0","-100.00","-18.29","53.52","-32.58","0","0","-","0.00","100.00","1.000","6.83","27.32","20.49","40.99","25.00","6.83","27.32","34.16","16.67"
"503","Bokondji Imama","ARI","L","4","17.45","4.3625","-17","34.15","-19.23","-9.29","46.58","-21.45","3.87","29.14","-11.15","3.16","10.72","-21.67","-0.94","3.39","-26.17","-9.88","12.96","-19.15","-0.83","22.23","-24.75","1.41","8.29","-25.00","-12.07","-12.36","-13.95","-1.35","-0.9","-60.00","-9.88","31.98","-21.98","3.99","4.97","-50.00","25.00","77.78","1.028","13.75","17.19","6.88","65.33","66.67","20.63","24.07","24.07","46.15"
"607","Andrew Poturalski","CAR","C","2","17.35","8.675","-11.12","34.04","-16.88","-8.94","21.41","-14.26","-4.31","21.1","-17.34","-5.17","1.24","-70.00","-3.15","1.52","-32.44","-8.28","9.25","-14.12","-8.82","8.94","-28.57","-2.95","1.98","-66.67","0.72","0.41","0.54","-0.98","0","-100.00","8.02","33.28","-15.94","-2.13","-1.07","-66.67","0.00","92.86","0.929","13.83","13.83","0","44.96","100.00","20.75","17.29","6.92","75.00"
"269","Sven Baertschi","VGK","L","1","13.866666666667","13.866666666667","-43.69","33","-35.81","-33.77","34.27","-43.78","-22.93","33.35","-43.42","-7.74","2.78","-83.33","-3.23","4.58","-57.55","-43.65","24.38","-59.06","-24.76","10.48","-61.54","-3.1","2.78","-66.67","-25.19","18.53","-58.33","-4.13","0","-100.00","-1.83","14.69","-11.64","-2.24","0","-100.00","0.00","91.67","0.917","25.96","8.65","0","38.94","100.00","25.96","8.65","8.65","75.00"
"559","Blake Speers","ARI","C","2","17.716666666667","8.8583333333333","-31.44","31.96","-32.30","-33.11","27.17","-38.26","-22.91","6.63","-27.68","-7.29","5.06","-58.82","-3.01","1.85","-47.42","-27.75","18.25","-38.87","-11.19","12.04","-43.06","-4.37","1.2","-66.67","-22.07","8.28","-34.92","-2.92","-1.94","-60.00","-14.44","20.86","-32.93","-1.05","7.68","-33.33","0.00","72.73","0.727","3.39","23.71","10.16","57.57","25.00","3.39","27.09","13.55","20.00"
"244","Kyle Rau","MIN","C","5","41.6","8.32","-17.26","29","-19.86","-14.08","14.09","-17.13","-9.23","13.25","-17.19","-3.54","1.61","-56.52","-1.22","0.45","-18.79","-12.47","13.09","-21.67","-4.76","1.82","-16.05","-2.18","1.8","-66.67","-10.27","15.02","-25.13","-0.36","0.83","-25.00","-8.85","24.05","-22.25","-1.18","-0.39","-75.00","0.00","89.66","0.897","7.21","11.54","7.21","60.58","50.00","14.42","14.42","24.52","37.04"
