"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"564","Jesse Blacker","ANA","D","1","6.05","6.05","-22.13","58.45","-29.93","-16.34","44.4","-26.46","-7.66","40.48","-26.50","-1.45","16.94","-33.33","-1.47","4.87","-32.03","-7.45","23.54","-23.33","-7.23","28.09","-38.46","-1.45","18.39","-50.00","-0.28","-6.07","8.82","0","0","-","-21.21","50.42","-35.71","0","-2.09","0.00","0.00","71.43","0.714","0","9.92","9.92","69.42","0.00","9.92","9.92","9.92","50.00"
"717","Max Friberg","ANA","R","1","8.7833333333333","8.7833333333333","-29.89","52.32","-30.88","-26.99","51.4","-37.25","-22.01","14.59","-40.35","-2.55","-1.27","-","-2.92","2.6","-54.45","-23.28","20.6","-39.44","-15.29","8.57","-75.00","-1.27","0","-","-10.66","16.05","-25.29","0","0","-","-5.87","35.95","-20.83","-1.84","-1.84","-50.00","0.00","100.00","1.000","13.66","6.83","6.83","54.65","66.67","34.16","6.83","13.66","71.43"
"196","Colin Fraser","STL","C","1","4.7","4.7","-36.3","51.12","-34.79","-25.48","39.5","-32.89","-13.11","37.55","-30.95","-3.09","9.67","-50.00","-1.86","6.81","-44.56","-15.06","31.37","-29.49","-13.91","41.79","-60.00","-3.09","11.22","-66.67","-1.53","-13.89","12.50","0","-2.06","0.00","-30.68","32.99","-43.75","0","0","-","0.00","80.00","0.800","0","0","25.53","51.06","0.00","0","0","25.53","0.00"
"415","Dana Tyrell","CBJ","C","3","20.816666666667","6.9388888888889","-28.94","44.2","-29.14","-25.51","35.79","-33.87","-18.56","27.92","-34.28","-1.88","-0.89","-33.33","-0.95","3.05","-29.50","-10.44","27.22","-33.84","-5.54","16.52","-36.36","-0.47","0.53","-16.67","-6.53","14.27","-29.09","-0.63","-1.26","-33.33","-26.88","16.71","-30.25","-1.36","-0.68","-66.67","0.00","94.74","0.947","17.29","14.41","2.88","66.29","85.71","25.94","20.18","14.41","64.29"
"627","Curtis Hamilton","EDM","L","1","7.7166666666667","7.7166666666667","-29.89","36.53","-19.89","-30.19","21.22","-24.54","-24.11","25.08","-28.61","-1.39","-4.16","-","-1.17","-1.33","-9.07","1.15","8.14","-1.82","-6.93","-0.78","-17.86","0","-2.77","-","10.77","11.9","2.12","-1.85","0","-100.00","-40.83","26.56","-37.50","0","-2","0.00","0.00","100.00","1.000","23.33","15.55","31.1","23.33","42.86","54.43","38.88","31.1","63.64"
"863","Tyler Gaudet","ARI","C","2","18.783333333333","9.3916666666667","-28.42","31.26","-25.90","-16.19","7.73","-15.65","-12.77","-1","-13.26","-2.1","-1.01","-33.33","-2.81","1.07","-44.22","-16.04","7.8","-29.69","-6.31","-0.54","-32.14","-0.7","-1.4","-","-12.98","11.12","-31.27","0","1.46","0.00","-11.35","27.14","-21.57","-2.02","-1.01","-66.67","0.00","90.00","0.900","3.19","28.75","6.39","44.72","33.33","6.39","31.94","15.97","28.57"
"354","Tom Sestito","VAN","L","3","18.716666666667","6.2388888888889","-20.37","29.49","-20.21","-8.61","16.81","-13.49","-14.84","20.69","-25.00","0.76","-1.96","44.44","-0.09","1","-10.55","-7","6.35","-13.09","7.21","1.06","12.70","1.25","-0.98","33.33","-18.95","7.05","-45.31","-0.65","-1.31","-33.33","-18.28","29.11","-26.65","0","0","-","20.00","100.00","1.200","9.62","19.23","6.41","57.7","60.00","9.62","19.23","22.44","30.00"
"605","Andrew Agozzino","COL","L","1","9.75","9.75","-6.15","26.51","-11.78","6.15","15.62","-4.40","-0.47","8.52","-6.93","1.89","-4.26","50.00","0.33","1.17","-4.84","0","11.36","-8.60","0.47","5.68","-5.77","-1.42","0","-","-0.63","7.57","-10.00","6.31","-5.68","75.00","3.42","12.31","-4.55","-2.05","0","-100.00","20.00","100.00","1.200","12.31","12.31","12.31","49.23","50.00","30.77","24.62","30.77","50.00"
"723","Keegan Lowe","CAR","D","2","27.683333333333","13.841666666667","-30.99","25.61","-24.42","-39.41","24.01","-39.81","-30.56","13.89","-41.58","-1.71","3.48","-66.67","-2.28","0.33","-34.13","-7","8.63","-16.33","-7.61","9.66","-40.87","-0.85","4.33","-100.00","0.8","-1.38","2.96","0","0","-","-32.96","31.25","-37.78","0","-1.23","0.00","0.00","89.47","0.895","13","19.51","8.67","43.35","60.00","23.84","28.18","19.51","55.00"
"300","Rich Clune","NSH","L","1","5.5","5.5","-68.99","25.51","-52.38","-56.7","22.28","-51.03","-36.72","11.22","-43.89","-3.07","-1.54","-","-3.23","-0.54","-37.08","-33.8","-16.9","-","-13.83","-4.61","-","-1.54","0","-","-26.63","-16.39","-","0","-2.05","0.00","-46.38","47.72","-50.00","-2.22","0","-100.00","0.00","100.00","1.000","0","0","0","54.55","-","0","10.91","43.64","0.00"
