"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"894","Cole Smith","NSH","L","1","5.95","5.95","-28.35","79.91","-33.77","-20.93","48.35","-34.02","-14.85","45","-35.56","-4.04","-1.35","-","-1.5","0.2","-23.79","-12.81","12.74","-31.67","3.35","4.7","-5.56","0","-1.35","-","-21.55","10.73","-57.14","-3.59","0","-100.00","-14.66","98.02","-38.83","-1.95","0","-100.00","0.00","100.00","1.000","0","30.25","0","60.5","-","0","40.34","20.17","0.00"
"557","A.J. Greer","N.J","L","1","8.55","8.55","-16.19","62.97","-27.30","-2.28","55.25","-19.16","-17.01","47.54","-31.89","0","-3.79","-","0.15","6.33","-18.82","6.57","36.03","-10.06","3.22","26.24","-13.33","0","0","-","4.47","13.06","-3.68","0","-3.37","0.00","-31.05","40.73","-60.71","0","-1.83","0.00","0.00","100.00","1.000","0","14.04","7.02","63.16","0.00","7.02","14.04","14.04","33.33"
"581","Guillaume Brisebois","VAN","D","1","10.633333333333","10.633333333333","-18.66","53.89","-24.29","-13.31","56.61","-28.48","-18.55","46.14","-39.92","-4.54","-1.51","-","-0.96","4.05","-28.26","-10.29","25.38","-19.13","-7.56","14.61","-35.71","-3.02","0","-","-3.64","14.36","-10.63","-2.02","-2.02","-50.00","-7.14","37.4","-31.25","0","0","-","0.00","100.00","1.000","5.64","16.93","0","50.78","100.00","5.64","16.93","5.64","50.00"
"121","Luca Sbisa","NSH","D","1","11.2","11.2","-2.23","47.87","-17.38","-9.79","17","-19.23","0.46","9.44","-9.87","-1.73","0","-","-0.04","0.88","-9.61","0.62","24.09","-12.81","3.78","3.93","3.64","-1.73","0","-","-4.21","26.88","-22.22","0","0","-","-6.84","36.86","-27.27","0","0","-","0.00","100.00","1.000","10.71","10.71","16.07","48.21","40.00","10.71","16.07","32.14","25.00"
"850","Jesse Ylonen","MTL","R","1","10.083333333333","10.083333333333","13.3","41.98","-16.11","14.77","35.43","-14.33","-20.19","26.94","-46.35","-2.67","-2.67","-","0.14","2.1","-20.06","7.02","23.67","-19.93","0.6","5.21","-11.11","-1.34","-1.34","-","8.56","24.6","-26.47","-1.78","-1.78","-50.00","14.87","30.32","-13.33","0","0","-","0.00","100.00","1.000","5.95","17.85","0","53.55","100.00","17.85","23.8","11.9","60.00"
"859","Brady Keeper","FLA","D","1","7.2","7.2","-29.08","35.36","-35.39","-31.31","5.07","-35.33","-30.5","13.51","-60.61","0","-3.05","-","-2.62","0.85","-39.15","-28.97","38.51","-59.38","-18.3","30.99","-63.16","0","-1.52","-","-14.23","10.02","-53.85","0","-2.03","0.00","2.05","-2.36","4.55","0","0","-","-","100.00","1.00","16.67","25","0","50","100.00","25","33.33","0","100.00"
"681","Keaton Middleton","COL","D","3","27.8","9.2666666666667","-14.91","34.78","-19.56","-4.96","34.75","-18.49","-6.37","29.02","-23.98","-3.91","1.67","-88.89","-1.5","1.52","-27.45","-5.68","-0.91","-3.48","-6.04","4.15","-22.50","-2.93","0","-","0.47","-6.75","11.02","-0.65","2.88","-100.00","-11.5","36.39","-24.71","0","-0.71","0.00","0.00","96.00","0.960","4.32","2.16","8.63","71.22","33.33","12.95","4.32","17.27","42.86"
"792","Sebastian Aho","NYI","D","3","39.816666666667","13.272222222222","7.11","32.14","-11.23","5.18","30.14","-13.94","4.84","15.91","-8.34","1.43","2.93","-10.00","1.26","1.75","-3.59","1.37","20.99","-23.05","5.55","11.37","-22.00","1.96","3.99","-26.67","-5.57","12.83","-27.64","0","-1.41","0.00","7.1","18.75","-6.70","-0.76","0","-100.00","10.53","88.46","0.990","10.55","10.55","4.52","61.78","70.00","25.62","12.06","15.07","62.96"
"509","Louie Belpedio","MIN","D","1","11.816666666667","11.816666666667","-23.29","30.58","-23.30","-5.31","33.5","-18.75","-7.29","12.84","-15.59","0","1.81","0.00","-2.19","0.79","-29.33","-24.34","19.38","-46.95","-14.71","12.14","-64.29","0","3.44","0.00","-12.84","9.65","-32.94","0","0","-","10.96","18.29","-3.85","0","0","-","0.00","87.50","0.875","5.08","5.08","10.16","50.78","33.33","10.16","15.23","15.23","40.00"
"872","Cam York","PHI","D","3","52.233333333333","17.411111111111","-6.45","30.34","-15.22","-13.32","18.87","-18.19","-7.53","15.45","-17.91","-2.88","-0.01","-30.30","-1.07","0.93","-23.51","-8.68","4.54","-13.59","-1.74","6.87","-18.39","-2.88","1.15","-71.43","-9.25","-3.1","-6.24","-0.77","-0.77","-50.00","2.41","23.99","-12.19","1.66","-0.83","100.00","5.00","94.59","0.996","11.49","8.04","9.19","50.54","55.56","18.38","12.64","17.23","51.61"
