"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"936","Marco Kasper","DET","C","1","14.816666666667","14.816666666667","-17.14","62.27","-25.59","-10.16","53.73","-26.12","-12.17","38.89","-29.60","-7.88","0","-","-0.46","5.15","-30.73","-14.43","29.22","-27.38","-2.04","28.56","-39.29","-1.58","0","-","-16.52","0.87","-21.43","-6.3","0","-100.00","0.63","41.89","-16.47","0","0","-","0.00","100.00","1.000","12.15","24.3","8.1","36.45","60.00","16.2","32.4","20.25","44.44"
"424","Hayden Hodgson","PHI","R","1","4.7666666666667","4.7666666666667","-42.15","58.25","-34.44","-32.63","5.84","-36.36","-24.47","12.28","-39.13","-5.44","-1.36","-","-2.97","-1.51","-47.73","-20.39","22.15","-33.33","-6.8","-2.37","-31.25","-2.72","0","-","-18.13","32.69","-34.48","-3.63","-1.81","-66.67","-0.95","44.8","-8.93","0","0","-","-","100.00","1.00","25.17","25.17","12.59","62.94","66.67","25.17","25.17","25.17","50.00"
"689","Nick Swaney","MIN","R","1","9.2166666666667","9.2166666666667","-47.54","57.94","-45.06","-38.31","45.16","-49.93","-22.49","42.69","-47.32","-3.95","-3.95","-","-2.35","3.66","-47.77","-23.81","32.14","-38.83","-13.18","29.83","-58.82","-2.64","-2.64","-","-14.17","3.08","-21.94","0","-1.76","0.00","-30.47","39.17","-53.33","-1.9","0","-100.00","0.00","100.00","1.000","6.51","6.51","0","58.59","100.00","6.51","6.51","0","100.00"
"934","Owen Beck","MTL","C","1","9.65","9.65","-37.2","54.5","-33.77","-29.46","54.48","-37.10","-23.27","24.92","-38.72","0","3.11","0.00","-2.96","2.83","-48.27","-12.38","20.26","-24.01","-17.07","10.9","-55.00","0","4.67","0.00","6.25","12.47","-4.51","0","-2.07","0.00","-33.61","27","-41.79","0","0","-","0.00","88.89","0.889","0","12.44","12.44","49.74","0.00","6.22","12.44","31.09","16.67"
"763","Damien Giroux","MIN","C","1","12.866666666667","12.866666666667","-23.61","52.43","-29.28","-13.58","32.32","-25.77","-2.48","34.46","-25.13","1.8","1.8","0.00","0.7","2.17","-10.07","-16.11","23","-27.73","-2.14","17.95","-28.33","3.23","-2.87","66.67","-18.62","6.73","-30.54","0","6.22","0.00","-6.7","44.59","-31.09","-2.07","0","-100.00","20.00","91.67","1.117","0","4.66","0","69.95","-","4.66","18.65","0","100.00"
"760","Semyon Der-Arguchintsev","TOR","C","1","6.3666666666667","6.3666666666667","-18.65","50.06","-20.22","-4.16","12.84","-7.70","0.9","14.92","-8.45","4.59","0","0.00","-0.28","0.4","-4.93","-2.32","3.89","-4.64","-5.07","-9.9","7.14","-3.22","0","-","3.66","18.38","-12.63","12.57","0","100.00","-21.27","55.75","-34.38","0","0","-","33.33","100.00","1.333","0","9.42","0","75.39","-","9.42","9.42","9.42","50.00"
"600","Jeremy Davies","BUF","D","1","8.55","8.55","1.07","49.93","-19.05","-11.37","40.92","-28.03","-4.49","44.23","-31.93","-5.16","-1.72","-","-2.52","3.8","-47.36","-1.18","16.43","-10.86","1.86","17.75","-13.33","0","-1.72","-","-4.05","-1.76","-1.85","-4.59","0","-100.00","-14.53","40.74","-49.21","0","0","-","0.00","100.00","1.000","7.02","14.04","0","70.18","100.00","21.05","14.04","0","100.00"
"663","Lias Andersson","L.A","C","1","8.6166666666667","8.6166666666667","-3.33","48.52","-15.09","-6.25","41.21","-19.82","-6.06","12.81","-12.86","0","5.68","0.00","-0.33","4.06","-21.54","-6.06","16.66","-15.65","-0.74","15.02","-17.50","0","5.68","0.00","-7.1","2.18","-10.00","0","0","-","3.94","68.79","-17.76","0","0","-","0.00","85.71","0.857","6.96","13.93","6.96","55.71","50.00","6.96","20.89","34.82","16.67"
"820","Connor McMichael","WSH","C","6","53.083333333333","8.8472222222222","-21.64","48.04","-27.55","-19.79","36.94","-29.49","-12.04","27.08","-27.23","0.74","-1.28","20.00","-1.59","2.07","-31.93","-10.51","22.84","-27.64","-4.23","7.6","-24.65","0.37","1","-4.17","-8.37","20.32","-29.73","0.5","-1.69","62.50","-16.4","37.35","-31.90","0","-0.73","0.00","10.00","95.74","1.057","13.56","10.17","5.65","55.38","70.59","16.95","13.56","13.56","55.56"
"515","Dan Renouf","BOS","D","1","10.816666666667","10.816666666667","19.07","46.32","-7.94","17.14","39.32","-7.69","10.62","50.65","-19.19","-8.44","16.64","-100.00","1.92","3.18","-10.44","-4.33","27.26","-17.47","-13.02","20.98","-56.67","-5.06","11.09","-100.00","11.58","8.37","6.67","0","0","-","27.53","19.52","3.33","-2.44","8.01","-100.00","0.00","78.57","0.786","16.64","22.19","5.55","44.38","75.00","27.73","22.19","16.64","62.50"
