"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"168","Maxime Fortunus","DAL","D","1","15.216666666667","15.216666666667","0","3.94","0","3.94","3.94","100.00","0","-","0.05","7.89","3.94","0","0","0","0","0","0","0","0","0","0","0","0","0","7.89","3.94","0","0","-"
"699","Bobby Butler","FLA","R","2","26","13","0","2.31","0","2.31","2.31","50.00","11.54","0.00","0.43","20.77","11.54","4.62","2.31","0","4.62","4.62","2.31","2.31","0","0","0","0","4.62","4.62","2.31","0","0","0","-"
"82","Nolan Yonkman","ANA","D","2","29.783333333333","14.891666666667","0","2.01","0","2.01","2.01","33.33","6.04","0.00","0.34","12.09","10.07","4.03","0","0","0","0","0","0","0","0","0","0","2.01","14.1","6.04","4.03","0","0","-"
"565","Patrice Cormier","WPG","C","9","61.8","6.8666666666667","0","2.91","0.97","1.94","2.91","150.00","3.88","0.00","0.52","7.77","3.88","6.8","3.88","0.97","0.97","6.8","1.94","0.97","0.97","0","1.94","0","1.94","19.42","6.8","2.91","25.24","19.42","54.88"
"774","Andy Miele","PHX","C","7","62.916666666667","8.9880952380952","0","1.91","0","1.91","1.91","40.00","5.72","0.00","0.29","9.54","6.68","3.81","0","0.95","0.95","4.77","0.95","0","0.95","0","1.91","0.95","1.91","3.81","4.77","1.91","14.3","25.75","34.06"
"860","Dmitry Korobov","T.B","D","3","31.383333333333","10.461111111111","0","1.91","0","1.91","1.91","inf","0","-","0","0","0","0","0","0","0","3.82","1.91","1.91","0","0","0","3.82","0","9.56","9.56","0","0","0","-"
"838","Chad Billins","CGY","D","10","110.03333333333","11.003333333333","0","1.64","0","1.64","1.64","75.00","1.64","0.00","0.08","8.72","4.36","1.09","0","0","0","0","0","0","0","0","0","1.09","1.09","0","1.09","4.91","0","0","-"
"680","Lane MacDermid","CGY, DAL","L","7","38.95","5.5642857142857","0","3.08","1.54","1.54","3.08","100.00","1.54","0.00","0.16","3.08","1.54","1.54","1.54","0","0","18.49","4.62","1.54","3.08","0","4.62","0","0","15.4","7.7","4.62","1.54","1.54","77.02"
"649","Ben Hanowski","CGY","R","11","78.316666666667","7.119696969697","0","1.53","0","1.53","1.53","66.67","7.66","0.00","0.47","9.96","7.66","5.36","1.53","0.77","3.06","1.53","0.77","0.77","0","0","0.77","2.3","1.53","9.96","2.3","0.77","0.77","0","76.61"
"783","David Broll","TOR","L","5","40.6","8.12","0","1.48","0","1.48","1.48","50.00","4.43","0.00","0.41","10.34","5.91","4.43","1.48","0","0","7.39","1.48","0","1.48","0","1.48","7.39","2.96","8.87","4.43","2.96","0","0","-"
"327","Travis Morin","DAL","C","4","40.7","10.175","0","1.47","0","1.47","1.47","33.33","5.9","0.00","0.56","7.37","7.37","5.9","5.9","1.47","0","0","0","0","0","0","0","0","1.47","0","2.95","1.47","28.01","28.01","73.71"
"725","Devante Smith-Pelly","ANA","R","19","220.56666666667","11.608771929825","0.54","2.18","0.82","1.36","2.72","83.33","5.98","9.09","0.6","10.88","9.52","6.26","3.26","0.54","0.54","0.54","0.27","0.27","0","0","0.54","1.9","0.54","13.33","8.16","3.26","0","1.09","0.00"
"103","Raffi Torres","S.J","L","5","45.65","9.13","3.94","2.63","1.31","1.31","6.57","100.00","10.51","37.50","1.06","15.77","13.14","11.83","6.57","1.31","0","9.2","2.63","1.31","1.31","0","5.26","1.31","1.31","11.83","2.63","2.63","1.31","2.63","43.81"
"592","Sean Collins","CBJ","C","6","48.783333333333","8.1305555555556","0","1.23","0","1.23","1.23","50.00","7.38","0.00","0.64","8.61","7.38","4.92","4.92","0","1.23","0","0","0","0","0","1.23","0","2.46","11.07","8.61","1.23","0","0","-"
"706","Calle Jarnkrok","NSH","C","12","150.88333333333","12.573611111111","0.8","2.39","1.19","1.19","3.18","72.73","4.77","16.67","0.6","8.35","5.96","7.16","3.18","0.4","0","1.59","0.8","0.8","0","0","0.4","0.8","0.8","0.8","5.57","1.59","21.08","33.8","15.27"
"58","Alex Tanguay","COL","L","16","217.96666666667","13.622916666667","0.83","1.38","0.28","1.1","2.2","57.14","5.23","15.79","0.42","7.16","5.78","4.68","2.48","0","0.28","1.1","0.55","0.55","0","0","0.55","2.2","1.93","1.93","4.95","1.65","0.28","0.55","9.18"
"448","Steven Pinizzotto","EDM","R","6","57.65","9.6083333333333","0","2.08","1.04","1.04","2.08","100.00","2.08","0.00","0.17","5.2","4.16","2.08","1.04","0","0","15.61","2.08","0","1.04","1.04","1.04","1.04","1.04","10.41","10.41","1.04","0","0","-"
"124","Jean-Philippe Cote","T.B","D","19","175.11666666667","9.2166666666667","0","1.37","0.34","1.03","1.37","200.00","4.11","0.00","0.19","11.31","7.88","1.71","0.69","0","0.34","6.85","2.4","1.71","0.69","0","1.37","0.69","0","13.36","6.85","5.82","0","0","-"
"678","Patrick Wey","WSH","D","9","119.8","13.311111111111","0","1.5","0.5","1","1.5","50.00","2.5","0.00","0.07","7.51","3.01","2","0.5","0","1","2.5","0.5","0","0.5","0","1","3.51","0.5","5.51","12.02","1.5","0","0","-"
"253","Paul Bissonnette","PHX","L","39","185.13333333333","4.7470085470085","0.65","1.94","0.97","0.97","2.59","80.00","8.1","8.00","0.63","12.32","10.69","5.51","3.24","0.65","0.97","17.18","4.54","2.92","0.97","0.65","3.24","0.97","1.94","16.53","8.43","1.3","0.32","0.65","10.80"
"739","Taylor Hall","EDM","L","75","1233.5166666667","16.446888888889","0.97","2.04","1.07","0.97","3.02","96.88","9.19","10.58","0.76","15.76","11.92","8.8","3.55","0.68","0.68","1.85","0.88","0.88","0","0","1.26","4.04","3.36","2.43","7.05","1.95","1.51","1.8","2.22"
"206","Duncan Keith","CHI","D","79","1508.0166666667","19.088818565401","0.12","1.43","0.56","0.88","1.55","44.83","5.85","2.04","0.25","12.25","8.2","3.02","0.4","0.32","0.44","0.88","0.44","0.44","0","0","0.2","2.27","1.43","1.31","3.62","3.02","0","0","-"
"353","Matt Niskanen","PIT","D","81","1423.85","17.578395061728","0.29","1.01","0.13","0.88","1.31","42.47","4.68","6.31","0.14","10.28","6.7","1.64","0.13","0.13","0.51","1.98","0.93","0.88","0.04","0","0.34","1.6","0.59","4.89","7.63","3.03","0","0","-"
"384","Joe Vitale","PIT","C","53","543.81666666667","10.260691823899","0.11","1.32","0.44","0.88","1.43","76.47","4.63","2.38","0.41","8.61","6.73","3.53","2.21","0.11","0.55","2.98","1.32","1.21","0.11","0","1.32","1.32","0.88","9.6","8.5","1.99","18.76","11.58","6.82"
"611","Kyle Palmieri","ANA","R","71","752.55","10.599295774648","1.12","1.36","0.48","0.88","2.47","72.09","9.97","11.20","0.87","15.95","13.08","8.93","5.1","0.88","0.96","2.87","1.2","1.04","0.16","0","1.44","1.2","1.12","7.18","8.37","2.23","0.56","1.12","2.66"
"681","Erik Haula","MIN","C","46","410.9","8.9326086956522","0.73","1.31","0.44","0.88","2.04","77.78","7.45","9.80","0.5","11.83","10.08","4.96","2.63","0.58","0.44","4.23","1.31","1.02","0.15","0.15","0.44","0.73","1.02","3.21","5.26","2.34","20.88","22.49","7.03"
"556","Eric O'Dell","WPG","C","30","279.73333333333","9.3244444444444","0.64","0.86","0","0.86","1.5","63.64","3.65","17.65","0.53","6.65","6.22","4.29","2.79","0","0.43","1.72","0.86","0.86","0","0","1.29","0.64","3.22","6.65","6.86","2.57","16.09","15.66","10.87"
"300","David Krejci","BOS","C","80","1272.9666666667","15.912083333333","0.75","1.6","0.75","0.85","2.36","65.79","6.6","11.43","0.72","10.46","8.72","6.88","3.02","0.33","0.28","1.04","0.52","0.52","0","0","0.99","1.89","2.07","3.25","4.34","2.36","24.18","24.09","2.36"
"342","Benoit Pouliot","NYR","L","80","918.33333333333","11.479166666667","0.52","1.31","0.46","0.85","1.83","71.79","7.91","6.61","0.79","12.41","10.45","7.91","4.44","0.59","0.78","2.22","0.91","0.78","0.13","0","1.05","2.42","1.96","8.82","5.1","1.18","0.98","0.91","3.38"
"35","Joe Thornton","S.J","C","82","1222.3833333333","14.907113821138","0.44","2.31","1.47","0.83","2.75","77.78","3.98","11.11","0.37","7.41","5.6","4.07","1.62","0.25","0.54","1.28","0.64","0.64","0","0","0.88","3.44","3.39","2.41","1.47","1.52","23.07","18.85","2.70"
"403","Kyle Okposo","NYI","R","71","1155.7","16.277464788732","1.14","1.66","0.83","0.83","2.8","80.60","7.53","15.17","0.78","14.64","10.8","8.62","3.63","0.36","0.78","2.13","0.78","0.67","0.05","0.05","0.88","1.66","2.23","2.18","4.83","1.77","3.37","3.79","2.45"
