"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"478","Fredrik Claesson","OTT","D","33","14.566666666667","0.44141414141414","0","4.12","0","4.12","4.12","100.00","0","-","0","4.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.12","0","0","-"
"204","Claude Giroux","PHI","C","82","21.016666666667","0.25630081300813","0","2.85","0","2.85","2.85","100.00","0","-","0","0","0","0","0","0","0","5.71","2.85","2.85","0","0","5.71","0","2.85","0","0","2.85","85.65","71.37","155.72"
"235","Kevin Shattenkirk","STL, WSH","D","80","24.6","0.3075","0","2.44","0","2.44","2.44","inf","2.44","0.00","0.19","2.44","2.44","2.44","2.44","0","0","0","0","0","0","0","0","0","2.44","0","4.88","7.32","0","0","-"
"454","Ryan Garbutt","ANA","C","27","31.516666666667","1.1672839506173","0","1.9","0","1.9","1.9","100.00","1.9","0.00","0.12","3.81","3.81","0","0","0","0","3.81","1.9","1.9","0","0","1.9","0","3.81","5.71","7.62","5.71","1.9","3.81","63.46"
"279","Tyler Myers","WPG","D","11","32.45","2.95","0","1.85","0","1.85","1.85","100.00","0","-","0","0","0","0","0","0","0","3.7","1.85","1.85","0","0","1.85","7.4","0","7.4","3.7","16.64","0","0","-"
"484","Joseph Cramarossa","ANA, VAN","C","59","39.083333333333","0.66242937853107","0","3.07","1.54","1.54","3.07","100.00","1.54","0.00","0.15","1.54","1.54","1.54","1.54","0","0","0","0","0","0","0","0","0","0","4.61","0","3.07","1.54","0","153.52"
"769","Drake Caggiula","EDM","C, L","60","41.033333333333","0.68388888888889","0","1.46","0","1.46","1.46","100.00","4.39","0.00","0.79","8.77","8.77","8.77","2.92","0","0","0","0","0","0","0","0","2.92","4.39","1.46","2.92","4.39","1.46","1.46","73.11"
"529","Jamie Oleksiak","DAL","D","41","51.2","1.2487804878049","0","1.17","0","1.17","1.17","50.00","0","-","0","1.17","0","1.17","0","0","0","0","0","0","0","0","0","1.17","0","0","1.17","10.55","0","0","-"
"725","Connor McDavid","EDM","C","82","66.633333333333","0.81260162601626","0.9","0.9","0","0.9","1.8","100.00","2.7","33.33","0.27","2.7","2.7","2.7","1.8","0","0","0","0","0","0","0","1.8","2.7","7.2","0.9","0","5.4","10.81","13.51","40.02"
"160","T.J. Oshie","WSH","R","68","68.283333333333","1.0041666666667","0.88","1.76","0.88","0.88","2.64","100.00","8.79","10.00","0.91","10.54","10.54","7.91","5.27","1.76","0.88","1.76","0.88","0.88","0","0","0.88","2.64","5.27","2.64","0.88","4.39","0.88","3.51","17.57"
"464","Alexey Marchenko","DET, TOR","D","41","71.766666666667","1.750406504065","0","0.84","0","0.84","0.84","100.00","0.84","0.00","0","0.84","0.84","0","0","0","0","0","0","0","0","0","0","2.51","0","0.84","1.67","10.87","0","0","-"
"69","Matt Stajan","CGY","C","81","144.75","1.787037037037","0","0.83","0","0.83","0.83","100.00","2.49","0.00","0.34","2.9","2.9","2.9","2.49","0.41","0.83","0","0","0","0","0","0.41","1.24","2.49","0.41","1.24","4.56","24.04","26.11","19.87"
"97","Kevin Klein","NYR","D","60","75.666666666667","1.2611111111111","0","0.79","0","0.79","0.79","33.33","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1.59","0","3.96","2.38","16.65","0","0","-"
