"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"339","Sidney Crosby","PIT","C","80","1373.3666666667","25","41","24","17","66","81.48","184","13.59","18.04","305","250","195","87","12","20","44","21","21","0","0","30","35","38","43","76","27","697","682","50.54"
"231","Ryan Getzlaf","ANA","C","77","1188.1833333333","26","38","22","16","64","82.05","147","17.69","14.56","248","197","140","57","8","18","25","8","5","3","0","20","48","36","92","81","67","544","557","49.41"
"237","Corey Perry","ANA","R","81","1243.7166666667","34","29","22","7","63","78.75","206","16.50","24.17","366","292","231","125","14","20","51","24","23","1","0","39","48","26","75","114","23","8","15","34.78"
"739","Taylor Hall","EDM","L","75","1233.5166666667","20","42","22","20","62","96.88","189","10.58","15.6","324","245","181","73","14","14","38","18","18","0","0","26","83","69","50","145","40","31","37","45.59"
"424","Phil Kessel","TOR","R","82","1433.3166666667","29","31","22","9","60","77.92","234","12.39","20.03","427","317","223","74","22","25","27","12","11","1","0","15","72","36","23","59","30","2","8","20.00"
"742","Tyler Seguin","DAL","C","80","1241.3666666667","26","33","24","9","59","80.82","208","12.50","20.8","343","282","186","79","9","20","6","3","3","0","0","24","40","65","47","39","23","271","384","41.37"
"462","Jamie Benn","DAL","L","81","1193.3","28","29","13","16","57","74.03","216","12.96","20.76","391","311","235","92","13","22","56","21","18","2","1","26","54","56","105","93","57","270","247","52.22"
"35","Joe Thornton","S.J","C","82","1222.3833333333","9","47","30","17","56","77.78","81","11.11","7.5","151","114","83","33","5","11","26","13","13","0","0","18","70","69","49","30","31","470","384","55.04"
"808","Gabriel Landeskog","COL","L","81","1298.8166666667","21","34","27","7","55","73.33","192","10.94","17.9","335","257","170","75","14","26","58","29","29","0","0","25","28","57","166","120","52","10","4","71.43"
"403","Kyle Okposo","NYI","R","71","1155.7","22","32","16","16","54","80.60","145","15.17","14.98","282","208","166","70","7","15","41","15","13","1","1","17","32","43","42","93","34","65","73","47.10"
"625","Matt Duchene","COL","C","71","1099.5","18","35","24","11","53","84.13","182","9.89","20.56","316","246","198","96","12","20","10","5","5","0","0","30","30","39","51","88","43","466","476","49.47"
"149","Patrick Sharp","CHI","L","82","1278.0666666667","23","29","18","11","52","70.27","235","9.79","17.47","408","303","178","73","11","17","28","14","14","0","0","17","21","39","51","112","25","74","55","57.36"
"1","Jaromir Jagr","N.J","R","82","1326.7333333333","19","31","17","14","50","80.65","194","9.79","19.83","321","260","213","87","12","16","44","22","22","0","0","13","49","35","4","76","9","0","2","0.00"
"220","Thomas Vanek","BUF, MTL, NYI","L","78","1196.1333333333","19","31","19","12","50","71.43","178","10.67","18.06","311","237","188","91","14","20","40","20","20","0","0","10","45","29","26","38","17","15","19","44.12"
"282","Blake Wheeler","WPG","R","82","1245","20","30","20","10","50","81.97","187","10.70","18.1","336","264","162","70","16","25","51","20","18","1","1","26","28","29","142","131","63","10","17","37.04"
"300","David Krejci","BOS","C","80","1272.9666666667","16","34","16","18","50","65.79","140","11.43","15.23","222","185","146","64","7","6","22","11","11","0","0","21","40","44","69","92","50","513","511","50.10"
"415","Claude Giroux","PHI","C","82","1290.2","21","28","15","13","49","69.01","154","13.64","14.02","301","209","156","52","14","13","40","20","20","0","0","30","23","37","80","54","43","675","613","52.41"
"438","Jonathan Toews","CHI","C","76","1196.2","20","28","17","11","48","65.75","148","13.51","13.48","218","184","142","82","6","12","30","11","10","0","1","18","24","40","26","124","15","660","512","56.31"
"17","Jarome Iginla","BOS","R","78","1195.3","26","21","12","9","47","66.20","163","15.95","16.06","289","224","183","63","10","18","38","13","9","4","0","15","21","29","133","82","25","6","19","24.00"
"241","Patrice Bergeron","BOS","C","80","1121.3166666667","22","25","14","11","47","69.12","191","11.52","18.28","346","271","201","83","12","11","37","17","16","1","0","17","24","38","47","83","45","785","532","59.61"
"346","Anze Kopitar","L.A","C","82","1267.95","19","28","18","10","47","69.12","153","12.42","14.21","258","202","140","73","6","17","20","10","10","0","0","20","26","44","79","101","34","579","497","53.81"
"408","Milan Lucic","BOS","L","80","1200.5333333333","21","26","17","9","47","70.15","124","16.94","12.72","236","180","137","50","4","10","77","24","16","7","1","27","59","30","233","113","22","19","34","35.85"
"49","Martin St. Louis","NYR, T.B","R","81","1332.35","20","26","16","10","46","69.70","159","12.58","16.09","282","225","166","81","9","14","10","5","5","0","0","18","42","58","21","64","28","66","81","44.90"
"263","Joe Pavelski","S.J","C","82","1208.0166666667","24","22","14","8","46","76.67","152","15.79","17.85","312","242","172","75","8","24","24","11","11","0","0","22","43","44","42","64","52","485","387","55.62"
"398","Brad Marchand","BOS","L","82","1137.2","19","27","18","9","46","76.67","135","14.07","13.21","226","187","140","48","14","12","60","29","29","0","0","23","48","40","67","105","17","5","16","23.81"
"872","Nathan MacKinnon","COL","C","82","1224.4666666667","16","30","16","14","46","67.65","191","8.38","15.46","317","259","177","71","8","21","22","11","11","0","0","30","19","50","55","114","44","171","239","41.71"
"36","Patrick Marleau","S.J","C, L","82","1249.9666666667","20","25","16","9","45","71.43","195","10.26","20.75","337","274","209","86","17","22","14","7","7","0","0","10","50","42","81","75","22","132","103","56.17"
"217","Chris Kunitz","PIT","L","78","1196.0833333333","21","24","15","9","45","63.38","162","12.96","15.85","276","214","150","58","11","13","44","22","22","0","0","17","39","24","147","89","23","1","0","100.00"
"218","Eric Staal","CAR","C","79","1265.4666666667","18","27","20","7","45","73.77","179","10.06","17.59","306","241","157","82","15","22","62","30","30","0","0","21","50","69","63","75","26","593","545","52.11"
"397","Bryan Little","WPG","C","82","1235.4166666667","13","32","19","13","45","71.43","129","10.08","13.83","214","171","144","74","9","11","44","18","17","0","1","19","23","31","81","59","30","558","630","46.97"
"338","Paul Stastny","COL","C","71","1093.8","21","23","16","7","44","73.33","133","15.79","16.47","211","176","137","74","11","15","20","10","10","0","0","14","16","32","49","48","42","539","481","52.84"
"503","Patrick Kane","CHI","R","69","1124.0833333333","19","25","16","9","44","77.19","176","10.80","15.01","315","241","181","75","15","15","20","10","10","0","0","15","19","41","14","92","14","4","4","50.00"
"547","Jordan Eberle","EDM","R","80","1264.2","20","24","14","10","44","73.33","149","13.42","16.56","270","203","184","69","10","16","14","7","7","0","0","18","59","47","49","117","34","8","9","47.06"
"781","Ondrej Palat","T.B","L","81","1158.2","18","26","18","8","44","69.84","135","13.33","12.55","237","188","143","60","5","18","20","10","10","0","0","17","32","37","138","131","45","5","24","17.24"
"39","Marian Hossa","CHI","R","72","1059.9666666667","23","20","12","8","43","72.88","194","11.86","18.87","333","239","198","88","10","7","14","7","7","0","0","7","18","60","39","64","22","0","1","0.00"
"126","Jason Spezza","OTT","C","75","1075.8666666667","14","29","20","9","43","76.79","160","8.75","13.15","289","223","131","50","9","16","40","20","20","0","0","5","57","38","17","48","21","595","518","53.46"
"144","Jason Pominville","MIN","R","82","1233.8333333333","23","20","14","6","43","82.69","160","14.38","14.06","275","219","122","51","11","16","16","8","8","0","0","22","13","36","22","74","26","56","54","50.91"
"496","David Perron","EDM","L","78","1232.2666666667","19","24","17","7","43","76.79","181","10.50","17.83","312","233","164","66","11","21","80","40","40","0","0","37","37","50","111","106","19","11","22","33.33"
