"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"671","Artemi Panarin","NYR","C, L","69","1159.6166666667","25","46","29","17","71","79.78","155","16.13","13.05","288","222","154","38","9","19","20","10","10","0","0","15","67","52","23","47","17","1","1","50.00"
"541","Leon Draisaitl","EDM","C","71","1256.8666666667","27","39","23","16","66","82.50","152","17.76","17.76","255","195","167","71","16","17","14","7","7","0","0","18","70","54","26","82","19","459","446","50.72"
"502","Nathan MacKinnon","COL","C","69","1167.05","23","39","27","12","62","75.61","233","9.87","17.13","402","301","219","59","11","28","12","5","5","0","0","22","42","35","44","71","30","338","433","43.84"
"123","Patrick Kane","CHI","R","70","1224.4","25","36","25","11","61","84.72","207","12.08","15.87","337","254","194","64","14","16","32","12","11","0","1","18","31","40","24","51","19","1","3","25.00"
"343","Nikita Kucherov","T.B","R","68","1034.6833333333","29","31","14","17","60","81.08","164","17.68","15.61","288","225","161","52","10","18","36","18","18","0","0","17","43","25","34","65","19","0","1","0.00"
"561","David Pastrnak","BOS","R","70","1051.9","28","29","20","9","57","78.08","198","14.14","16.31","344","262","197","73","9","19","38","19","19","0","0","24","63","46","44","93","22","7","7","50.00"
"78","Brad Marchand","BOS","C, L","70","985.31666666667","22","34","26","8","56","73.68","121","18.18","13.79","204","157","136","55","5","8","53","25","24","1","0","36","56","34","50","71","16","20","23","46.51"
"708","Auston Matthews","TOR","C","70","1232.85","35","20","13","7","55","70.51","214","16.36","20.38","380","300","247","94","7","25","6","3","3","0","0","14","45","75","40","69","60","484","394","55.13"
"614","Kyle Connor","WPG","L","71","1183.35","28","26","17","9","54","78.26","180","15.56","18.66","292","232","198","75","10","17","30","10","9","0","1","10","34","34","16","47","16","1","10","9.09"
"618","Connor McDavid","EDM","C","64","1129.1666666667","23","31","19","12","54","77.14","155","14.84","16.4","242","197","169","88","15","14","28","14","14","0","0","22","61","50","34","47","17","306","338","47.52"
"350","Mark Scheifele","WPG","C","71","1289.2333333333","19","34","21","13","53","63.86","110","17.27","15.73","193","156","150","82","6","16","43","16","14","1","1","21","42","50","32","127","46","486","567","46.15"
"547","Nikolaj Ehlers","WPG","L","71","1069.2166666667","21","31","21","10","52","91.23","177","11.86","13.71","313","235","158","45","10","14","25","11","10","1","0","28","36","32","35","82","28","0","2","0.00"
