"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"651","Joonas Nattinen","MTL","C","1","1.75","1.75","0","171.43","0.00","0","102.86","0.00","0","102.86","0.00","0","0","-","0","2.09","0.00","0","34.29","0.00","0","0","-","0","0","-","0","45.71","0.00","0","0","-","0","148.57","0.00","0","0","-","-","100.00","1.00","0","34.29","34.29","0","0.00","0","34.29","34.29","0.00"
"369","Cody Bass","CBJ","C","1","2.7166666666667","2.7166666666667","22.09","66.26","25.00","0","66.26","0.00","0","66.26","0.00","0","0","-","0","6.28","0.00","22.09","44.17","33.33","0","44.17","0.00","0","0","-","29.45","0","100.00","0","0","-","0","31.9","0.00","0","0","-","-","100.00","1.00","0","0","22.09","66.26","0.00","22.09","0","22.09","50.00"
"713","Greg McKegg","TOR","C","1","3.7166666666667","3.7166666666667","48.43","0","100.00","32.29","0","100.00","16.14","0","100.00","0","0","-","2.96","0","100.00","16.14","0","100.00","16.14","0","100.00","0","0","-","0","0","-","0","0","-","46.64","0","100.00","0","0","-","0.00","-","0.00","0","48.43","32.29","16.14","0.00","0","48.43","48.43","0.00"
"324","Pierre-Luc Letourneau-Leblond","PIT","R","1","4.5666666666667","4.5666666666667","26.28","118.25","18.18","13.14","78.83","14.29","13.14","65.69","16.67","0","0","-","1.54","3.11","33.16","26.28","52.55","33.33","13.14","13.14","50.00","0","0","-","17.52","52.55","25.00","0","0","-","0","56.93","0.00","0","0","-","0.00","100.00","1.000","13.14","0","13.14","52.55","50.00","13.14","0","26.28","33.33"
"833","Spencer Abbott","TOR","L","1","5.2666666666667","5.2666666666667","56.96","136.71","29.41","34.18","125.32","21.43","34.18","102.53","25.00","0","22.78","0.00","2.69","6.4","29.60","22.78","56.96","28.57","11.39","11.39","50.00","0","0","-","15.19","60.76","20.00","0","30.38","0.00","49.37","115.19","30.00","0","0","-","0.00","77.78","0.778","0","22.78","22.78","68.35","0.00","11.39","22.78","22.78","33.33"
"316","Jake Dowell","MIN","C","1","6.1833333333333","6.1833333333333","48.52","48.52","50.00","29.11","38.81","42.86","19.41","29.11","40.00","0","9.7","0.00","0.52","4.69","9.96","9.7","19.41","33.33","0","19.41","0.00","0","9.7","0.00","12.94","0","100.00","0","0","-","56.06","42.05","57.14","0","0","-","0.00","66.67","0.667","9.7","19.41","9.7","38.81","50.00","9.7","29.11","9.7","50.00"
"487","Carson McMillan","MIN","R","1","7.1333333333333","7.1333333333333","33.64","58.88","36.36","33.64","33.64","50.00","25.23","16.82","60.00","0","0","-","1.06","1.95","35.33","8.41","8.41","50.00","8.41","8.41","50.00","0","0","-","0","0","-","0","0","-","36.45","60.75","37.50","0","0","-","0.00","100.00","1.000","0","16.82","25.23","50.47","0.00","8.41","16.82","25.23","25.00"
"452","Darroll Powe","NYR","C","1","7.5333333333333","7.5333333333333","47.79","47.79","50.00","31.86","39.82","44.44","23.89","31.86","42.86","0","15.93","0.00","0.61","2.19","21.92","0","23.89","0.00","0","7.96","0.00","0","7.96","0.00","0","21.24","0.00","0","0","-","69.03","34.51","66.67","0","11.5","0.00","0.00","50.00","0.500","7.96","0","23.89","63.72","25.00","15.93","0","47.79","25.00"
"602","Mark Van Guilder","NSH","C","1","7.7","7.7","31.17","31.17","50.00","23.38","23.38","50.00","7.79","23.38","25.00","0","0","-","1.39","0.89","60.84","7.79","15.58","33.33","0","15.58","0.00","0","0","-","10.39","0","100.00","0","0","-","22.51","22.51","50.00","0","0","-","0.00","100.00","1.000","7.79","31.17","0","54.55","100.00","15.58","31.17","7.79","66.67"
"777","Joe Whitney","N.J","R","1","8","8","30","45","40.00","22.5","37.5","37.50","15","30","33.33","0","0","-","1.25","2.19","36.27","7.5","22.5","25.00","7.5","15","33.33","0","0","-","0","10","0.00","0","0","-","32.5","21.67","60.00","0","0","-","0.00","100.00","1.000","60","0","0","22.5","100.00","75","0","0","100.00"
"751","Julian Melchiori","WPG","D","1","8.6833333333333","8.6833333333333","13.82","34.55","28.57","6.91","20.73","25.00","0","20.73","0.00","0","6.91","0.00","0.17","2.04","7.63","0","20.73","0.00","0","13.82","0.00","0","6.91","0.00","0","9.21","0.00","0","0","-","9.98","9.98","50.00","0","0","-","-","66.67","0.67","13.82","27.64","6.91","48.37","66.67","13.82","48.37","20.73","40.00"
