"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"16","Chris Thorburn","STL","R","1","1.8666666666667","1.8666666666667","0","160.71","0.00","0","128.57","0.00","0","128.57","0.00","0","0","-","0","8.44","0.00","0","160.71","0.00","0","64.29","0.00","0","0","-","0","128.57","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","32.14","0","0","64.29","100.00","32.14","0","0","100.00"
"781","Brandon Gignac","N.J","C","1","9.0666666666667","9.0666666666667","52.94","105.88","33.33","39.71","86.03","31.58","19.85","66.18","23.08","0","13.24","0.00","0.84","5.88","12.47","6.62","52.94","11.11","0","33.09","0.00","0","6.62","0.00","8.82","26.47","25.00","0","8.82","0.00","47.79","57.35","45.45","0","0","-","0.00","80.00","0.800","13.24","6.62","13.24","46.32","50.00","19.85","6.62","39.71","33.33"
"805","Jake Bean","CAR","D","2","16.6","8.3","32.53","101.2","24.32","25.3","75.9","25.00","18.07","61.45","22.73","0","0","-","2.25","5.85","27.79","21.69","57.83","27.27","10.84","32.53","25.00","0","0","-","14.46","33.73","30.00","0","0","-","5.22","46.99","10.00","0","0","-","0.00","100.00","1.000","7.23","7.23","14.46","61.45","33.33","18.07","10.84","39.76","31.25"
"202","Zac Dalpe","CBJ","C","1","9.0166666666667","9.0166666666667","46.58","93.16","33.33","33.27","79.85","29.41","26.62","73.2","26.67","6.65","0","100.00","1.39","5.2","21.08","6.65","39.93","14.29","6.65","26.62","20.00","6.65","0","100.00","0","17.74","0.00","0","0","-","38.45","57.67","40.00","0","0","-","25.00","100.00","1.250","6.65","19.96","0","79.85","100.00","6.65","33.27","6.65","50.00"
"491","Dominic Toninato","COL","C","2","12.933333333333","6.4666666666667","51.03","92.78","35.48","41.75","64.95","39.13","37.11","46.39","44.44","4.64","4.64","50.00","4.66","3.23","59.04","32.47","41.75","43.75","18.56","13.92","57.14","4.64","4.64","50.00","18.56","37.11","33.33","0","0","-","26.8","60.31","30.77","0","0","-","12.50","90.00","1.025","0","9.28","0","83.51","-","4.64","13.92","4.64","50.00"
"824","Rem Pitlick","NSH","C","1","9.65","9.65","37.31","87.05","30.00","31.09","62.18","33.33","24.87","31.09","44.44","0","0","-","1.61","2.17","42.47","6.22","31.09","16.67","6.22","18.65","25.00","0","0","-","0","16.58","0.00","0","0","-","35.92","71.85","33.33","0","0","-","0.00","100.00","1.000","12.44","0","12.44","55.96","50.00","24.87","0","31.09","44.44"
"661","Nelson Nogier","WPG","D","1","9.3166666666667","9.3166666666667","51.52","83.72","38.10","32.2","64.4","33.33","25.76","45.08","36.36","0","0","-","0.93","6.64","12.24","12.88","38.64","25.00","0","38.64","0.00","0","0","-","17.17","0","100.00","0","0","-","46.51","65.12","41.67","0","0","-","0.00","100.00","1.000","12.88","19.32","6.44","25.76","66.67","19.32","32.2","25.76","42.86"
"210","Matt Donovan","NSH","D","2","14.783333333333","7.3916666666667","56.82","81.17","41.18","40.59","56.82","41.67","32.47","24.35","57.14","4.06","4.06","50.00","2.43","3.75","39.37","24.35","44.64","35.29","4.06","20.29","16.67","4.06","0","100.00","27.06","32.47","45.45","0","5.41","0.00","35.17","35.17","50.00","0","0","-","12.50","83.33","0.958","12.18","8.12","0","64.94","100.00","20.29","8.12","0","100.00"
"229","Brian Lashoff","DET","D","4","49.683333333333","12.420833333333","49.51","80.91","37.96","37.44","66.42","36.05","33.81","44.68","43.08","2.42","3.62","40.00","2.53","4.92","33.98","22.95","49.51","31.67","12.08","24.15","33.33","2.42","3.62","40.00","14.49","33.81","30.00","0","0","-","34.89","41.87","45.45","0","0","-","7.14","91.89","0.990","6.04","9.66","7.25","66.42","45.45","13.28","16.91","9.66","57.89"
"860","Jakub Jerabek","STL","D","1","7.4166666666667","7.4166666666667","48.54","80.9","37.50","40.45","64.72","38.46","24.27","48.54","33.33","0","24.27","0.00","1.52","7.61","16.61","24.27","48.54","33.33","8.09","40.45","16.67","0","24.27","0.00","21.57","10.79","66.67","0","0","-","23.37","23.37","50.00","0","0","-","0.00","50.00","0.500","8.09","8.09","8.09","88.99","50.00","24.27","8.09","16.18","60.00"
