"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"263","Dylan DeMelo","WPG","D","52","740.58333333333","14.241987179487","51.04","52.99","49.07","38.73","39.7","49.38","28.92","28.6","50.28","2.84","2.27","55.56","2.33","2.13","52.27","26.01","24.22","51.77","8.75","9.72","47.37","1.62","1.38","54.05","23.01","19.34","54.34","1.51","0.97","60.87","31.36","36.51","46.21","0.12","0.23","33.33","9.80","92.07","1.019","7.05","9.88","6.72","55.58","51.18","16.69","15.56","16.45","50.37"
"166","Zack Kassian","EDM","R","27","311.63333333333","11.541975308642","45.05","52.95","45.97","33.69","39.85","45.81","23.49","31.19","42.96","1.54","2.31","40.00","1.86","2.19","45.85","19.45","25.41","43.35","8.47","9.05","48.35","0.77","1.16","40.00","14.63","21.82","40.14","1.03","1.03","50.00","30.04","34.48","46.55","0","0.56","0.00","6.56","92.59","0.991","8.86","10.97","7.51","46.4","54.12","16.37","15.79","16.17","50.30"
"74","Mathieu Perreault","WPG","L","56","564.56666666667","10.081547619048","49.42","52.93","48.29","37.09","39.22","48.61","26.68","26.99","49.70","2.23","1.59","58.33","2.12","2.12","50.01","24.66","23.06","51.67","9.14","8.08","53.09","1.38","0.74","65.00","20.69","19.98","50.87","0.85","0.71","54.55","31.16","36.54","46.03","0.31","0.31","50.00","8.37","94.09","1.025","8.29","11.05","8.71","53.99","48.75","14.45","15.73","17.11","45.79"
"286","Victor Rask","MIN","C","54","667.76666666667","12.366049382716","51.13","52.92","49.14","37.65","39.36","48.89","25.43","28.3","47.32","3.05","2.7","53.13","2.14","2.16","49.73","22.73","23.09","49.61","8.54","8.09","51.35","1.44","1.17","55.17","18.93","20.01","48.62","1.44","1.56","48.00","34.39","36.86","48.27","0.52","0.52","50.00","12.01","90.48","1.025","11.14","11.14","5.03","44.21","68.89","18.87","17.34","14.65","56.30"
"851","Yegor Sharangovich","N.J","C","54","754.03333333333","13.963580246914","54.9","52.92","50.92","40.9","41.62","49.57","28.57","30.79","48.12","3.02","3.34","47.50","2.53","2.7","48.37","26.58","25.7","50.84","8.43","9.87","46.09","1.11","1.59","41.18","24.19","21.11","53.40","1.8","1.27","58.62","35.86","35.75","50.08","0.57","0.8","41.67","10.58","89.15","0.997","9.95","12.97","8.12","47.11","55.07","18.46","17.59","15.2","54.85"
"196","Brenden Dillon","WSH","D","56","954.53333333333","17.045238095238","52.8","52.86","49.97","40.23","40.1","50.08","28.54","28.54","50.00","3.46","2.58","57.29","2.35","2.21","51.54","24.51","23.13","51.45","9.55","8.86","51.88","1.82","1.57","53.70","19.95","19.03","51.18","1.34","1.09","55.17","35.14","36.41","49.11","0.73","0.27","72.73","12.11","90.97","1.031","10.25","14.27","7.35","41.93","58.21","19.93","22.13","17.85","52.75"
"564","David Kase","PHI","R","1","9.0833333333333","9.0833333333333","39.63","52.84","42.86","6.61","39.63","14.29","6.61","26.42","20.00","0","0","-","0.02","2.09","0.75","13.21","19.82","40.00","0","13.21","0.00","0","0","-","17.61","8.81","66.67","0","0","-","0","47.71","0.00","0","0","-","0.00","100.00","1.000","19.82","13.21","13.21","39.63","60.00","19.82","13.21","13.21","60.00"
"785","Eetu Luostarinen","FLA","C","44","483.75","10.994318181818","47.75","52.84","47.47","36.96","41.3","47.23","27.41","31.13","46.82","1.74","3.1","35.90","2.08","2.17","48.92","19.6","23.07","45.93","7.44","8.06","48.00","0.99","1.86","34.78","16.21","20.01","44.75","0.33","0.83","28.57","36.01","37.44","49.02","0.72","0.72","50.00","6.33","90.04","0.964","8.56","12.53","11.91","48.5","41.82","16.37","18.48","20.59","44.30"
"793","Marian Studenic","N.J","R","8","81.783333333333","10.222916666667","42.55","52.82","44.62","33.01","38.15","46.39","24.21","29.35","45.21","1.47","2.93","33.33","1.9","2.74","40.91","20.54","25.68","44.44","9.54","9.54","50.00","0.73","1.47","33.33","14.67","21.52","40.54","0.98","1.96","33.33","27.55","33.91","44.83","0","0","-","6.06","90.00","0.961","11","11.74","7.34","57.22","60.00","14.67","15.41","15.41","48.78"
"177","Brian Dumoulin","PIT","D","41","798.76666666667","19.482113821138","51.45","52.81","49.35","39.36","42.37","48.16","29.07","30.87","48.50","3.15","2.1","60.00","2.84","2.33","54.99","24.86","23.96","50.92","9.24","9.99","48.05","1.43","1.2","54.29","20.83","18.63","52.79","1.1","0.8","57.89","33.64","37.11","47.55","0.87","0.43","66.67","10.85","93.19","1.040","10.44","16.6","7.44","35.91","58.40","22.31","24.04","20.36","52.29"
"53","Ryan Reaves","VGK","R","37","364.9","9.8621621621622","53.27","52.78","50.23","36.5","38.48","48.68","23.84","28.78","45.31","2.3","2.3","50.00","2.33","2.36","49.59","26.14","24.99","51.13","12.33","11.51","51.72","1.64","0.99","62.50","18.42","17.98","50.60","0.44","1.32","25.00","33.01","33.01","50.00","0.48","0.48","50.00","9.66","92.00","1.017","11.02","16.28","3.45","52.12","76.14","16.77","21.87","12.66","56.98"
"714","Rhett Gardner","DAL","C","28","267.13333333333","9.5404761904762","44.92","52.78","45.98","33.24","40.43","45.12","22.69","27.85","44.89","1.35","3.37","28.57","1.71","2.11","44.79","19.99","22.69","46.84","7.64","9.43","44.74","1.12","2.02","35.71","16.47","17.67","48.25","0.3","0.9","25.00","30.17","37.63","44.50","0","0.97","0.00","5.94","87.90","0.938","8.09","11.45","5.39","66.26","60.00","11.45","16.4","13.93","45.13"
