"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"1","Matt Cullen","PIT","C","71","4.8833333333333","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.13","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","3","0","14","100.00","3","3","0","100.00"
"2","Zdeno Chara","BOS","D","62","4.85","7","0","100.00","5","0","100.00","5","0","100.00","3","0","100.00","1.02","0","100.00","3","0","100.00","1","0","100.00","1","0","100.00","2","0","100.00","0","0","-","3","0","100.00","1","0","100.00","60.00","-","0.60","2","1","1","16","66.67","3","2","1","75.00"
"16","Tomas Plekanec","MTL","C","3","0.28333333333333","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","1","0","0","3","100.00","1","0","0","100.00"
"78","Marc Staal","NYR","D","79","2.3833333333333","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.09","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","4","0","8","100.00","1","5","0","100.00"
"90","Vladimir Sobotka","BUF","C","69","7.9166666666667","11","0","100.00","8","0","100.00","6","0","100.00","0","0","-","0.66","0","100.00","4","0","100.00","3","0","100.00","0","0","-","1","0","100.00","0","0","-","6","0","100.00","0","0","-","0.00","-","0.00","6","4","1","15","85.71","7","5","1","87.50"
"93","Niklas Hjalmarsson","ARI","D","82","2.8166666666667","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.12","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","1","0","100.00","100.00","-","1.00","4","0","0","11","100.00","4","0","0","100.00"
"94","Darren Helm","DET","L","61","3.2166666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.17","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","6","4","4","42.86","5","7","4","55.56"
"124","Andrew MacDonald","PHI","D","47","2.7666666666667","2","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.12","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","1","0","100.00","0","0","-","0","0","-","50.00","-","0.50","3","2","0","8","100.00","4","2","0","100.00"
"129","Mark Letestu","CBJ","C","2","0.68333333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.14","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","100.00","-","1.00","0","1","0","2","-","0","1","0","-"
"130","Ben Lovejoy","DAL, N.J","D","71","3.75","4","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.26","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","0","0","13","100.00","3","1","0","100.00"
"132","Karl Alzner","MTL","D","9","0.4","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.06","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","2","0","0","1","100.00","2","0","0","100.00"
"136","Paul Carey","BOS, OTT","C","7","0.26666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"149","Thomas Hickey","NYI","D","40","5.2166666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","1","3","0","13","100.00","1","3","1","50.00"
"156","Carl Gunnarsson","STL","D","25","0.7","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.06","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","0","0","3","100.00","1","0","0","100.00"
"160","Robert Bortuzzo","STL","D","59","2.7666666666667","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.19","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","2","1","0","8","100.00","4","1","0","100.00"
"168","Carl Hagelin","L.A, PIT, WSH","L","58","3.3833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","1","1","13","66.67","2","1","1","66.67"
"173","Micheal Haley","FLA, S.J","C","43","1.45","3","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.43","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","3","0","6","-","0","3","0","-"
"175","Jay Beagle","VAN","C","57","2.3833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.11","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","4","4","0","11","100.00","4","4","0","100.00"
"197","Marco Scandella","BUF","D","63","5.3333333333333","10","0","100.00","8","0","100.00","8","0","100.00","0","0","-","0.5","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","6","0","100.00","0","0","-","0.00","-","0.00","5","2","1","9","83.33","6","2","1","85.71"
"211","Luke Witkowski","DET","R","34","0.5","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","2","100.00","1","0","0","100.00"
"236","Dmitry Kulikov","WPG","D","57","2.95","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.07","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","2","2","9","33.33","1","3","2","33.33"
"240","Brayden McNabb","VGK","D","81","3.7","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","2","0","10","100.00","4","2","0","100.00"
"256","Nicolas Deslauriers","MTL","L","48","1.5166666666667","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","1","0","7","100.00","2","1","0","100.00"
"261","Gabriel Bourque","COL","L","55","1.4","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.15","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","1","0","2","100.00","1","1","0","100.00"
"272","Brenden Dillon","S.J","D","82","4.8333333333333","8","0","100.00","5","0","100.00","4","0","100.00","0","0","-","0.71","0","100.00","5","0","100.00","3","0","100.00","0","0","-","2","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","1","5","2","10","33.33","3","5","2","60.00"
"309","Erik Gudbranson","PIT, VAN","D","76","3.3833333333333","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","5","2","1","12","83.33","7","2","1","87.50"
"321","Tom Kuhnhackl","NYI","R","36","5.0166666666667","4","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0.48","0","100.00","4","0","100.00","2","0","100.00","1","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","33.33","-","0.33","2","2","0","10","100.00","3","2","0","100.00"
"327","Kevin Gravel","EDM","D","36","0.41666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"328","Anthony Bitetto","MIN, NSH","D","36","1.5833333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","2","0","1","5","66.67","2","0","1","66.67"
"338","Kevan Miller","BOS","D","39","2.1833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","1","4","66.67","2","0","1","66.67"
"342","Matthew Peca","MTL","C","39","1.65","3","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","2","0","0","6","100.00","2","0","0","100.00"
"346","Lukas Sedlak","CBJ","C","47","3.1166666666667","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","2","2","2","3","50.00","2","2","2","50.00"
