"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"6","Eric Boulton","NYI","L","10","0.31666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.08","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"18","Matt Cooke","MIN","L","29","1.9333333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","4","1","0","7","100.00","4","1","0","100.00"
"19","Shawn Thornton","FLA","L","46","3.1833333333333","5","0","100.00","5","0","100.00","4","0","100.00","0","0","-","1.1","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","2","1","0","8","100.00","4","1","0","100.00"
"25","Daniel Cleary","DET","R","17","1.4333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","0","1","1","50.00","1","0","1","50.00"
"30","Andrew Ference","EDM","D","70","6.3833333333333","6","0","100.00","4","0","100.00","4","0","100.00","1","0","100.00","0.24","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","4","0","100.00","1","0","100.00","25.00","-","0.25","4","7","1","12","80.00","7","8","1","87.50"
"40","Simon Gagne","BOS","L","23","0.86666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","3","1","0","1","100.00","3","1","0","100.00"
"49","Rob Scuderi","PIT","D","82","4.3","4","0","100.00","4","0","100.00","4","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","5","3","1","11","83.33","5","3","1","83.33"
"69","Dany Heatley","ANA","L","6","5.7","9","0","100.00","7","0","100.00","6","0","100.00","0","0","-","0.51","0","100.00","4","0","100.00","1","0","100.00","0","0","-","3","0","100.00","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","1","0","0","1","100.00","5","1","1","83.33"
"74","Anton Volchenkov","NSH","D","46","1.2","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","2","-","1","0","0","100.00"
"80","Tomas Kopecky","FLA","R","64","7.7333333333333","7","0","100.00","7","0","100.00","5","0","100.00","0","0","-","0.58","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","4","3","2","16","66.67","9","5","2","81.82"
