"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"25","Alex Ovechkin","WSH","L","45","186.55","309","36","89.57","248","34","87.94","174","27","86.57","29","7","80.56","20.81","3.01","87.35","148","15","90.80","44","8","84.62","13","3","81.25","104","7","93.69","9","1","90.00","151","9","94.38","7","1","87.50","16.67","74.07","0.907","62","9","1","8","98.41","166","27","5","97.08"
"4","Jason Spezza","TOR","C","54","72.633333333333","120","14","89.55","89","13","87.25","64","11","85.33","8","2","80.00","8.4","1.97","81.04","70","10","87.50","26","4","86.67","4","2","66.67","44","6","88.00","2","0","100.00","48","2","96.00","2","0","100.00","12.50","81.82","0.943","40","6","2","45","95.24","64","8","2","96.97"
"721","Erik Brannstrom","OTT","D","30","52.333333333333","77","9","89.53","59","9","86.76","48","7","87.27","4","0","100.00","5.75","0.52","91.65","47","6","88.68","17","1","94.44","1","0","100.00","30","5","85.71","2","0","100.00","29","1","96.67","1","0","100.00","8.33","100.00","1.083","22","3","2","33","91.67","35","8","3","92.11"
"706","Jason Robertson","DAL","L","51","112.6","179","21","89.50","133","20","86.93","97","17","85.09","12","2","85.71","12.9","0.85","93.82","104","6","94.55","47","4","92.16","9","1","90.00","57","2","96.61","1","1","50.00","72","6","92.31","2","0","100.00","12.37","88.24","1.006","47","8","1","45","97.92","90","14","5","94.74"
"169","Dmitry Orlov","WSH","D","51","37.783333333333","51","6","89.47","42","5","89.36","34","4","89.47","3","0","100.00","3.58","0.14","96.22","22","2","91.67","10","0","100.00","0","0","-","12","2","85.71","2","0","100.00","29","2","93.55","1","0","100.00","8.82","100.00","1.088","13","6","6","37","68.42","24","10","9","72.73"
"247","Ondrej Palat","T.B","L","55","174.36666666667","289","34","89.47","222","29","88.45","163","28","85.34","30","1","96.77","19.7","1.89","91.26","147","21","87.50","48","8","85.71","14","0","100.00","99","13","88.39","10","1","90.91","137","8","94.48","6","0","100.00","18.40","96.43","1.148","102","19","1","39","99.03","177","25","3","98.33"
"640","Noah Gregor","S.J","C","30","12.75","17","2","89.47","13","2","86.67","12","2","85.71","0","0","-","1.34","0.03","97.77","9","0","100.00","3","0","100.00","0","0","-","6","0","100.00","0","0","-","8","1","88.89","0","0","-","0.00","100.00","1.000","6","3","2","10","75.00","8","5","3","72.73"
"585","Troy Terry","ANA","R","48","84.416666666667","127","15","89.44","98","14","87.50","64","11","85.33","3","0","100.00","8.85","0.88","90.92","58","9","86.57","21","4","84.00","3","0","100.00","37","5","88.10","0","0","-","68","2","97.14","0","0","-","4.69","100.00","1.047","33","9","1","39","97.06","55","13","1","98.21"
"541","Roope Hintz","DAL","L","41","115.96666666667","203","24","89.43","165","23","87.77","110","19","85.27","24","1","96.00","15.37","1.04","93.66","123","9","93.18","63","4","94.03","16","0","100.00","60","5","92.31","6","0","100.00","77","3","96.25","2","1","66.67","21.82","94.74","1.166","74","13","0","23","100.00","126","25","2","98.44"
"168","Tyson Barrie","EDM","D","56","194.65","372","44","89.42","288","38","88.34","214","33","86.64","36","4","90.00","29.2","2.48","92.17","235","23","91.09","99","7","93.40","20","2","90.91","136","16","89.47","9","2","81.82","135","8","94.41","7","0","100.00","16.82","87.88","1.047","85","12","0","15","100.00","196","20","7","96.55"
"478","Christian Dvorak","ARI","C","56","159.16666666667","245","29","89.42","178","28","86.41","122","23","84.14","13","3","81.25","14.94","1.57","90.50","115","12","90.55","44","6","88.00","5","2","71.43","71","6","92.21","5","0","100.00","122","10","92.42","3","0","100.00","10.66","86.96","0.976","101","13","1","33","99.02","153","19","4","97.45"
