"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"14","Jay Bouwmeester","STL","D","56","5.1833333333333","3","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.28","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","3","0","12","100.00","3","2","0","100.00"
"49","Andrej Sekera","DAL","D","57","4.9333333333333","5","0","100.00","4","0","100.00","3","0","100.00","0","0","-","0.31","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","4","2","0","11","100.00","7","2","0","100.00"
"58","Marc Staal","NYR","D","52","3.6166666666667","3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","0.24","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","3","1","1","4","75.00","5","1","1","83.33"
"69","Niklas Hjalmarsson","ARI","D","27","0.63333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","1","1","2","50.00","1","1","1","50.00"
"71","Nathan Gerbe","CBJ","C","30","9.7","13","0","100.00","10","0","100.00","5","0","100.00","1","0","100.00","0.67","0","100.00","5","0","100.00","1","0","100.00","0","0","-","4","0","100.00","0","0","-","8","0","100.00","1","0","100.00","20.00","-","0.20","6","0","0","12","100.00","7","0","0","100.00"
"91","Michael Grabner","ARI","L, R","46","2.9333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","3","1","1","4","75.00","4","1","1","80.00"
"93","Korbinian Holzer","ANA, NSH","D","49","1.7833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","0","15","-","0","2","0","-"
"102","Steven Kampfer","BOS","D","10","5","6","0","100.00","5","0","100.00","4","0","100.00","2","0","100.00","0.42","0","100.00","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","3","0","100.00","1","0","100.00","50.00","-","0.50","1","0","0","7","100.00","1","1","0","100.00"
"106","Justin Braun","PHI","D","62","5.7666666666667","3","0","100.00","3","0","100.00","2","0","100.00","1","0","100.00","0.24","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","50.00","-","0.50","4","2","2","16","66.67","5","3","3","62.50"
"155","Cody Goloubef","DET, OTT","D","26","2.05","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.12","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","3","0","0","4","100.00","4","0","0","100.00"
