"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"557","Vladislav Gavrikov","CBJ","D","80","7.5666666666667","0.094583333333333","-63.15","-1.36","-17.97","-56.82","0.96","-32.99","-35.79","4.44","-31.89","-6.79","-0.99","-","-5.59","1.65","-64.04","-38.09","7.25","-50.91","-17.05","11.39","-79.23","-2.81","-0.66","-","-28.06","-5.52","12.50","-3.09","-0.44","-87.50","-46.68","-6.22","8.20","-2.39","0","-100.00","0.00","100.00","1.000","95.15","31.72","7.93","190.31","92.31","95.15","31.72","7.93","92.31"
"251","Adam Larsson","SEA","D","82","9.5166666666667","0.11605691056911","-78.61","-1.42","-27.43","-62.41","-6.25","-18.99","-41.7","-3.64","-17.85","1.25","-1.14","18.42","-4.85","-0.84","10.99","-41.15","-5.87","11.01","-14.41","-2.61","11.19","3.7","-0.49","15.79","-35.66","-4.35","-","-1.3","-0.65","-66.67","-53.64","-4.71","6.15","-2.12","0","-100.00","50.00","100.00","1.500","69.35","44.13","6.3","189.14","91.67","75.66","44.13","12.61","85.71"
"506","Dylan Strome","CHI","C","69","185.43333333333","2.6874396135266","8.72","-1.43","2.35","7.24","-2.38","3.93","6.05","-2.18","4.48","2.85","-0.26","8.89","0.68","0.12","-0.16","6.68","1.03","0.08","4.74","2.39","-5.64","1.83","0.56","-3.33","2.58","-1.81","3.97","-0.03","-1.09","33.33","2.82","-6.08","8.65","1.5","0","0.00","13.95","90.00","1.040","29.12","4.53","0.65","19.09","97.83","55.98","7.44","0.97","98.30"
"31","Anze Kopitar","L.A","C","81","270.63333333333","3.3411522633745","14.62","-1.44","2.56","4.32","-1.6","2.10","-3.55","-0.15","-0.61","2.15","0.77","-4.06","0.12","0","0.14","8.3","0.86","0.18","-2.75","1.49","-5.75","0.66","0.72","-13.33","14.73","-0.83","4.82","-1.05","-0.22","1.79","19.14","-3.71","4.40","2.96","0.32","-8.33","10.94","86.54","0.975","29.04","5.1","0.22","6.43","99.24","59.42","7.09","1.55","97.45"
"416","Sam Reinhart","FLA","C","78","261.25","3.349358974359","15.35","-1.47","3.21","19.7","-1.83","5.95","10.45","-2.69","6.57","7.22","0.53","5.95","2.64","0.1","3.40","18.88","-0.16","4.08","8.08","-0.33","7.70","4.69","0.72","8.87","14.4","0.22","1.61","2.89","-0.26","18.75","-3.3","0.38","-0.96","0.52","0","0.00","20.33","86.36","1.067","31.46","3.9","0.69","6.43","97.86","57.88","6.89","1.84","96.92"
"146","Reilly Smith","VGK","R","56","101.03333333333","1.8041666666667","15.82","-1.5","2.94","19.27","-2.02","4.89","17.97","-4.05","8.70","1.79","-0.08","4.31","2.06","-0.6","8.49","9.49","-1.01","3.31","6.56","-0.93","6.46","1.19","-0.08","7.78","3.9","-0.11","1.11","1.13","0","0.00","9.39","-0.24","1.01","-0.37","0","0.00","11.02","87.50","0.985","34.44","2.97","0.59","31.47","98.31","58.79","7.72","1.19","98.02"
"248","Ryan Nugent-Hopkins","EDM","C","63","218.91666666667","3.4748677248677","22.06","-1.51","3.13","14.78","0.65","1.00","10.47","0.9","0.49","2.83","1.37","-10.64","1.97","-0.33","4.92","14.81","-3.2","6.31","5.2","-2.41","8.44","-1.85","1.37","-22.73","12.82","-1.05","4.04","1.49","0","0.00","12.45","1.22","-0.68","5.15","0","100.00","16.41","83.87","1.003","27.68","1.92","0","2.74","100.00","56.46","6.85","1.37","97.63"
"414","Tomas Nosek","BOS","L","75","3.4166666666667","0.045555555555556","-5.78","-1.51","0.36","18.61","0.38","2.24","26.3","2.79","2.70","-7.56","-1.03","-","-0.92","-0.92","9.42","-8.47","-9.79","13.80","13.48","-4.98","18.71","-2.75","-0.86","-","-29.27","-6.41","10.85","-4.81","-0.23","-95.45","3.39","-5.21","6.69","-1.74","0","-100.00","0.00","100.00","1.000","35.12","0","17.56","87.8","66.67","52.68","0","17.56","75.00"
"255","Sean Couturier","PHI","C","29","82.166666666667","2.8333333333333","42.87","-1.52","7.10","33.03","-0.26","7.17","20.67","2","3.97","4.32","1.2","1.92","3.28","0.39","1.60","12.64","-1.12","5.71","8.71","3.39","-9.55","2.39","0.73","-14.29","5.24","-6.01","16.67","0","1.95","0.00","41.94","-2.58","7.90","1.73","-1.44","50.00","13.16","80.00","0.932","29.21","6.57","0","9.49","100.00","60.61","9.49","0","100.00"
"162","Erik Haula","BOS","L","78","73.283333333333","0.93952991452991","-7.6","-1.56","0.11","-16.52","-1.4","-1.92","-10.18","0.56","-3.56","-2.88","-1.2","13.33","-2.09","-0.64","3.52","-5.08","-4.85","5.23","0.31","-2.94","9.85","-0.96","-1","27.78","-7.2","-2.54","2.46","-0.43","-0.27","5.26","-1.55","-1.05","1.14","-2.31","0","-100.00","9.38","100.00","1.094","20.47","13.1","2.46","57.31","89.29","32.75","17.19","5.73","85.11"
"329","Riley Barber","DET","R","4","3.8166666666667","0.95416666666667","73.84","-1.59","13.89","86.82","-1.59","19.66","61.29","-1.59","33.33","-8.65","11.39","-66.67","9.23","1.71","-0.02","41.25","7.07","8.57","18.46","15.72","-33.33","-4.33","15.72","-100.00","30.38","-11.54","50.00","0","-5.77","0.00","15.83","-12.5","14.29","-6.25","0","-100.00","0.00","0.00","0.000","31.44","15.72","0","15.72","100.00","62.88","15.72","0","100.00"
"397","Alex Wennberg","SEA","C","80","166.3","2.07875","-12.42","-1.61","-0.20","-8.03","-0.6","-0.80","-2.91","0.23","-1.05","-0.4","-0.11","0.30","-0.55","-0.21","1.75","-10.45","-0.57","-1.28","-1.46","-0.53","1.39","1.51","-0.24","13.13","-11.99","-0.06","-3.52","-1.11","-0.32","-16.67","-2.94","-1.02","1.03","-1.55","0","0.00","9.15","89.29","0.984","28.5","7.58","2.16","27.06","92.94","45.46","10.46","3.61","92.65"
"249","Gabriel Landeskog","COL","L","51","200.91666666667","3.9395424836601","56.05","-1.64","8.10","51.13","-2.93","12.28","42.02","-2.92","16.55","4.86","0.2","3.22","5.16","0.32","2.99","35.44","-2.61","11.08","11.51","-0.41","8.60","2.48","0.6","-13.33","31.9","-2.94","12.46","2.38","-0.93","25.00","28.47","3.01","-1.45","0.85","0","0.00","14.23","90.00","1.042","29.27","3.58","0","3.58","100.00","68.39","7.47","2.69","96.22"
"484","Kyle Connor","WPG","L","79","267.63333333333","3.3877637130802","25.99","-1.69","4.54","19.92","0.9","2.43","9.64","-0.14","2.65","2.13","1.35","-13.64","1.85","0.55","-3.00","15.77","0.88","2.05","3.67","1.35","-2.88","1.35","1.12","-22.73","16.14","-0.63","5.88","1.32","0.3","-8.33","16.06","-3.47","6.68","-0.31","0","0.00","14.02","88.46","1.025","26.01","2.24","0.22","7.4","99.15","60.31","4.93","1.79","97.11"
"837","Cam York","PHI","D","30","68.783333333333","2.2927777777778","-10.03","-1.74","-0.26","-7.82","1.17","-2.70","-7.53","2.53","-5.21","2.91","-2.23","42.86","0.93","-0.18","3.31","-6.67","-2.22","1.26","-3.09","-0.39","-0.40","1.16","0.1","5.00","-4.77","-2.45","2.70","2.33","-2.07","100.00","-8.78","-5.18","5.00","0","0","-","10.34","94.44","1.048","28.79","7.85","1.74","22.68","94.29","50.59","8.72","1.74","96.67"
"755","Pius Suter","DET","C","82","111.61666666667","1.3611788617886","-17.45","-1.76","-1.11","-11.22","-0.24","-2.24","-15.56","0.1","-6.08","-5.02","0.09","-25.36","-1.49","-0.19","-0.49","-12.66","-2.88","1.67","-4.72","-1.11","1.75","-0.99","-0.11","-5.00","-10.58","-2.36","1.61","-2.76","-0.44","-25.00","-6.46","1.04","-2.52","-2.82","0","-100.00","5.88","86.36","0.922","27.95","6.99","2.15","30.64","92.86","44.08","9.68","5.91","88.17"
"793","Ty Smith","N.J","D","66","86.216666666667","1.3063131313131","-19.02","-1.77","-1.79","-13.14","-2.5","-0.81","-10.51","-4.39","2.49","-0.28","-1.47","17.13","-1.59","-0.81","6.28","-11.42","-2.38","0.29","-3.2","-3.06","10.39","1.85","-0.93","33.33","-10.96","0.92","-4.75","-1.04","-0.72","20.00","-19.56","-0.63","-1.80","-1.96","0","-100.00","14.58","91.67","1.063","18.79","5.57","0.7","42.45","96.43","35.49","10.44","1.39","96.23"
"253","Mika Zibanejad","NYR","C","81","241.86666666667","2.9860082304527","34.53","-1.78","5.45","30.47","-2.78","7.51","21.56","-4.89","11.78","10.18","-0.37","18.08","4.26","-0.04","5.69","24.14","1.65","2.87","11.25","-1.47","10.39","7.32","-0.62","50.00","17.19","4.16","-2.89","1.66","0","0.00","21.8","-3.54","6.70","2.33","0.36","-10.00","19.17","97.14","1.163","30.51","5.21","0.5","3.22","98.40","60.03","7.19","2.23","96.41"
"517","Zach Werenski","CBJ","D","68","219.51666666667","3.2281862745098","32.3","-1.78","6.42","24.9","-1.58","7.21","15.34","-0.52","5.93","3.43","-0.31","12.50","2.4","0.05","5.62","12.07","-1.22","5.99","3.54","0.7","1.05","2.15","0.12","14.58","11.37","-2.56","9.40","2.34","-0.57","40.00","30.69","-0.8","4.96","-0.68","0","0.00","13.46","91.49","1.050","25.69","4.37","0","3.83","100.00","59.86","8.2","0.82","98.65"
