"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"592","Daniel Catenacci","BUF","C","11","0.41666666666667","0.037878787878788","-103.33","138.75","-95.16","-70.93","139.62","-94.19","-49.91","-3.5","-","-4.38","0","-","-5.84","2.92","-98.72","-37.66","0","-","-16.64","0","-","-2.63","0","-","-28.02","0","-","0","0","-","-89.81","201.68","-93.42","-2.53","0","-100.00","-","-","-","0","0","0","0","-","0","0","0","-"
"576","Max McCormick","OTT","R","20","1.25","0.0625","-102.96","87.89","-92.70","-78.63","89.14","-91.97","-56.79","90.38","-91.00","-3.74","-0.62","-","-5.89","2.75","-91.30","-43.68","45.5","-94.59","-16.22","-0.62","-","0","0","-","-36.61","61.5","-93.62","-1.66","0","-100.00","-80.22","65.73","-95.70","-3.61","0","-100.00","-","100.00","1.00","0","48","0","144","-","0","48","0","-"
"281","Brian Strait","NYI","D","52","2.45","0.047115384615385","-69.72","86.76","-69.37","-42.73","15.07","-37.71","-24.14","17.11","-36.82","18.38","-1.02","14.29","11.37","0.74","1.80","-28.47","42.61","-55.94","-24.19","-3.06","-","-4.07","-0.51","-","-5.71","60.89","-56.35","31.3","-0.68","33.33","-55.17","31.33","-93.17","-1.47","0","-100.00","100.00","100.00","2.000","48.98","24.49","0","269.39","100.00","48.98","48.98","0","100.00"
"549","Tom Kuhnhackl","PIT","R","42","1.3333333333333","0.031746031746032","-3.7","79.06","-39.54","-24.58","35.74","-38.26","-9.43","37.43","-37.78","-6.45","-1.12","-","-1.85","4.47","-41.57","41.18","38.83","-22.11","-18.8","41.07","-82.72","-3.09","-1.12","-","79.98","-2.99","6.96","-2.62","0","-100.00","-61.6","61.35","-94.41","-1.62","0","-100.00","0.00","100.00","1.000","90","45","0","135","100.00","135","45","0","100.00"
"776","Patrick Brown","CAR","C","7","0.66666666666667","0.095238095238095","-80.05","73.02","-82.50","-63.07","75.44","-81.25","-53.37","-12.13","-","-4.85","0","-","-5.7","4.17","-80.71","-38.81","-14.56","-","-14.56","-4.85","-","-2.43","0","-","-32.35","-12.94","-","-3.23","0","-100.00","-59.57","130","-100.00","0","0","-","-","-","-","0","0","0","180","-","0","0","0","-"
"824","Sergei Plotnikov","ARI, PIT","L","45","5.2166666666667","0.11592592592593","16.95","66.68","-28.82","9.6","45.44","-27.12","6.72","15.46","-15.64","-8.05","-0.5","-","-1.05","1.18","-14.31","5.96","16.21","-16.93","3.64","8.74","-20.83","-2.77","-0.25","-","3.09","9.97","-13.89","-4.69","-0.34","-93.33","3.62","59.55","-40.10","-2.54","0","-100.00","0.00","100.00","1.000","34.5","11.5","0","149.52","100.00","57.51","11.5","11.5","83.33"
"779","Garnet Hathaway","CGY","R","14","1.6166666666667","0.11547619047619","-36.74","62.8","-40.67","-15.53","65.25","-40.91","8.13","66.88","-40.00","32.22","-1.63","25.00","-5.25","5.81","-52.98","-23.27","28.14","-37.06","-28.56","32.22","-85.37","-0.82","-1.63","-","7.05","-5.44","11.36","-4.35","0","-100.00","-13.57","50.07","-45.00","52.43","0","0.00","50.00","100.00","1.500","74.23","37.11","0","259.79","100.00","74.23","37.11","0","100.00"
"584","Darren Dietz","MTL","D","13","2.2333333333333","0.17179487179487","-73.04","60.89","-78.75","-49.86","35.18","-72.88","-33.62","12.95","-70.73","-3.48","24.55","-60.00","-4.18","0.35","-59.54","-26.67","44.46","-74.19","-13.91","19.91","-66.67","-1.16","24.55","-33.33","-17","32.73","-84.62","-1.55","0","-100.00","-58.62","32.11","-89.74","-1.67","0","-100.00","-","0.00","0.00","0","26.87","0","53.73","-","0","26.87","0","-"
"693","Adam Pelech","NYI","D","9","4.7333333333333","0.52592592592593","-58.53","57.28","-45.24","-45.6","20.48","-28.51","-20","20.48","-26.88","9.02","-1.22","25.00","5.83","1.07","-4.28","-33.9","9.02","-20.16","-22.68","-1.22","3.33","-3.66","-1.22","-","-14.96","13.65","-27.08","16.9","0","100.00","-46.84","51.41","-69.87","0","0","-","25.00","100.00","1.250","25.35","0","0","114.08","100.00","38.03","38.03","12.68","75.00"
"37","Martin Havlat","STL","R","2","0.86666666666667","0.43333333333333","-115.9","47.5","-84.21","-65.19","47.5","-75.00","-50.7","47.5","-70.00","-7.24","0","-","-8.01","-1.17","-67.10","-72.43","-21.73","-","-14.49","-21.73","-","-7.24","0","-","-77.26","0","-","0","0","-","-62.78","100","-100.00","0","0","-","-","100.00","1.00","0","0","0","69.23","-","0","0","0","-"
