"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"681","Nick Caamano","DAL","R","12","0.15","0.0125","-118.06","390.78","-92.75","-82.09","390.78","-89.90","-55.34","394.47","-90.91","-3.69","0","-","-7.13","9.81","-97.67","-59.03","-0.92","-","-25.83","0","-","-2.77","0","-","-44.27","-1.23","-","-1.23","0","-100.00","-74.61","572.45","-93.33","0","0","-","-","100.00","1.00","0","400","0","800","-","0","0","0","-"
"488","Curtis Lazar","BUF","C","38","0.88333333333333","0.023245614035088","-94.35","190.2","-87.42","-73.11","123.32","-85.37","-52.92","56.44","-82.16","-5.57","-2.44","-","-5.93","5.19","-82.02","-43.52","61.31","-86.81","-13.23","-3.48","-","-1.39","-1.74","-","-40.39","86.39","-90.63","-3.25","0","-100.00","-72.92","191.7","-94.16","-2.01","0","-100.00","-","100.00","1.00","0","135.85","67.92","135.85","0.00","0","135.85","67.92","0.00"
"103","Paul Carey","BOS","C","1","0.51666666666667","0.51666666666667","-54.71","177.55","-50.00","-32.83","188.49","-42.86","-21.88","199.43","-40.00","0","0","-","-2.53","6.01","-37.48","-10.94","83.3","-25.00","0","-21.88","-","0","0","-","-14.59","140.25","-50.00","0","0","-","-63.22","151.94","-80.00","0","0","-","-","100.00","1.00","0","0","0","116.13","-","0","0","0","-"
"175","Luke Witkowski","T.B","R","12","0.33333333333333","0.027777777777778","-86.92","166.45","-86.52","-69.99","168.71","-86.11","-51.93","169.84","-83.64","-7.9","-1.13","-","-4.69","33.1","-87.23","-33.87","173.23","-83.33","-9.03","177.74","-80.00","-1.13","0","-","-33.11","-6.02","-","-4.52","-1.51","-75.00","-75.01","-3.26","-","-4.89","0","-100.00","-","100.00","1.00","0","0","0","180","-","0","0","0","-"
"219","Kevin Connauton","COL","D","4","0.41666666666667","0.10416666666667","59.33","120.64","-28.38","82.69","123.56","-25.00","-37.96","126.48","-68.42","-2.92","0","-","2.93","-0.06","3.49","97.28","-5.84","11.11","-11.68","0","-","0","0","-","145.28","-7.79","14.29","0","0","-","-54.83","-8.43","-","-4.22","0","-100.00","-","100.00","1.00","144","0","0","0","100.00","144","0","0","100.00"
"651","Joey Anderson","N.J","R","18","1.45","0.080555555555556","-90.5","104.98","-82.53","-73.98","107.62","-81.75","-59.45","110.93","-81.82","-10.57","-1.32","-","-8.3","23.48","-85.09","-52.18","115.55","-85.87","-27.08","78.8","-87.23","-5.94","-0.66","-","-33.47","49.01","-84.44","-4.4","-0.88","-83.33","-53.43","-8.59","-","-1.91","0","-100.00","-","100.00","1.00","0","0","0","165.52","-","0","0","41.38","0.00"
"603","Jeremy Lauzon","BOS","D","19","0.51666666666667","0.02719298245614","-1.74","102.45","-39.60","28.21","104.41","-38.24","52.96","107.01","-37.39","-9.77","-1.95","-","-5.82","16.48","-75.71","-59.26","108.97","-89.22","-27.35","114.18","-93.33","-5.21","-1.3","-","-42.55","-6.95","-","-2.6","0","-100.00","87.79","-4.7","5.56","-3.76","-0.94","-80.00","0.00","100.00","1.000","0","0","0","232.26","-","0","0","0","-"
"455","Ryan Graves","COL","D","69","5.5833333333333","0.080917874396135","-86.5","71.37","-75.83","-71.77","51.27","-84.46","-50.8","31.96","-82.16","-7.15","-0.93","-","-6.48","1.89","-89.26","-40.05","15.28","-55.77","-19.11","7.64","-86.01","-2.17","-0.93","-","-27.93","10.19","-41.07","-3.73","0","-100.00","-63.95","42.08","-93.44","-3.14","0","-100.00","-","100.00","1.00","42.99","21.49","10.75","128.96","80.00","42.99","21.49","21.49","66.67"
"646","Adam Brooks","TOR","C","7","0.7","0.1","-97.1","70.78","-86.67","-72.82","-14.94","-","-52.28","-11.2","-","-9.34","-3.73","-","-6.41","-3.5","-","-48.55","78.25","-86.67","-11.2","-5.6","-","-1.87","-3.73","-","-49.79","111.8","-95.24","-7.47","0","-100.00","-67.43","-2.7","-","-2.7","0","-100.00","-","-","-","0","0","0","0","-","85.71","0","0","100.00"
"138","Jay Beagle","VAN","C","55","2.25","0.040909090909091","-102.88","67.95","-89.52","-76.49","16.91","-88.69","-54.31","17.87","-86.06","-8.41","-0.76","-","-6.29","-0.07","-87.88","-48","-5.74","-","-17.21","-3.63","-","-2.87","-0.57","-","-41.05","-2.8","-","-4.59","0","-100.00","-76.79","111.41","-94.88","-3.04","0","-100.00","-","100.00","1.00","160","53.33","0","346.67","100.00","186.67","80","0","100.00"
