"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"93","Yannick Weber","PIT","D","2","0.066666666666667","0.033333333333333","-79.08","882.81","-82.14","-55.01","882.81","-76.19","-37.82","886.25","-73.33","0","-3.44","-","-4.73","28.32","-74.42","-37.82","-13.75","-","-13.75","-6.88","-","0","-3.44","-","-32.09","-9.17","-","0","0","-","-59.6","1300","-100.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"838","Josh Dunne","CBJ","C","6","0.13333333333333","0.022222222222222","-128.57","426.62","-84.62","-116.88","-23.38","-","-87.66","-17.53","-","-11.69","0","-","-10.79","-2.24","-","-52.6","-17.53","-","-23.38","-5.84","-","-5.84","0","-","-38.96","-15.58","-","0","0","-","-109.74","650","-100.00","-8.44","0","-100.00","-","-","-","900","0","0","0","100.00","900","0","0","100.00"
"133","Greg Pateryn","COL, MIN, S.J","D","13","0.43333333333333","0.033333333333333","28.46","263.36","-55.69","60.86","264.11","-52.50","81.95","266.37","-50.94","-3.77","0","-","4.4","12.06","-41.36","-51.99","131.68","-88.46","-17.33","133.19","-76.67","-0.75","0","-","-46.21","-2.01","-","-2.01","0","-100.00","119.46","-2.18","2.63","-2.18","0","-100.00","0.00","100.00","1.000","0","0","0","415.38","-","0","0","0","-"
"263","Steven Fogarty","BUF","C","9","0.21666666666667","0.024074074074074","-94.84","260.78","-85.45","-72.65","262.8","-83.72","-44.39","266.83","-81.48","-10.09","0","-","-6.56","-0.34","-90.29","-38.34","-6.05","-","-18.16","-2.02","-","-6.05","0","-","-26.91","-5.38","-","-5.38","0","-100.00","-81.61","-5.83","-","0","0","-","-","100.00","1.00","0","0","0","276.92","-","0","0","0","-"
"474","Ryan MacInnis","CBJ","C","16","0.21666666666667","0.013541666666667","-83.17","260.59","-83.58","-72.77","-13.37","-","-50.5","-11.88","-","-5.94","0","-","-6.31","-1.27","-","-41.58","-10.4","-","-16.34","-5.94","-","-2.97","0","-","-33.66","-5.94","-","0","0","-","-55.78","395.71","-92.86","-4.29","0","-100.00","-","-","-","0","0","0","553.85","-","0","0","0","-"
"70","Michael Frolik","MTL","R","8","0.23333333333333","0.029166666666667","-66.75","247.61","-87.50","-49.27","247.61","-83.78","-30.2","247.61","-76.00","-6.36","0","-","-4.18","-0.3","-91.05","-39.74","-1.59","-","-12.72","-1.59","-","-1.59","0","-","-36.03","0","-","-6.36","0","-100.00","-34.44","0","-","0","0","-","-","100.00","1.00","0","257.14","0","0","-","0","257.14","0","-"
"798","Nolan Foote","N.J","L","6","0.36666666666667","0.061111111111111","-117.1","146.91","-87.50","-66.91","146.91","-80.00","-46.84","146.91","-73.68","-10.04","0","-","-7.57","24.54","-87.73","-50.19","153.6","-83.33","-13.38","163.64","-100.00","-3.35","0","-","-49.07","-13.38","-","-4.46","0","-100.00","-91.82","-4.83","-","-4.83","0","-100.00","-","100.00","1.00","0","0","0","163.64","-","0","0","0","-"
"165","Brayden McNabb","VGK","D","41","0.81666666666667","0.019918699186992","36.57","134.13","-39.60","-12.1","135.77","-55.12","12.97","138.22","-54.07","-6","-0.55","-","-2.52","2.17","-27.17","15.69","-6","9.40","51.4","-2.73","10.99","-3.27","0","-","-47.6","-4.36","-","-1.45","0","-100.00","-70.86","101.4","-93.75","-2.36","-0.79","-75.00","0.00","100.00","1.000","146.94","0","0","293.88","100.00","146.94","0","0","100.00"
"398","Ryan Graves","COL","D","54","2.9833333333333","0.055246913580247","-47.98","110.7","-58.24","-22.29","91.55","-52.67","-2.35","52.67","-39.10","-9.01","-0.19","-","4.79","4.41","-22.16","-21.12","77","-61.34","13.96","58.42","-53.20","-3.45","0","-","-46.78","24.77","-95.81","-5.37","-0.26","-95.45","-37.41","55.05","-62.28","-2.22","0","-100.00","0.00","100.00","1.000","80.45","60.34","20.11","80.45","80.00","100.56","60.34","40.22","71.43"
"256","Tobias Rieder","BUF","L","44","1.8833333333333","0.04280303030303","-81.7","84.26","-87.84","-64.73","53.03","-85.83","-45.88","54.6","-83.43","-7.54","-0.94","-","-5.75","-0.72","-86.92","-35.2","27.46","-88.89","-16.34","-3.46","-","-2.51","-0.31","-","-25.14","41.22","-95.24","-4.19","0","-100.00","-65.82","-3.63","-","-2.72","0","-100.00","-","100.00","1.00","31.86","95.58","0","127.43","100.00","31.86","95.58","31.86","50.00"
