"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"397","Nate Prosser","MIN","D","39","0.4","0.01025641025641","0","150","0","150","150","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"391","Justin Dowling","DAL","C","9","0.95","0.10555555555556","0","63.16","0","63.16","63.16","100.00","0","-","0","63.16","0","63.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.16","0","6315.79"
"462","Marek Hrivik","NYR","L","16","1.0166666666667","0.063541666666667","0","59.02","0","59.02","59.02","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.02","0.00"
"395","Radko Gudas","PHI","D","67","4.5666666666667","0.0681592039801","0","13.14","0","13.14","13.14","100.00","26.28","0.00","0.76","26.28","26.28","0","0","0","0","26.28","13.14","13.14","0","0","13.14","0","0","0","0","0","0","0","-"
"797","Clayton Keller","ARI","C","3","5.15","1.7166666666667","0","11.65","0","11.65","11.65","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.65","0","0","0","-"
"278","Zach Bogosian","BUF","D","56","6.05","0.10803571428571","0","9.92","0","9.92","9.92","100.00","19.83","0.00","0.46","29.75","19.83","0","0","0","9.92","0","0","0","0","0","0","0","0","0","0","9.92","0","0","-"
"402","Oscar Lindberg","NYR","C","65","6.1333333333333","0.094358974358974","0","9.78","0","9.78","9.78","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.78","0","0","88.04","58.7","586.96"
"559","Brad Hunt","NSH, STL","D","12","7.3666666666667","0.61388888888889","8.14","8.14","0","8.14","16.29","66.67","24.43","33.33","2.81","32.58","32.58","8.14","0","0","0","0","0","0","0","0","0","0","8.14","0","0","8.14","0","0","-"
"671","Gustav Olofsson","MIN","D","13","8.4","0.64615384615385","0","7.14","0","7.14","7.14","33.33","7.14","0.00","0.26","7.14","7.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"561","Karl Stollery","N.J","D","11","28.016666666667","2.5469696969697","0","6.42","0","6.42","6.42","100.00","6.42","0.00","0.41","10.71","8.57","2.14","0","0","0","0","0","0","0","0","0","2.14","0","0","4.28","0","0","0","-"
"467","Taylor Fedun","BUF","D","27","33.1","1.2259259259259","0","5.44","0","5.44","5.44","75.00","3.63","0.00","0.17","9.06","5.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"620","Paul LaDue","L.A","D","22","33.083333333333","1.5037878787879","0","7.25","1.81","5.44","7.25","66.67","9.07","0.00","0.61","18.14","12.7","7.25","0","0","0","0","0","0","0","0","0","1.81","0","0","1.81","0","0","0","-"
"67","Jay Bouwmeester","STL","D","81","11.566666666667","0.14279835390947","0","5.19","0","5.19","5.19","100.00","5.19","0.00","0.17","10.37","5.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"621","Matthew Benning","EDM","D","62","25.933333333333","0.41827956989247","2.31","4.63","0","4.63","6.94","100.00","4.63","50.00","0.84","11.57","6.94","2.31","2.31","0","2.31","4.63","2.31","2.31","0","0","4.63","0","0","6.94","2.31","0","0","0","-"
"200","Chris Stewart","MIN","R","79","13.083333333333","0.16561181434599","0","9.17","4.59","4.59","9.17","200.00","4.59","0.00","0.7","9.17","4.59","4.59","4.59","0","0","0","0","0","0","0","0","0","0","0","4.59","0","0","0","-"
"41","Jason Spezza","DAL","C","68","181.81666666667","2.6737745098039","0.66","5.61","1.65","3.96","6.27","63.33","10.89","6.06","1.64","21.12","18.81","10.23","5.28","0","0.99","0","0","0","0","0","0","2.64","0.66","0.33","1.32","0","21.12","15.84","18.86"
"650","Peter Cehlarik","BOS","L","11","15.266666666667","1.3878787878788","0","3.93","0","3.93","3.93","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","3.93","0","3.93","3.93","0","0","0","-"
"42","Mikko Koivu","MIN","C","80","178.18333333333","2.2272916666667","0.67","6.06","2.36","3.7","6.73","71.43","11.11","6.06","1.87","18.52","14.48","11.11","7.41","0","2.02","0","0","0","0","0","0","1.35","0.34","0.67","0.67","0","38.05","21.21","21.62"
"213","Nicklas Backstrom","WSH","C","82","251.01666666667","3.0611788617886","1.91","6.45","2.87","3.59","8.37","85.37","7.17","26.67","1.03","11.47","9.56","6.93","3.59","0.24","0.24","1.43","0.72","0.72","0","0","0","2.15","1.43","0.72","1.43","0","19.84","17.93","12.56"
"574","Phillip Di Giuseppe","CAR","L","36","17.4","0.48333333333333","0","3.45","0","3.45","3.45","33.33","10.34","0.00","1.67","17.24","10.34","6.9","3.45","0","0","6.9","3.45","3.45","0","0","0","0","3.45","3.45","0","0","0","0","-"
"48","Jason Pominville","MIN","R","78","88.116666666667","1.1297008547009","0","4.77","1.36","3.4","4.77","63.64","6.81","0.00","0.73","23.15","11.58","6.81","0.68","0","0.68","0","0","0","0","0","0","0","1.36","1.36","1.36","0.68","4.09","2.04","45.39"
"690","Alexander Wennberg","CBJ","C","80","211.93333333333","2.6491666666667","0.57","5.95","2.55","3.4","6.51","65.71","5.38","10.53","0.56","11.32","7.08","4.81","1.98","0.28","1.7","0.57","0.28","0.28","0","0","0","1.7","0.28","0.57","1.13","0.57","17.27","20.67","12.89"
"686","Rasmus Ristolainen","BUF","D","79","251.23333333333","3.1801687763713","0.24","5.73","2.39","3.34","5.97","58.14","12.42","1.92","0.81","26.99","17.43","4.78","0.24","0.24","2.15","0.96","0.48","0.48","0","0","0.24","1.43","0.48","1.91","0.48","1.19","0","0","-"
"804","Nikita Zaitsev","TOR","D","82","164.21666666667","2.0026422764228","0.37","4.02","0.73","3.29","4.38","46.15","6.58","5.56","0.5","17.9","10.23","4.38","0.73","0","0.37","0","0","0","0","0","0.37","2.56","0.73","0.37","0.37","1.1","0","0","-"
"363","Brian Dumoulin","PIT","D","70","36.783333333333","0.52547619047619","0","6.52","3.26","3.26","6.52","80.00","6.52","0.00","0.42","16.31","9.79","3.26","0","0","3.26","0","0","0","0","0","0","1.63","1.63","0","1.63","0","0","0","-"
"576","Brady Skjei","NYR","D","80","111.36666666667","1.3920833333333","0","3.77","0.54","3.23","3.77","50.00","7","0.00","0.52","15.09","9.7","4.31","0.54","0","1.62","2.16","1.08","1.08","0","0","0","2.69","0.54","1.08","0.54","1.62","0","0","-"
"168","Kris Russell","EDM","D","68","19.216666666667","0.28259803921569","0","3.12","0","3.12","3.12","100.00","6.24","0.00","0.29","21.86","12.49","3.12","0","0","0","0","0","0","0","0","0","3.12","0","0","3.12","0","0","0","-"
"26","Mark Streit","PHI, PIT","D","68","154.98333333333","2.2791666666667","0.39","4.65","1.55","3.1","5.03","65.00","9.29","4.17","0.78","19.36","13.16","3.48","1.16","0","0.77","1.55","0.77","0.77","0","0","0.39","1.55","1.16","0","0.77","1.55","0","0","-"
