"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"518","Connor McDavid","EDM","C","56","233.83333333333","9","28","16","12","37","78.72","58","15.52","6.61","87","70","59","21","2","7","4","2","2","0","0","1","13","3","0","8","0","11","3","78.57"
"449","Leon Draisaitl","EDM","C","56","236.08333333333","15","17","11","6","32","69.57","76","19.74","10.86","133","105","80","27","0","9","4","2","2","0","0","1","17","1","1","10","0","146","99","59.59"
"414","Nathan MacKinnon","COL","C","48","195.46666666667","8","17","7","10","25","80.65","65","12.31","6.32","111","84","64","14","1","13","0","0","0","0","0","0","9","2","7","7","2","22","18","55.00"
"152","Victor Hedman","T.B","D","54","177.75","1","23","14","9","24","77.42","30","3.33","2.75","79","50","18","2","0","4","4","2","2","0","0","1","6","0","2","3","3","0","0","-"
"283","Jonathan Huberdeau","FLA","L","55","237.11666666667","5","19","4","15","24","72.73","42","11.90","3.96","72","53","30","9","1","5","2","1","1","0","0","0","10","3","2","7","1","4","2","66.67"
"526","Mikko Rantanen","COL","R","52","206.5","9","15","7","8","24","72.73","61","14.75","7.52","99","78","52","16","1","3","8","4","4","0","0","1","2","3","2","8","0","1","6","14.29"
"40","Anze Kopitar","L.A","C","56","177.93333333333","3","20","10","10","23","85.19","25","12.00","2.26","61","35","21","2","1","6","0","0","0","0","0","0","7","0","4","5","0","119","77","60.71"
"168","Tyson Barrie","EDM","D","56","194.65","4","19","8","11","23","63.89","23","17.39","1.85","56","32","13","0","0","3","2","1","1","0","0","0","1","2","0","3","5","0","0","-"
"606","Adam Fox","NYR","D","55","199.15","2","21","7","14","23","74.19","27","7.41","2.04","46","35","15","1","0","3","0","0","0","0","0","0","4","4","0","4","3","0","0","-"
"37","Sidney Crosby","PIT","C","55","166.06666666667","5","17","7","10","22","75.86","37","13.51","5.37","61","47","39","18","0","9","2","1","1","0","0","0","11","4","0","6","0","101","94","51.79"
"69","Nicklas Backstrom","WSH","C","55","168.18333333333","5","17","4","13","22","78.57","26","19.23","4.13","44","38","24","7","0","1","0","0","0","0","0","0","5","1","3","2","0","21","28","42.86"
"94","Patrick Kane","CHI","R","55","215.21666666667","3","19","11","8","22","81.48","48","6.25","4.84","85","63","47","6","0","5","0","0","0","0","0","1","8","6","1","6","1","0","0","-"
"718","Cale Makar","COL","D","44","182.43333333333","4","18","12","6","22","73.33","37","10.81","3.19","69","47","16","5","0","6","2","1","1","0","0","1","7","5","0","0","1","0","0","-"
"23","Joe Pavelski","DAL","C","56","173.48333333333","13","8","5","3","21","65.63","42","30.95","8.04","67","64","50","35","0","6","4","2","2","0","0","0","2","1","1","1","0","52","49","51.49"
"91","David Perron","STL","L","56","150.63333333333","6","15","9","6","21","80.77","52","11.54","5.37","99","68","37","7","0","7","6","3","3","0","0","0","6","0","0","4","2","0","0","-"
"247","Ondrej Palat","T.B","L","55","174.36666666667","7","13","6","7","20","66.67","27","25.93","3.51","51","37","26","10","0","2","2","1","1","0","0","0","3","2","4","3","1","0","1","0.00"
"281","Ryan Nugent-Hopkins","EDM","C","52","218.16666666667","9","11","7","4","20","46.51","43","20.93","5.53","86","64","61","14","1","4","6","3","3","0","0","1","7","0","0","6","0","0","0","-"
"255","Johnny Gaudreau","CGY","L","56","190.63333333333","7","12","8","4","19","76.00","37","18.92","4.11","64","50","32","4","0","1","0","0","0","0","0","0","8","0","0","2","0","0","0","-"
"415","Aleksander Barkov","FLA","C","50","199.6","7","12","9","3","19","65.52","47","14.89","5.83","75","59","42","10","0","6","2","1","1","0","0","0","3","0","3","7","0","139","82","62.90"
"754","Quinn Hughes","VAN","D","56","203.26666666667","0","19","12","7","19","79.17","34","0.00","2.3","77","45","19","4","0","3","2","1","1","0","0","1","7","2","2","12","2","0","0","-"
"48","Keith Yandle","FLA","D","56","247.95","1","17","13","4","18","56.25","47","2.13","2.62","88","58","19","3","1","5","4","2","2","0","0","1","9","4","1","1","3","0","0","-"
"56","Brad Marchand","BOS","C, L","53","170.35","4","14","10","4","18","64.29","30","13.33","3.48","62","40","32","9","2","5","0","0","0","0","0","2","5","2","2","6","0","2","2","50.00"
"259","Vincent Trocheck","CAR","C","47","133.7","7","11","5","6","18","69.23","23","30.43","4.98","44","37","42","23","0","2","2","1","1","0","0","0","4","0","2","10","1","25","17","59.52"
"285","Ryan Strome","NYR","C","56","173.71666666667","3","15","8","7","18","62.07","21","14.29","2.81","50","34","29","7","0","3","0","0","0","0","0","1","5","1","2","7","0","36","34","51.43"
"289","Dougie Hamilton","CAR","D","55","163.6","2","16","9","7","18","58.06","34","5.88","2.74","86","50","27","0","0","4","2","1","1","0","0","0","5","2","3","1","3","0","0","-"
"292","J.T. Miller","VAN","C","53","183.36666666667","3","15","8","7","18","75.00","26","11.54","3.06","59","46","33","4","0","2","0","0","0","0","0","0","8","3","1","7","0","3","9","25.00"
"389","Jake Guentzel","PIT","L","56","168.38333333333","6","12","7","5","18","60.00","36","16.67","6.21","58","45","46","27","0","7","0","0","0","0","0","2","4","1","0","13","0","0","0","-"
"528","Sebastian Aho","CAR","C","56","165.68333333333","7","11","8","3","18","60.00","37","18.92","3.98","62","49","31","6","1","7","4","2","2","0","0","1","11","2","3","7","1","15","6","71.43"
"541","Roope Hintz","DAL","L","41","115.96666666667","6","12","7","5","18","75.00","23","26.09","3.16","45","38","28","15","0","2","0","0","0","0","0","0","2","1","1","4","0","22","17","56.41"
"570","Artemi Panarin","NYR","L","42","162.23333333333","5","13","8","5","18","69.23","42","11.90","4.78","93","66","42","6","1","9","2","1","1","0","0","2","2","3","2","3","0","0","0","-"
"613","Alex DeBrincat","CHI","L","51","194.33333333333","9","9","3","6","18","75.00","35","25.71","4.82","63","43","49","13","0","6","0","0","0","0","0","1","7","0","8","4","0","3","3","50.00"
"25","Alex Ovechkin","WSH","L","45","186.55","9","8","4","4","17","58.62","62","14.52","5.53","111","86","35","8","0","5","2","1","1","0","0","0","4","2","2","2","1","0","0","-"
"42","T.J. Oshie","WSH","R","53","160.9","13","4","3","1","17","60.71","31","41.94","5.19","46","38","41","14","0","4","2","1","1","0","0","1","6","3","4","6","0","73","73","50.00"
"110","Drew Doughty","L.A","D","56","184","6","11","4","7","17","62.96","43","13.95","3.29","90","61","23","2","0","5","2","1","1","0","0","0","2","1","0","1","1","0","0","-"
"143","Mike Hoffman","STL","C","52","99.333333333333","7","10","4","6","17","73.91","38","18.42","3.17","61","50","19","2","0","5","0","0","0","0","0","1","2","1","1","1","2","0","0","-"
"239","John Klingberg","DAL","D","53","159.13333333333","2","15","6","9","17","56.67","32","6.25","1.86","53","39","5","1","0","3","2","1","1","0","0","3","3","0","0","3","1","0","0","-"
"240","Mark Stone","VGK","R","55","164.16666666667","6","11","6","5","17","80.95","22","27.27","4.99","46","38","34","22","0","2","0","0","0","0","0","0","5","0","0","2","1","2","1","66.67"
"287","Mark Scheifele","WPG","C","56","183.21666666667","4","13","5","8","17","77.27","36","11.11","3.9","66","47","31","5","0","7","4","2","2","0","0","0","4","2","2","7","1","35","18","66.04"
"765","Andrei Svechnikov","CAR","R","55","157.6","4","13","5","8","17","58.62","31","12.90","3.21","80","45","36","5","0","3","4","2","2","0","0","1","12","1","4","4","0","0","0","-"
"33","David Krejci","BOS","C","51","128.35","3","13","7","6","16","61.54","11","27.27","1.06","26","18","5","2","0","4","0","0","0","0","0","0","3","2","0","5","1","18","13","58.06"
"418","Elias Lindholm","CGY","C","56","177.71666666667","6","10","4","6","16","66.67","36","16.67","4.4","58","44","38","15","0","1","6","3","3","0","0","0","5","3","2","7","2","63","42","60.00"
"448","Sam Reinhart","BUF","R","54","163.48333333333","10","6","3","3","16","80.00","23","43.48","4.63","41","35","27","19","0","4","2","1","1","0","0","0","5","0","0","4","0","18","15","54.55"
"27","Blake Wheeler","WPG","R","50","148.91666666667","4","11","6","5","15","83.33","15","26.67","2.72","28","21","22","12","0","0","2","1","1","0","0","0","3","1","3","4","1","0","1","0.00"
"46","Kris Letang","PIT","D","55","169.01666666667","1","14","10","4","15","48.39","18","5.56","1.25","36","20","15","1","0","4","10","5","5","0","0","1","7","2","6","7","4","0","0","-"
"64","Jeff Petry","MTL","D","55","130.21666666667","4","11","5","6","15","78.95","26","15.38","1.96","46","32","11","2","0","4","2","1","1","0","0","0","2","2","5","6","1","0","0","-"
"111","Steven Stamkos","T.B","C","38","135.5","10","5","2","3","15","71.43","37","27.03","3.77","60","49","32","3","1","1","0","0","0","0","0","0","2","0","0","1","0","57","34","62.64"
"121","John Carlson","WSH","D","52","169.46666666667","3","12","6","6","15","55.56","29","10.34","3.02","65","46","22","2","1","0","0","0","0","0","0","1","2","4","3","4","2","0","0","-"
"282","Gabriel Landeskog","COL","L","54","222.01666666667","9","6","3","3","15","41.67","46","19.57","8.65","75","64","58","45","0","8","8","4","4","0","0","2","10","1","3","8","0","61","56","52.14"
"401","Shea Theodore","VGK","D","53","163.16666666667","0","15","8","7","15","78.95","36","0.00","2.57","77","53","15","0","0","4","2","1","1","0","0","0","3","2","4","3","0","0","0","-"
"481","Brayden Point","T.B","C","56","187.4","6","9","4","5","15","48.39","36","16.67","4.7","52","45","43","16","0","4","0","0","0","0","0","0","4","4","1","4","1","54","44","55.10"
"504","Victor Olofsson","BUF","L","56","165.55","7","8","6","2","15","65.22","31","22.58","3.43","62","46","20","5","0","4","0","0","0","0","0","2","5","1","1","4","0","0","0","-"
"602","Matthew Tkachuk","CGY","L","56","179.36666666667","4","11","9","2","15","65.22","45","8.89","6.69","67","59","48","31","0","5","2","1","1","0","0","1","9","0","2","6","1","1","0","100.00"
"736","Drake Batherson","OTT","R","56","178.15","5","10","6","4","15","83.33","15","33.33","2.02","37","26","18","4","0","1","0","0","0","0","0","2","6","1","9","11","0","0","0","-"
"66","Jordan Staal","CAR","C","53","136.86666666667","7","7","2","5","14","51.85","25","28.00","5.36","42","37","39","33","0","1","4","2","2","0","0","1","1","1","6","2","0","105","47","69.08"
"122","Roman Josi","NSH","D","47","144.88333333333","1","13","6","7","14","66.67","27","3.70","2.02","61","40","15","0","0","2","2","1","1","0","0","0","4","1","1","2","2","0","0","-"
"156","Oliver Ekman-Larsson","ARI","D","46","108.8","2","12","6","6","14","82.35","18","11.11","1.24","31","21","7","1","0","0","6","3","3","0","0","0","0","1","2","1","0","0","0","-"
"163","Chris Kreider","NYR","L","50","174.03333333333","11","3","2","1","14","45.16","41","26.83","9.05","60","56","52","47","0","4","4","2","2","0","0","0","8","1","3","12","0","1","2","33.33"
"286","Mika Zibanejad","NYR","C","56","199.43333333333","10","4","4","0","14","45.16","73","13.70","11.08","141","112","80","37","0","5","0","0","0","0","0","0","9","0","0","16","2","88","76","53.66"
"374","Dominik Kubalik","CHI","L","55","132.55","4","10","4","6","14","77.78","35","11.43","3.26","69","42","23","4","2","3","2","1","1","0","0","0","3","1","3","8","0","0","1","0.00"
"399","Andre Burakovsky","COL","L","53","115.3","4","10","3","7","14","77.78","23","17.39","1.98","37","27","22","2","1","1","0","0","0","0","0","0","4","1","0","8","0","0","0","-"
"457","Kevin Fiala","MIN","L","50","154.16666666667","6","8","3","5","14","87.50","59","10.17","5.31","101","79","36","11","1","3","19","4","2","1","1","3","4","2","1","3","0","2","6","25.00"
"468","David Pastrnak","BOS","R","48","166.96666666667","6","8","5","3","14","77.78","40","15.00","4.13","88","56","32","7","1","4","0","0","0","0","0","2","4","2","1","8","0","0","0","-"
"469","Adrian Kempe","L.A","C","56","161.36666666667","4","10","8","2","14","56.00","49","8.16","4.1","94","66","29","7","1","6","4","2","2","0","0","0","4","0","2","5","0","2","2","50.00"
