"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"313","Jean-Gabriel Pageau","NYI, OTT","C","67","147.93333333333","3","3","3","0","6","75.00","15","20.00","2.1","21","18","11","6","2","0","2","1","1","0","0","2","2","10","4","6","8","96","100","48.98"
"348","Vladislav Namestnikov","COL, NYR, OTT","C, L","65","113.53333333333","4","2","2","0","6","85.71","10","40.00","1.18","13","12","11","8","2","1","9","3","2","1","0","2","0","2","4","3","4","5","3","62.50"
"166","Derek Grant","ANA, PHI","C","56","134.05","3","2","2","0","5","100.00","13","23.08","1.64","15","13","11","10","1","1","2","1","1","0","0","1","1","3","2","3","4","84","84","50.00"
"327","William Karlsson","VGK","C","63","120.51666666667","2","3","3","0","5","100.00","8","25.00","1.87","12","11","8","5","3","0","0","0","0","0","0","1","1","11","4","6","9","54","64","45.76"
"335","Mika Zibanejad","NYR","C","57","151.71666666667","3","2","2","0","5","100.00","14","21.43","1.25","16","16","10","7","0","1","2","1","1","0","0","3","6","9","3","1","12","85","107","44.27"
"392","Chris Tierney","OTT","C","71","163.7","4","1","1","0","5","83.33","13","30.77","1.95","19","17","15","10","4","0","0","0","0","0","0","1","8","6","3","1","8","89","81","52.35"
"585","Sebastian Aho","CAR","C, R","68","122.03333333333","4","1","1","0","5","100.00","23","17.39","5.21","27","26","20","16","6","0","2","1","1","0","0","4","3","14","2","5","3","10","12","45.45"
"167","Matt Calvert","COL","L","50","109.05","3","1","1","0","4","80.00","11","27.27","1.13","14","12","8","3","1","1","0","0","0","0","0","5","0","5","3","0","5","3","1","75.00"
"203","Reilly Smith","VGK","R","71","135.35","2","2","1","1","4","80.00","10","20.00","1.34","15","15","12","8","1","0","0","0","0","0","0","2","3","10","6","2","4","1","6","14.29"
"214","Casey Cizikas","NYI","C","48","111.41666666667","2","2","2","0","4","100.00","9","22.22","1.34","13","12","12","8","1","0","2","1","1","0","0","1","4","9","1","2","12","66","77","46.15"
"252","Kevin Hayes","PHI","C, R","69","140.18333333333","4","0","0","0","4","100.00","17","23.53","2.24","20","20","14","8","2","2","4","2","2","0","0","0","5","8","3","6","3","27","43","38.57"
"309","Blake Coleman","N.J, T.B","C","66","174.75","3","1","1","0","4","80.00","22","13.64","2.82","30","27","22","16","5","3","4","2","2","0","0","4","5","11","10","6","7","17","47","26.56"
"342","Joel Armia","MTL","R","58","94.25","3","1","1","0","4","100.00","10","30.00","1.76","17","13","10","7","3","3","2","1","1","0","0","1","2","15","13","3","4","3","0","100.00"
"376","Teuvo Teravainen","CAR","L","68","120.96666666667","1","3","3","0","4","66.67","6","16.67","1.4","10","8","5","2","2","1","2","1","1","0","0","0","1","7","1","1","9","0","1","0.00"
"427","Carter Rowney","ANA","C, R","71","166.35","2","2","2","0","4","66.67","12","16.67","1.49","16","15","10","3","1","0","0","0","0","0","0","0","1","6","4","0","8","16","30","34.78"
"503","Pierre-Edouard Bellemare","COL","C, L","69","144.7","2","2","2","0","4","100.00","7","28.57","0.4","9","8","3","1","1","0","2","1","1","0","0","0","5","7","5","2","13","72","92","43.90"
"528","Adrian Kempe","L.A","C, L","69","62.55","2","2","2","0","4","100.00","5","40.00","0.54","8","6","6","2","2","1","4","2","2","0","0","2","3","1","3","0","1","5","5","50.00"
"575","Pavel Zacha","N.J","C","65","133.83333333333","2","2","2","0","4","100.00","16","12.50","2.21","19","19","15","9","1","1","0","0","0","0","0","2","2","7","5","1","6","18","35","33.96"
"4","Ron Hainsey","OTT","D","64","204.65","0","3","2","1","3","42.86","3","0.00","0.1","4","4","0","0","0","0","2","1","1","0","0","1","8","0","4","2","19","0","0","-"
"42","Travis Zajac","N.J","C","69","196.56666666667","1","2","2","0","3","75.00","7","14.29","1.4","14","12","12","6","2","1","2","1","1","0","0","0","1","11","4","2","8","88","97","47.57"
"77","Brad Marchand","BOS","C, L","70","111.03333333333","1","2","2","0","3","100.00","12","8.33","1.2","13","13","10","5","2","0","27","7","5","1","1","6","5","8","3","8","3","0","2","0.00"
"94","Michael Frolik","BUF, CGY","R","57","78.566666666667","2","1","1","0","3","100.00","6","33.33","1.31","12","8","2","1","0","0","0","0","0","0","0","2","1","6","1","0","5","0","2","0.00"
"124","Mikael Backlund","CGY","C","70","111.61666666667","3","0","0","0","3","100.00","12","25.00","1.81","15","14","12","6","1","0","4","2","2","0","0","0","3","8","2","0","1","31","39","44.29"
"130","Carl Hagelin","WSH","L","58","168.58333333333","1","2","2","0","3","100.00","11","9.09","1.03","16","14","9","2","1","0","2","1","1","0","0","0","3","8","3","3","7","5","6","45.45"
"225","Nic Dowd","WSH","C","56","139.66666666667","3","0","0","0","3","100.00","9","33.33","1.36","10","10","6","2","0","0","0","0","0","0","0","2","0","7","8","2","13","77","86","47.24"
"295","Josh Archibald","EDM","R","62","141.73333333333","2","1","1","0","3","100.00","7","28.57","1.23","10","9","4","1","0","0","0","0","0","0","0","0","1","8","9","4","9","0","1","0.00"
"349","Rickard Rakell","ANA","L, R","65","45.066666666667","0","3","3","0","3","100.00","6","0.00","0.43","7","7","6","1","1","2","2","1","1","0","0","1","0","3","2","0","1","0","0","-"
"357","Yanni Gourde","T.B","C","70","100.7","2","1","1","0","3","100.00","5","40.00","1.52","9","9","7","4","2","0","2","1","1","0","0","0","2","11","8","3","8","12","5","70.59"
"367","Tanner Pearson","VAN","L","69","74.4","2","1","0","1","3","100.00","7","28.57","0.6","7","7","4","1","2","0","4","2","2","0","0","0","1","3","3","0","4","1","2","33.33"
"384","Esa Lindell","DAL","D","69","262","0","3","2","1","3","60.00","11","0.00","0.16","12","11","1","1","3","0","2","1","1","0","0","0","11","10","4","3","36","0","0","-"
"385","Chandler Stephenson","VGK, WSH","C","65","77.2","2","1","1","0","3","100.00","6","33.33","0.91","9","9","8","5","2","0","0","0","0","0","0","0","2","3","3","1","6","13","17","43.33"
"453","Andrew Copp","WPG","C","63","143.45","0","3","2","1","3","100.00","13","0.00","1.52","19","15","11","8","5","2","0","0","0","0","0","2","4","7","3","1","10","34","42","44.74"
"461","J.T. Compher","COL","L","67","151.18333333333","0","3","3","0","3","100.00","6","0.00","0.55","7","7","4","2","1","1","2","1","1","0","0","1","3","7","7","4","11","76","106","41.76"
"497","Ryan Carpenter","CHI","C","69","167.73333333333","1","2","2","0","3","100.00","3","33.33","0.3","4","3","3","2","0","0","12","2","1","0","1","3","3","5","4","3","16","40","85","32.00"
"532","Ivan Barbashev","STL","C","69","110.45","2","1","1","0","3","100.00","8","25.00","1.43","9","9","4","3","1","0","4","2","2","0","0","0","2","7","6","1","6","10","12","45.45"
"542","Warren Foegele","CAR","L","68","73.266666666667","3","0","0","0","3","75.00","7","42.86","1.8","9","8","6","4","0","1","2","1","1","0","0","0","2","2","1","1","1","0","0","-"
"646","Kevin Rooney","N.J","C","49","103.25","2","1","1","0","3","100.00","10","20.00","1.41","14","13","10","4","0","2","2","1","1","0","0","0","3","3","3","2","13","18","24","42.86"
"647","Brandon Tanev","PIT","L","68","149.56666666667","2","1","1","0","3","100.00","13","15.38","2.19","20","19","11","7","2","0","6","3","3","0","0","0","4","6","14","6","21","3","3","50.00"
"775","Blake Lizotte","L.A","C","65","70.8","2","1","1","0","3","75.00","5","40.00","0.38","5","5","3","2","0","0","0","0","0","0","0","0","2","3","0","1","0","19","25","43.18"
"13","Frans Nielsen","DET","C","60","103.1","1","1","1","0","2","100.00","6","16.67","0.74","7","7","6","4","0","1","0","0","0","0","0","1","1","1","2","2","5","7","15","31.82"
"34","Brad Richardson","ARI","C, R","59","151.23333333333","1","1","1","0","2","66.67","6","16.67","1.07","13","11","8","4","0","1","2","1","1","0","0","3","3","2","3","0","4","49","61","44.55"
"37","Mark Giordano","CGY","D","60","165.05","0","2","0","2","2","50.00","6","0.00","0.1","7","6","1","0","1","0","0","0","0","0","0","3","6","9","6","2","34","0","0","-"
