"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"512","Evan Bouchard","EDM","D","82","19.183333333333","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","2","0","0","-"
"513","Isac Lundestrom","ANA","C","79","203.18333333333","0","0","0","0","0","0.00","7","0.00","1.18","10","10","8","4","1","1","0","0","0","0","0","0","3","2","4","1","16","114","167","40.57"
"514","Mattias Samuelsson","BUF","D","62","173.08333333333","0","0","0","0","0","0.00","5","0.00","0.03","5","5","0","0","2","0","4","2","2","0","0","2","5","1","19","3","24","0","0","-"
"515","Joe Veleno","CHI, DET","C","74","40.083333333333","0","0","0","0","0","-","2","0.00","0.16","4","2","2","1","0","0","0","0","0","0","0","0","0","1","1","1","2","2","6","25.00"
"516","K'Andre Miller","NYR","D","74","164.58333333333","0","0","0","0","0","0.00","9","0.00","0.37","12","10","5","0","2","1","2","1","1","0","0","0","11","5","6","2","18","0","0","-"
"517","Alexander Alexeyev","WSH","D","8","4.4833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","-"
"518","Patrick Giles","FLA, S.J","R","17","6.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","50.00"
"519","Michael Callahan","BOS","D","17","14.733333333333","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","-"
"520","Jesperi Kotkaniemi","CAR","C","78","6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","14.29"
"521","Andrei Svechnikov","CAR","R","72","2.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"523","Jack Drury","CAR, COL","C","72","99.85","0","0","0","0","0","0.00","3","0.00","0.25","4","4","4","1","1","1","2","1","1","0","0","1","2","1","2","3","12","52","48","52.00"
"526","Rasmus Kupari","WPG","C","59","63.616666666667","0","0","0","0","0","-","2","0.00","0.08","2","2","0","0","0","0","0","0","0","0","0","0","1","3","0","0","3","39","39","50.00"
"528","Barrett Hayton","UTA","C","82","69.2","0","0","0","0","0","-","2","0.00","0.37","3","3","3","1","1","0","4","2","2","0","0","0","1","2","0","3","2","24","24","50.00"
"529","Akil Thomas","L.A","C","25","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"530","Jack McBain","UTA","C","82","117.25","0","0","0","0","0","0.00","1","0.00","0.15","5","3","2","1","0","0","4","2","2","0","0","0","5","3","1","2","7","6","16","27.27"
"531","Kevin Bahl","CGY","D","73","182.31666666667","0","0","0","0","0","0.00","2","0.00","0.21","4","3","1","1","1","0","10","1","0","0","1","0","8","1","10","1","23","0","0","-"
"533","Adam Boqvist","FLA, NYI","D","35","1.7666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"534","Rasmus Sandin","WSH","D","82","51.166666666667","0","0","0","0","0","-","1","0.00","0.07","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","3","0","0","-"
"535","Nils Lundkvist","DAL","D","39","2.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"536","Jacob Bernard-Docker","BUF, OTT","D","40","3.6333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"538","Jordan Harris","CBJ","D","33","1.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"539","Michael Kesselring","UTA","D","82","34.8","0","0","0","0","0","-","0","-","0.06","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","-"
"540","Kirill Marchenko","CBJ","R","79","4.5666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"541","Ilya Lyubushkin","DAL","D","80","188.95","0","0","0","0","0","0.00","2","0.00","0.42","5","5","1","0","0","0","2","1","1","0","0","0","5","3","8","4","26","0","0","-"
"543","Declan Chisholm","MIN","D","66","12.966666666667","0","0","0","0","0","0.00","1","0.00","0.03","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","-"
"546","Jonatan Berggren","DET","R","75","0.66666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"548","David Gustafsson","WPG","C","36","7.7666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","31.25"
"549","Martin Pospisil","CGY","C","81","5.9666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
"550","Jack St. Ivany","PIT","D","19","43.533333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","6","0","0","-"
"551","Paul Cotter","N.J","C","79","4.9666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","-"
"552","Nikolai Kovalenko","COL, S.J","R","57","0.96666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"553","Cole Koepke","BOS","L","73","53.033333333333","0","0","0","0","0","-","5","0.00","0.56","6","6","4","4","2","0","0","0","0","0","0","0","4","1","3","1","0","0","0","-"
"554","Spencer Stastney","NSH","D","23","27.716666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","-"
"555","Scott Perunovich","NYI, STL","D","35","2.4833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"558","Reese Johnson","MIN","C","3","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"559","Jake Christiansen","CBJ","D","68","29.7","0","0","0","0","0","-","1","0.00","0.04","1","1","0","0","0","0","0","0","0","0","0","1","2","1","0","1","3","0","0","-"
"561","Egor Zamula","PHI","D","63","39.733333333333","0","0","0","0","0","-","2","0.00","0.01","3","2","0","0","2","0","0","0","0","0","0","0","1","2","0","0","6","0","0","-"
"563","John Ludvig","COL","D","8","2.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"564","Kyle MacLean","NYI","C","81","23.7","0","0","0","0","0","-","3","0.00","0.49","5","5","3","1","0","1","2","1","1","0","0","0","1","0","1","1","1","13","9","59.09"
"565","Jake Lucchini","NSH","C","3","5.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"566","Corey Schueneman","STL","D","4","1.7333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"569","Jimmy Schuldt","S.J","D","8","7.3","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"570","Noah Philp","EDM","C","15","1.9","0","0","0","0","0","-","1","0.00","0.07","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","42.86"
"571","Brett Leason","ANA","R","62","106.01666666667","0","0","0","0","0","-","12","0.00","0.67","18","14","5","2","3","0","4","2","2","0","0","0","2","3","2","0","9","0","7","0.00"
"573","Kirby Dach","MTL","C","57","2.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"575","Matthew Robertson","NYR","D","2","1.4666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"576","Kaedan Korczak","VGK","D","40","9.9666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"577","Dylan Cozens","BUF, OTT","C","82","47.983333333333","0","0","0","0","0","-","7","0.00","0.53","9","7","5","2","0","1","2","1","1","0","0","0","1","0","2","0","3","30","43","41.10"
"578","Alex Turcotte","L.A","C","68","0.16666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"579","Trevor Zegras","ANA","C","57","1.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"580","Nils Hoglander","VAN","L","72","0.65","0","0","0","0","0","-","1","0.00","0.12","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"581","Cole Caufield","MTL","R","82","1.3833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"582","Moritz Seider","DET","D","82","160.08333333333","0","0","0","0","0","-","4","0.00","0.05","5","4","0","0","3","0","0","0","0","0","0","0","6","1","16","1","24","0","0","-"
"583","Cam York","PHI","D","66","128.28333333333","0","0","0","0","0","0.00","0","-","0.01","1","1","0","0","1","0","0","0","0","0","0","0","6","1","1","3","34","0","0","-"
"584","Bobby Brink","PHI","R","79","2.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"585","Kaapo Kakko","NYR, SEA","R","79","0.73333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"586","John Beecher","BOS","C","78","118.23333333333","0","0","0","0","0","0.00","5","0.00","0.67","7","7","4","2","0","0","4","2","2","0","0","1","4","2","1","0","19","31","42","42.47"
"587","Matt Boldy","MIN","L","82","31.9","0","0","0","0","0","-","1","0.00","0.51","3","3","2","1","0","1","0","0","0","0","0","0","0","0","0","0","1","2","2","50.00"
"588","John Farinacci","BOS","C","1","0.91666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"590","Domenick Fensore","CAR","D","2","4.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","-"
"592","Ryan Johnson","BUF","D","3","0.066666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
