"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"152","Jiri Hudler","CGY","R","78","1168.0333333333","25","35","23","12","60","83.33","114","21.93","12.79","203","164","140","59","12","5","12","6","6","0","0","13","26","37","21","32","13","15","15","50.00"
"389","Jamie Benn","DAL","L","82","1222.0166666667","23","36","22","14","59","79.73","189","12.17","20.71","358","264","229","100","15","24","55","23","20","3","0","29","39","61","107","85","45","196","183","51.72"
"179","Ryan Getzlaf","ANA","C","77","1181.1666666667","22","33","23","10","55","79.71","140","15.71","13.7","264","210","138","46","7","17","48","21","19","2","0","12","54","44","97","70","83","542","529","50.61"
"516","Tyler Johnson","T.B","C","77","1020.6833333333","21","34","22","12","55","74.32","168","12.50","15.36","275","215","175","66","6","14","20","10","10","0","0","26","25","21","61","46","24","417","422","49.70"
"645","Vladimir Tarasenko","STL","R","77","1143.4833333333","29","26","12","14","55","78.57","213","13.62","19.79","424","304","259","59","18","16","25","11","10","1","0","26","16","34","29","88","18","0","3","0.00"
"538","John Tavares","NYI","C","82","1388.4666666667","25","29","22","7","54","75.00","205","12.20","24.92","364","283","269","130","15","17","32","16","16","0","0","20","80","88","44","90","35","600","544","52.45"
"278","Sidney Crosby","PIT","C","77","1230.9","18","35","21","14","53","84.13","181","9.94","18.69","289","244","186","84","7","19","45","17","15","1","1","27","39","34","62","99","25","604","618","49.43"
"131","Rick Nash","NYR","R","79","1061.3166666667","32","20","15","5","52","81.25","239","13.39","21.67","394","304","195","87","20","19","32","16","16","0","0","10","28","57","40","56","28","2","2","50.00"
"55","Daniel Sedin","VAN","L","82","1200.5166666667","16","35","24","11","51","87.93","175","9.14","14.1","293","233","157","59","10","18","16","8","8","0","0","15","29","17","19","80","15","2","2","50.00"
"430","Max Pacioretty","MTL","L","80","1220.1","27","24","13","11","51","76.12","247","10.93","22.04","446","331","222","92","20","24","26","13","13","0","0","13","32","34","103","133","31","1","5","16.67"
"44","Mike Ribeiro","NSH","C","82","1296.2","14","36","22","14","50","70.42","83","16.87","8.31","144","118","86","46","3","5","50","13","10","0","3","15","30","29","41","59","19","481","651","42.49"
"681","Mark Stone","OTT","R","80","1058.8333333333","20","30","20","10","50","74.63","120","16.67","15.29","203","172","133","72","10","10","8","4","4","0","0","14","34","78","43","77","43","4","7","36.36"
"705","Ondrej Palat","T.B","L","75","999.93333333333","12","38","19","19","50","69.44","120","10.00","12","228","170","156","54","5","11","22","11","11","0","0","11","34","32","113","111","35","9","23","28.13"
"749","Nikita Kucherov","T.B","R","82","1044.2","27","23","16","7","50","62.50","158","17.09","14.56","261","212","178","75","7","14","31","10","8","1","1","14","33","22","64","75","28","0","2","0.00"
"56","Henrik Sedin","VAN","C","82","1216.2166666667","13","35","17","18","48","75.00","83","15.66","11.47","130","106","81","42","7","5","18","9","9","0","0","14","28","30","23","58","19","567","692","45.04"
"185","Corey Perry","ANA","R","67","1007.7166666667","29","19","13","6","48","73.85","153","18.95","17.37","283","214","169","76","14","16","49","23","22","1","0","27","36","21","60","80","26","3","6","33.33"
"431","Jakub Voracek","PHI","R","82","1253.6833333333","11","37","23","14","48","84.21","156","7.05","11.75","288","199","139","64","9","15","72","25","21","2","2","29","33","33","52","127","28","5","3","62.50"
"540","Matt Duchene","COL","C","82","1318.2833333333","19","29","17","12","48","75.00","172","11.05","17.19","295","238","193","89","14","15","16","8","8","0","0","25","27","48","42","96","70","575","525","52.27"
"658","Tyler Seguin","DAL","C","71","1109.8333333333","24","24","21","3","48","75.00","193","12.44","18.31","351","270","190","67","9","22","18","9","9","0","0","15","34","43","59","28","25","268","223","54.58"
"225","Alex Ovechkin","WSH","L","81","1334.75","28","19","15","4","47","71.21","259","10.81","22.36","558","390","269","87","23","24","50","25","25","0","0","31","53","42","253","101","32","2","3","40.00"
"332","Nick Foligno","CBJ","L","79","1181.6833333333","20","27","12","15","47","68.12","144","13.89","14.43","214","176","146","89","7","11","41","19","18","1","0","26","17","41","179","113","43","108","121","47.16"
"409","Kyle Turris","OTT","C","82","1266.4","19","28","18","10","47","70.15","166","11.45","17.33","312","225","148","56","10","16","32","16","16","0","0","27","35","47","42","94","37","582","602","49.16"
"452","Steven Stamkos","T.B","C","82","1284.4","30","17","14","3","47","73.44","194","15.46","22.01","351","278","223","103","5","18","33","15","14","1","0","29","25","31","89","84","33","409","433","48.57"
"8","Jarome Iginla","COL","R","82","1248.8666666667","21","25","20","5","46","77.97","132","15.91","11.22","243","169","127","47","8","13","40","13","9","4","0","14","24","30","95","73","46","46","56","45.10"
"177","Zach Parise","MIN","L","74","1147.4333333333","22","24","13","11","46","76.67","197","11.17","23.27","319","263","204","117","10","35","24","12","12","0","0","17","21","40","81","70","53","2","6","25.00"
"369","Jonathan Toews","CHI","C","81","1199.5833333333","20","26","17","9","46","69.70","128","15.63","12.49","197","164","132","63","7","3","28","14","14","0","0","23","24","39","52","126","12","696","570","54.98"
"173","Jeff Carter","L.A","C","82","1130.4833333333","17","28","14","14","45","81.82","167","10.18","15.93","320","253","169","70","8","24","18","9","9","0","0","12","31","23","68","52","25","489","460","51.53"
"359","Nicklas Backstrom","WSH","C","82","1349.4166666667","15","30","17","13","45","73.77","114","13.16","12.07","217","180","124","52","12","8","40","19","19","0","0","12","29","51","88","96","43","727","619","54.01"
"518","Mike Hoffman","OTT","L","79","1007.1","26","19","13","6","45","76.27","177","14.69","16.25","315","227","174","67","14","24","14","7","7","0","0","12","38","53","40","73","33","5","7","41.67"
"647","Jaden Schwartz","STL","L","75","1109.5666666667","20","25","17","8","45","81.82","150","13.33","15.59","243","190","155","68","13","11","16","8","8","0","0","9","20","50","52","71","39","41","57","41.84"
"72","Scott Hartnell","CBJ","L","77","1121.3","20","24","18","6","44","70.97","166","12.05","14.97","255","209","145","70","5","18","92","39","36","2","1","22","35","33","150","91","36","7","6","53.85"
"226","Evgeni Malkin","PIT","C","69","1051.3166666667","19","25","12","13","44","83.02","149","12.75","15.63","266","212","178","82","10","12","56","24","23","0","1","24","37","40","21","101","17","317","420","43.01"
"228","Blake Wheeler","WPG","R","79","1157.1833333333","20","24","18","6","44","72.13","197","10.15","18.08","333","274","173","79","12","19","69","26","22","3","1","16","23","28","114","102","39","12","12","50.00"
"811","Filip Forsberg","NSH","L","82","1187.2666666667","20","24","14","10","44","67.69","196","10.20","17.63","392","308","211","74","17","22","22","11","11","0","0","24","40","48","104","99","27","3","2","60.00"
"24","Marian Hossa","CHI","R","82","1193.6833333333","15","28","17","11","43","70.49","196","7.65","17.53","358","256","208","66","6","16","28","14","14","0","0","14","21","57","56","61","21","4","1","80.00"
"615","Mats Zuccarello","NYR","R","78","1163.3833333333","15","28","17","11","43","69.35","134","11.19","11.93","239","183","133","53","2","6","39","18","17","1","0","21","38","53","118","104","37","7","11","38.89"
"657","Ryan Johansen","CBJ","C","82","1254.8166666667","17","26","15","11","43","68.25","143","11.89","13.64","250","193","147","53","9","5","30","15","15","0","0","13","41","50","79","67","27","608","554","52.32"
"713","Johnny Gaudreau","CGY","L","80","1191.6","16","27","15","12","43","64.18","131","12.21","12.55","227","172","134","60","8","10","14","6","6","0","0","22","53","64","13","39","27","3","4","42.86"
"20","Joe Thornton","S.J","C","78","1161.5333333333","11","31","21","10","42","77.78","104","10.58","12.02","197","147","86","34","8","14","28","14","14","0","0","14","78","55","38","64","22","440","306","58.98"
"195","David Backes","STL","R","80","1154","16","26","14","12","42","68.85","141","11.35","13.17","238","204","125","54","11","11","85","29","25","1","3","27","25","28","203","103","74","459","379","54.77"
"227","Andrew Ladd","WPG","L","81","1219.6","15","27","20","7","42","77.78","163","9.20","14.73","282","220","153","64","14","21","57","27","26","1","0","6","42","22","194","79","29","5","9","35.71"
"288","T.J. Oshie","STL","R","72","1091.5833333333","16","26","18","8","42","66.67","130","12.31","14.91","234","186","140","65","5","15","47","21","20","1","0","25","28","43","88","85","33","2","7","22.22"
"355","Derick Brassard","NYR","C","80","1152.4833333333","13","29","11","18","42","70.00","125","10.40","10.59","213","164","118","61","6","4","32","16","16","0","0","19","28","40","103","55","13","569","605","48.47"
"426","Patrick Kane","CHI","R","61","985.35","21","21","16","5","42","77.78","143","14.69","13.58","250","186","148","48","6","13","10","5","5","0","0","15","24","32","20","62","14","3","4","42.86"
"467","Jordan Eberle","EDM","C, R","81","1324.3","18","24","17","7","42","71.19","138","13.04","13.91","235","181","160","71","8","8","24","12","12","0","0","16","61","34","60","155","35","1","5","16.67"
"739","Brandon Saad","CHI","L","82","1148.0666666667","21","21","12","9","42","77.78","180","11.67","18.13","277","229","189","102","13","14","10","5","5","0","0","23","26","39","51","84","26","16","26","38.10"
"751","Gabriel Landeskog","COL","L","82","1273.05","15","27","19","8","42","71.19","168","8.93","13.83","283","221","134","59","9","24","63","27","24","3","0","24","28","50","156","120","70","14","19","42.42"
"752","Jonathan Huberdeau","FLA","L","79","1127.4666666667","15","27","19","8","42","77.78","141","10.64","12.37","229","173","136","65","12","17","34","17","17","0","0","27","18","34","67","122","24","2","3","40.00"
"53","Pavel Datsyuk","DET","C","63","1013.15","18","23","16","7","41","74.55","125","14.40","13.51","216","166","135","53","3","4","8","4","4","0","0","16","23","56","51","72","25","471","420","52.86"
"404","Logan Couture","S.J","C","82","1179.8333333333","19","22","16","6","41","70.69","185","10.27","17.63","348","260","194","66","14","14","10","5","5","0","0","15","57","43","81","108","55","434","449","49.15"
"530","Ryan O'Reilly","COL","C","82","1250.7833333333","14","27","18","9","41","71.93","139","10.07","12.49","215","172","129","54","5","11","12","6","6","0","0","13","23","79","34","55","38","491","440","52.74"
"750","Ryan Nugent-Hopkins","EDM","C","76","1238.4166666667","22","19","11","8","41","71.93","149","14.77","13.38","266","191","158","52","10","15","16","8","8","0","0","26","32","49","83","82","34","502","630","44.35"
"754","Ryan Strome","NYI","C, R","81","1024.1166666667","15","26","20","6","41","60.29","149","10.07","13.05","235","184","130","57","14","15","39","18","17","1","0","12","44","34","91","66","19","110","128","46.22"
"851","Sean Monahan","CGY","C","81","1290.9","20","21","13","8","41","70.69","144","13.89","14.01","265","197","165","65","16","17","12","6","6","0","0","12","45","69","35","45","38","719","748","49.01"
"39","Alex Tanguay","COL","L","80","1144.0166666667","19","21","12","9","40","74.07","76","25.00","8.69","120","94","82","50","5","7","30","15","15","0","0","6","27","32","39","61","27","8","9","47.06"
"66","Radim Vrbata","VAN","R","79","1076.05","19","21","14","7","40","76.92","189","10.05","12.72","321","251","136","49","15","12","16","8","8","0","0","6","20","31","43","39","24","4","3","57.14"
"108","Jason Pominville","MIN","R","82","1223.5","15","25","16","9","40","67.80","184","8.15","12.08","312","246","137","52","13","19","8","4","4","0","0","14","17","32","40","89","29","33","41","44.59"
