"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"347","Patrick Kane","CHI","R","82","1412.1166666667","29","40","28","12","69","82.14","216","13.43","18.17","348","276","176","59","12","14","28","14","14","0","0","21","30","34","34","114","19","7","24","22.58"
"212","Sidney Crosby","PIT","C","80","1308.8","26","35","21","14","61","81.33","182","14.29","19.35","329","254","192","83","14","20","36","18","18","0","0","24","36","38","81","102","34","770","725","51.51"
"528","Evgeny Kuznetsov","WSH","C","82","1244.3","15","44","32","12","59","73.75","156","9.62","13.91","252","202","150","54","3","7","32","16","16","0","0","21","48","60","70","50","29","497","545","47.70"
"170","Blake Wheeler","WPG","R","82","1255.15","21","36","28","8","57","80.28","208","10.10","18.18","364","290","180","71","12","19","41","19","18","1","0","28","39","31","85","85","51","9","16","36.00"
"617","Johnny Gaudreau","CGY","L","79","1281.5333333333","24","33","20","13","57","80.28","160","15.00","16.08","277","214","160","63","6","15","16","8","8","0","0","27","70","39","23","50","10","2","1","66.67"
"379","Erik Karlsson","OTT","D","82","1884.8333333333","15","41","21","20","56","59.57","189","7.94","9.24","447","290","114","24","15","27","46","23","23","0","0","17","81","57","75","137","164","0","1","0.00"
"1","Jaromir Jagr","FLA","R","79","1133.9666666667","22","33","18","15","55","76.39","113","19.47","12.34","200","164","140","63","7","8","46","22","22","0","0","12","39","32","30","50","16","0","1","0.00"
"312","Jamie Benn","DAL","L","82","1251.85","22","32","17","15","54","72.00","178","12.36","20.3","316","247","201","95","12","18","56","25","23","2","0","27","61","57","144","84","46","164","166","49.70"
"12","Joe Thornton","S.J","C","82","1201.1333333333","11","42","21","21","53","70.67","85","12.94","7.68","144","118","66","33","4","6","46","19","18","0","1","18","84","68","45","61","30","307","285","51.86"
"217","Anze Kopitar","L.A","C","81","1308.4166666667","19","34","20","14","53","68.83","122","15.57","12.86","223","172","150","80","10","10","14","7","7","0","0","24","31","35","75","108","56","702","631","52.66"
"559","Taylor Hall","EDM","L","82","1338.7","22","31","25","6","53","81.54","237","9.28","23.33","394","310","238","112","16","21","42","21","21","0","0","23","60","62","76","164","50","10","20","33.33"
"884","Artemi Panarin","CHI","L","80","1252.1333333333","22","31","16","15","53","75.71","153","14.38","14.26","274","203","150","48","7","9","32","15","15","0","0","19","32","28","43","110","14","0","0","-"
"446","John Tavares","NYI","C","78","1309.9","26","25","22","3","51","80.95","183","14.21","22.81","336","244","237","111","13","25","22","11","11","0","0","27","70","69","47","78","28","600","512","53.96"
"156","Joe Pavelski","S.J","C","82","1277.55","26","24","15","9","50","65.79","154","16.88","18.15","283","222","196","86","5","14","26","12","12","0","0","15","63","40","135","85","60","367","317","53.65"
"545","Vladimir Tarasenko","STL","R","80","1229.8166666667","28","22","12","10","50","76.92","241","11.62","21.65","440","315","275","91","13","17","30","14","14","0","0","24","30","33","29","79","26","0","1","0.00"
"670","Mark Scheifele","WPG","C","71","1103.8666666667","22","28","20","8","50","75.76","152","14.47","17.01","258","212","180","70","4","15","42","17","16","0","1","25","32","60","50","105","35","427","533","44.48"
"562","Tyler Seguin","DAL","C","72","1160.1333333333","26","23","16","7","49","69.01","184","14.13","17.3","340","253","197","76","19","13","14","7","7","0","0","16","35","20","76","29","27","447","352","55.94"
"125","Jeff Carter","L.A","C","77","1113.1666666667","19","29","15","14","48","80.00","194","9.79","19.15","361","280","178","77","15","21","16","8","8","0","0","12","31","23","80","60","31","487","519","48.41"
"167","Alex Ovechkin","WSH","L","79","1264.8833333333","31","16","3","13","47","67.14","255","12.16","21.35","502","348","243","85","24","24","49","23","22","1","0","22","38","19","220","76","34","0","0","-"
"271","Milan Lucic","L.A","L","81","1219.8666666667","18","29","22","7","47","65.28","104","17.31","13.1","226","172","136","64","10","17","58","22","19","2","1","12","48","20","231","111","22","2","8","20.00"
"83","Jussi Jokinen","FLA","L","81","1084.4833333333","12","34","19","15","46","73.02","115","10.43","9.78","186","150","97","36","7","9","28","14","14","0","0","11","36","25","42","56","33","37","45","45.12"
"351","Max Pacioretty","MTL","L","82","1179.7666666667","21","25","15","10","46","75.41","243","8.64","23.21","425","336","202","79","12","36","32","16","16","0","0","14","28","29","94","130","34","5","6","45.45"
"429","Mike Hoffman","OTT","L","78","1173.9166666667","20","26","16","10","46","79.31","181","11.05","13.76","351","247","147","51","7","17","16","8","8","0","0","14","37","40","21","54","27","7","10","41.18"
