"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"190","Cody Goloubef","OTT","D","5","1.3833333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","4","-","0","1","0","-"
"242","Tomas Tatar","MTL","L","80","2.7666666666667","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.02","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","8","-","0","1","1","0.00"
"263","Erik Haula","VGK","C, L","15","2.25","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.12","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","5","-","0","0","0","-"
"323","Tim Heed","S.J","D","37","1.3","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"465","Gemel Smith","BOS, DAL","C","17","0.58333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","1","100.00","1","0","0","100.00"
"491","Anton Blidh","BOS","L","1","1.4333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"494","Tyler Lewington","WSH","D","2","1.1","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"612","Devon Toews","NYI","D","48","3.45","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","2","9","0.00","0","1","3","0.00"
"687","Christian Wolanin","OTT","D","30","4.3","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","0","5","-","0","1","0","-"
"745","Dylan Gambrell","S.J","C","8","2.75","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","2","2","0.00","0","0","3","0.00"
"768","Erik Brannstrom","OTT","D","2","1.1833333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","3","-","0","0","0","-"
"772","Jakub Jerabek","STL","D","1","0.41666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.15","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","1","-","0","0","0","-"
"790","Andrei Svechnikov","CAR","R","82","1.1833333333333","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","1","0","5","100.00","2","1","0","100.00"
"181","Mikkel Boedker","OTT","L","71","2.1833333333333","4","1","80.00","4","1","80.00","4","1","80.00","0","0","-","0.21","0.02","91.19","4","0","100.00","4","0","100.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","0","1","0","6","-","0","1","0","-"
"515","Andre Burakovsky","WSH","L","76","3.7166666666667","4","1","80.00","4","1","80.00","4","1","80.00","0","0","-","0.14","0.04","77.74","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","1","66.67","0","0","-","0.00","100.00","1.000","1","0","1","4","50.00","1","0","3","25.00"
"243","Tyson Barrie","COL","D","78","5.6833333333333","3","1","75.00","2","1","66.67","2","1","66.67","0","1","0.00","0.09","0.56","13.22","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","1","66.67","0","1","0.00","0.00","0.00","0.000","0","0","2","18","0.00","0","0","4","0.00"
"803","Logan O'Connor","COL","R","5","2.6","3","1","75.00","1","1","50.00","1","1","50.00","0","1","0.00","0.19","0.08","71.29","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","1","50.00","0","1","0.00","0.00","0.00","0.000","0","0","1","3","0.00","0","0","1","0.00"
"796","Juuso Riikola","PIT","D","37","2.7166666666667","5","2","71.43","5","1","83.33","4","1","80.00","0","0","-","0.57","0.04","93.14","4","0","100.00","4","0","100.00","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","0.00","100.00","1.000","0","0","0","6","-","1","1","0","100.00"
"481","Joakim Ryan","S.J","D","44","11.55","6","3","66.67","4","3","57.14","2","2","50.00","1","1","50.00","0.45","0.2","68.72","5","1","83.33","3","1","75.00","1","1","50.00","2","0","100.00","0","0","-","1","2","33.33","0","0","-","50.00","50.00","1.000","0","0","4","18","0.00","1","1","5","16.67"
"574","Jake Virtanen","VAN","R","70","1.8166666666667","2","1","66.67","2","0","100.00","2","0","100.00","0","0","-","0.16","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","0","1","0","5","-","0","1","1","0.00"
"706","Matthew Tkachuk","CGY","L","80","0.63333333333333","3","2","60.00","1","2","33.33","1","2","33.33","0","1","0.00","0.03","0.22","11.64","2","2","50.00","1","1","50.00","0","0","-","1","1","50.00","0","1","0.00","1","0","100.00","0","0","-","0.00","50.00","0.500","1","0","0","4","100.00","2","0","0","100.00"
"760","Elias Pettersson","VAN","C","71","4.6833333333333","3","2","60.00","2","2","50.00","2","1","66.67","1","1","50.00","0.1","0.15","39.94","2","1","66.67","1","1","50.00","1","1","50.00","1","0","100.00","0","0","-","0","1","0.00","0","0","-","50.00","0.00","0.500","1","0","2","7","33.33","1","0","3","25.00"
"58","Alexander Radulov","DAL","R","70","1.5","1","1","50.00","1","1","50.00","1","1","50.00","0","1","0.00","0","0.54","0.05","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","1","0.00","0.00","0.00","0.000","0","0","0","8","-","0","0","0","-"
"84","James Neal","CGY","L","63","0.56666666666667","1","1","50.00","1","1","50.00","0","0","-","0","0","-","0.08","0.1","45.71","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"188","Jordan Eberle","NYI","C, R","78","1.85","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.02","0.16","10.93","1","1","50.00","0","1","0.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","1","0","5","-","1","2","0","100.00"
"251","Craig Smith","NSH","R","76","1.55","2","2","50.00","2","2","50.00","1","2","33.33","0","0","-","0.07","0.26","20.06","2","2","50.00","1","2","33.33","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","2","0","5","-","0","2","0","-"
"264","Anders Lee","NYI","L","82","1.9666666666667","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0","0.02","16.90","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","4","0","7","-","0","4","0","-"
"309","Taylor Hall","N.J","L","33","1.4","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.07","0.03","70.38","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","1","2","2","4","33.33","1","3","2","33.33"
"320","Joonas Donskoi","S.J","R","80","3.7333333333333","3","3","50.00","2","2","50.00","2","2","50.00","0","1","0.00","0.14","0.18","43.60","3","1","75.00","0","1","0.00","0","1","0.00","3","0","100.00","0","0","-","0","2","0.00","0","0","-","0.00","50.00","0.500","0","2","1","9","0.00","0","3","1","0.00"
"324","Sam Carrick","ANA","C","6","1.4333333333333","1","1","50.00","1","1","50.00","1","0","100.00","0","0","-","0.01","0.07","7.77","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"326","Brendan Gallagher","MTL","R","82","2.2","1","1","50.00","1","1","50.00","0","0","-","0","0","-","0.01","0.15","4.13","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","1","4","1","7","50.00","1","5","1","50.00"
