"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"1","Jaromir Jagr","FLA, N.J","R","77","0.6","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","4","-","0","0","0","-"
"10","Daniel Briere","COL","C","57","1.8","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","1","5","0.00","0","1","1","0.00"
"50","Chris Neil","OTT","R","38","0.75","3","0","100.00","2","0","100.00","0","0","-","0","0","-","0.04","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","1","0","0","0","100.00","1","0","0","100.00"
"92","Ales Hemsky","DAL","R","76","0.43333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","4","-","0","0","1","0.00"
"132","Alexander Semin","CAR","R","57","1.3166666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","1","3","0.00","0","0","1","0.00"
"184","Colin McDonald","NYI","R","18","0.18333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","0","-","0","0","0","-"
"239","Johan Franzen","DET","R","33","1.8166666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","1","1","6","0.00","0","1","1","0.00"
"245","Mikhail Grabovski","NYI","C","51","0.5","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","1","-","0","1","0","-"
"266","Devin Setoguchi","CGY","R","12","0.83333333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","1","1","0","50.00","1","1","1","50.00"
"404","Wayne Simmonds","PHI","R","75","0.73333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.13","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","0","5","-","0","1","0","-"
