"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"2","Joe Thornton","TOR","C","44","0.56666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","1","2","0.00","0","0","1","0.00"
"13","Dustin Brown","L.A","R","49","3.8166666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","1","6","0.00","0","0","1","0.00"
"26","Alex Ovechkin","WSH","L","45","1.9","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","6","-","0","1","1","0.00"
"27","Evgeni Malkin","PIT","C","33","1.0833333333333","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.28","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","5","-","1","0","0","100.00"
"70","Phil Kessel","ARI","R","56","0.6","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","1","100.00","1","0","0","100.00"
"143","Mike Hoffman","STL","C","52","0.83333333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","2","-","0","1","0","-"
"248","Ondrej Palat","T.B","L","55","4.9","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","1","1","0","14","100.00","1","2","0","100.00"
"307","Brad Hunt","MIN","D","12","1.65","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.38","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","4","-","0","0","0","-"
"356","Gemel Smith","T.B","C","5","1.3833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.19","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"381","Tyler Lewington","NSH","D","2","1.75","2","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.09","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","50.00","-","0.50","0","0","2","2","0.00","0","1","3","0.00"
