"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"211","Charlie Coyle","BOS","C","51","661.03333333333","561","590","48.74","439","450","49.38","321","322","49.92","22","28","44.00","21.83","25.5","46.12","246","298","45.22","82","122","40.20","9","14","39.13","164","176","48.24","9","8","52.94","275","254","51.98","3","6","33.33","6.85","91.30","0.982","84","140","78","535","51.85","171","200","162","51.35"
"323","Alex Galchenyuk","OTT, TOR","C, L","34","396.38333333333","363","382","48.72","287","290","49.74","215","203","51.44","19","25","43.18","19.88","15.63","55.98","227","197","53.54","93","61","60.39","14","11","56.00","134","136","49.63","4","7","36.36","117","167","41.20","1","7","12.50","8.84","87.68","0.965","70","105","50","339","58.33","125","142","115","52.08"
"708","Oskar Steen","BOS","C","3","38.566666666667","38","40","48.72","30","33","47.62","24","25","48.98","0","1","0.00","1.47","1.94","43.05","15","24","38.46","4","10","28.57","0","1","0.00","11","14","44.00","0","0","-","19","13","59.38","0","0","-","0.00","96.00","0.960","3","6","7","34","30.00","12","8","13","48.00"
"215","Justin Faulk","STL","D","56","1156.9833333333","971","1023","48.70","728","770","48.60","546","565","49.14","60","51","54.05","43.84","47.86","47.80","475","496","48.92","145","192","43.03","31","18","63.27","330","304","52.05","21","20","51.22","418","446","48.38","6","12","33.33","10.99","90.97","1.020","137","253","178","875","43.49","316","364","350","47.45"
"45","James Neal","EDM","L","29","297.91666666667","261","275","48.69","189","205","47.97","145","151","48.99","10","12","45.45","9.71","11.22","46.40","110","121","47.62","46","43","51.69","3","5","37.50","64","78","45.07","6","6","50.00","127","135","48.47","1","0","100.00","6.90","92.05","0.989","55","57","24","251","69.62","98","92","65","60.12"
"326","Matt Dumba","MIN","D","51","934.66666666667","799","842","48.69","612","626","49.43","429","449","48.86","45","45","50.00","37.99","34.87","52.14","364","372","49.46","166","131","55.89","25","21","54.35","198","241","45.10","11","18","37.93","368","396","48.17","7","6","53.85","10.49","89.98","1.005","95","184","108","561","46.80","255","316","285","47.22"
"39","Bobby Ryan","DET","R","33","412.75","351","370","48.68","267","288","48.11","194","217","47.20","15","28","34.88","14.12","17.47","44.70","163","159","50.62","56","55","50.45","9","10","47.37","107","104","50.71","3","10","23.08","162","173","48.36","3","5","37.50","7.73","87.10","0.948","88","88","43","305","67.18","154","122","96","61.60"
"298","Ryan Strome","NYR","C","56","794.3","706","745","48.66","529","566","48.31","394","401","49.56","46","40","53.49","34.4","34.72","49.77","340","349","49.35","127","136","48.29","21","16","56.76","213","213","50.00","13","15","46.43","314","344","47.72","11","7","61.11","11.68","90.02","1.017","118","170","103","617","53.39","250","242","230","52.08"
"533","Victor Olofsson","BUF","L","56","804.51666666667","688","726","48.66","534","584","47.76","387","427","47.54","28","49","36.36","27.72","42.14","39.68","315","361","46.60","126","157","44.52","17","23","42.50","189","204","48.09","8","12","40.00","335","313","51.70","3","9","25.00","7.24","88.52","0.958","159","178","106","580","60.00","294","232","202","59.27"
"431","Madison Bowey","CHI","D","2","21.233333333333","18","19","48.65","14","14","50.00","10","12","45.45","1","0","100.00","0.66","0.55","54.62","7","6","53.85","1","0","100.00","0","0","-","6","6","50.00","1","0","100.00","11","12","47.83","0","0","-","10.00","100.00","1.100","2","2","0","21","100.00","3","4","6","33.33"
"601","Yakov Trenin","NSH","C","44","494.13333333333","396","418","48.65","309","300","50.74","214","220","49.31","17","13","56.67","17.13","14.59","54.01","183","175","51.12","85","69","55.19","11","8","57.89","98","106","48.04","5","2","71.43","187","214","46.63","1","3","25.00","7.94","94.09","1.020","21","128","82","409","20.39","47","178","171","21.56"
"835","Adam Boqvist","CHI","D","34","453.46666666667","388","410","48.62","287","313","47.83","221","235","48.46","18","24","42.86","16.57","21.26","43.80","203","215","48.56","72","84","46.15","7","12","36.84","131","131","50.00","9","6","60.00","162","166","49.39","2","4","33.33","8.14","89.79","0.979","71","91","35","372","66.98","169","142","98","63.30"
"268","Sean Kuraly","BOS","C","47","570.11666666667","472","499","48.61","378","378","50.00","281","262","51.75","15","27","35.71","18.99","20.36","48.26","210","240","46.67","75","92","44.91","6","17","26.09","135","148","47.70","6","8","42.86","230","231","49.89","3","2","60.00","5.34","89.69","0.950","32","115","130","449","19.75","66","159","226","22.60"
