"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"563","Gabriel Carlsson","CBJ","D","14","1.6833333333333","0.1202380952381","0","35.64","0","35.64","35.64","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"439","Trevor van Riemsdyk","WSH","D","20","4.5833333333333","0.22916666666667","0","13.09","0","13.09","13.09","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.09","0","0","0","-"
"237","Anthony Bitetto","NYR","D","14","4.8166666666667","0.34404761904762","0","12.46","0","12.46","12.46","100.00","12.46","0.00","0.44","24.91","12.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"552","Mathieu Joseph","T.B","R","56","5.0333333333333","0.089880952380952","11.92","11.92","0","11.92","23.84","100.00","23.84","50.00","2.91","23.84","23.84","23.84","11.92","0","0","0","0","0","0","0","11.92","0","0","0","0","0","11.92","11.92","596.03"
"487","Lucas Wallmark","CHI, FLA","C","20","5.2833333333333","0.26416666666667","0","22.71","11.36","11.36","22.71","100.00","22.71","0.00","1.93","22.71","22.71","11.36","11.36","0","0","0","0","0","0","0","0","0","0","11.36","0","0","45.43","22.71","757.10"
"677","Gerald Mayhew","MIN","C","4","5.2833333333333","1.3208333333333","0","11.36","0","11.36","11.36","100.00","11.36","0.00","1.89","34.07","22.71","22.71","0","0","11.36","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"351","Jaccob Slavin","CAR","D","52","7.5833333333333","0.14583333333333","0","7.91","0","7.91","7.91","50.00","0","-","0","15.82","0","7.91","0","0","7.91","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"820","Zac Jones","NYR","D","10","7.9333333333333","0.79333333333333","0","7.56","0","7.56","7.56","100.00","22.69","0.00","1.58","30.25","30.25","7.56","7.56","0","0","0","0","0","0","0","0","7.56","0","0","0","0","0","0","-"
"402","Jason Dickinson","DAL","C","51","8.8166666666667","0.17287581699346","0","6.81","0","6.81","6.81","100.00","6.81","0.00","0.56","6.81","6.81","0","0","0","0","0","0","0","0","0","0","0","0","0","13.61","0","13.61","34.03","194.44"
"234","Sam Carrick","ANA","C","13","9.2833333333333","0.71410256410256","0","6.46","0","6.46","6.46","100.00","12.93","0.00","2.02","19.39","19.39","12.93","12.93","0","0","12.93","6.46","6.46","0","0","0","0","0","0","6.46","0","25.85","12.93","430.88"
"104","Lars Eller","WSH","C","44","37.7","0.85681818181818","0","6.37","0","6.37","6.37","80.00","12.73","0.00","1.12","15.92","15.92","6.37","1.59","0","1.59","0","0","0","0","0","0","1.59","0","0","3.18","0","30.24","25.46","86.40"
"519","Jack Eichel","BUF","C","21","72.183333333333","3.4373015873016","0.83","6.65","0.83","5.82","7.48","69.23","14.13","5.88","1.72","29.09","24.94","13.3","1.66","0","0","0","0","0","0","0","0","3.32","0","0","2.49","0","34.91","24.94","48.49"
"661","Brandon Hagel","CHI","L","51","31","0.6078431372549","0","5.81","0","5.81","5.81","75.00","5.81","0.00","1.29","7.74","5.81","5.81","5.81","0","0","0","0","0","0","0","1.94","1.94","1.94","1.94","1.94","0","3.87","1.94","129.03"
"714","Jack Rathbone","VAN","D","8","10.733333333333","1.3416666666667","0","5.59","0","5.59","5.59","100.00","22.36","0.00","1.52","39.13","22.36","11.18","0","0","0","0","0","0","0","0","0","5.59","5.59","0","5.59","0","0","0","-"
"32","Alex Goligoski","ARI","D","56","55.05","0.98303571428571","0","7.63","2.18","5.45","7.63","87.50","3.27","0.00","0.51","7.63","4.36","4.36","2.18","0","0","0","0","0","0","0","0","1.09","0","0","2.18","0","0","0","-"
"377","MacKenzie Weegar","FLA","D","54","23.683333333333","0.43858024691358","0","7.6","2.53","5.07","7.6","100.00","7.6","0.00","0.66","10.13","7.6","2.53","2.53","0","0","5.07","2.53","2.53","0","0","0","2.53","0","2.53","0","0","0","0","-"
"732","Alexander Volkov","ANA, T.B","R","37","12.333333333333","0.33333333333333","0","4.86","0","4.86","4.86","100.00","4.86","0.00","0.88","9.73","9.73","4.86","4.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"206","Justin Faulk","STL","D","56","49.483333333333","0.88363095238095","1.21","4.85","0","4.85","6.06","71.43","14.55","8.33","0.85","21.83","15.76","3.64","0","0","1.21","0","0","0","0","0","0","0","1.21","1.21","0","0","0","0","-"
