"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"134","Matt Nieto","PIT","L","32","1.1666666666667","0.036458333333333","0","51.43","0","51.43","51.43","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"118","Josh Manson","COL","D","48","1.9","0.039583333333333","0","31.58","0","31.58","31.58","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"745","Nikita Chibrikov","WPG","R","4","3.2833333333333","0.82083333333333","0","18.27","0","18.27","18.27","50.00","18.27","0.00","2.59","18.27","18.27","18.27","18.27","0","0","0","0","0","0","0","0","0","0","18.27","0","0","0","0","-"
"528","Isac Lundestrom","ANA","C","79","4.9333333333333","0.062447257383966","0","12.16","0","12.16","12.16","100.00","12.16","0.00","0.77","12.16","12.16","12.16","12.16","0","0","0","0","0","0","0","0","0","0","0","0","0","60.81","36.49","760.14"
"61","Dmitry Kulikov","FLA","D","70","6.3666666666667","0.090952380952381","0","9.42","0","9.42","9.42","33.33","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"694","Rory Kerins","CGY","C","5","6.3833333333333","1.2766666666667","0","9.4","0","9.4","9.4","100.00","9.4","0.00","4.5","37.6","18.8","37.6","18.8","0","9.4","0","0","0","0","0","0","0","0","0","0","0","0","9.4","0.00"
"739","Ville Koivunen","PIT","R","8","21.35","2.66875","0","8.43","0","8.43","8.43","50.00","5.62","0.00","2.06","19.67","8.43","11.24","8.43","0","8.43","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"560","Pontus Holmberg","TOR","R","68","7.5666666666667","0.11127450980392","0","7.93","0","7.93","7.93","100.00","7.93","0.00","1.14","15.86","15.86","7.93","0","0","0","0","0","0","0","0","0","7.93","0","0","0","0","7.93","15.86","264.32"
"784","Simon Nemec","N.J","D","27","15.933333333333","0.59012345679012","0","7.53","0","7.53","7.53","50.00","7.53","0.00","0.63","26.36","15.06","3.77","0","0","0","0","0","0","0","0","0","0","0","0","7.53","0","0","0","-"
"696","Artem Zub","OTT","D","56","8.2833333333333","0.14791666666667","0","7.24","0","7.24","7.24","100.00","7.24","0.00","0.24","7.24","7.24","0","0","0","0","0","0","0","0","0","0","0","7.24","0","0","0","0","0","-"
"133","Joel Edmundson","L.A","D","73","8.5666666666667","0.11735159817352","0","7","0","7","7","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"658","Tyler Kleven","OTT","D","79","9.15","0.11582278481013","0","6.56","0","6.56","6.56","inf","26.23","0.00","1.82","45.9","32.79","13.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"185","Adam Pelech","NYI","D","60","10.5","0.175","0","5.71","0","5.71","5.71","100.00","5.71","0.00","0.12","5.71","5.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"322","Jack Eichel","VGK","C","77","213.23333333333","2.7692640692641","1.41","8.16","2.53","5.63","9.57","72.34","16.04","8.77","1.43","23.64","17.45","9","1.97","0.28","1.41","0.56","0.28","0.28","0","0","0","3.38","0","0.28","1.97","0.56","7.88","5.91","16.08"
"790","Sam Rinzel","CHI","D","9","21.633333333333","2.4037037037037","0","8.32","2.77","5.55","8.32","100.00","11.09","0.00","0.44","27.73","11.09","8.32","0","0","0","0","0","0","0","0","0","0","0","2.77","0","0","0","0","-"
"425","Jesper Bratt","N.J","L","81","230.61666666667","2.8471193415638","1.04","7.81","2.6","5.2","8.85","68.00","8.85","11.76","1.32","15.61","11.71","10.15","3.38","0.26","2.34","1.04","0.52","0.52","0","0","0","2.34","0.78","1.04","1.3","0","0","0","-"
"407","Kieffer Bellows","NSH","L","19","11.9","0.62631578947368","0","10.08","5.04","5.04","10.08","66.67","5.04","0.00","1.51","20.17","20.17","5.04","5.04","0","5.04","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"762","Luca Del Bel Belluz","CBJ","C","15","12.116666666667","0.80777777777778","0","4.95","0","4.95","4.95","100.00","4.95","0.00","0.17","4.95","4.95","0","0","0","0","0","0","0","0","0","0","4.95","0","0","0","0","4.95","4.95","247.59"
"183","Shayne Gostisbehere","CAR","D","70","239.6","3.4228571428571","1","5.76","1.5","4.26","6.76","67.50","9.52","10.53","0.85","24.54","15.03","7.76","0","0","2.5","1","0.5","0.5","0","0","0","2.5","2","0.25","0","1.75","0","0","-"
"152","Vladislav Namestnikov","WPG","C","78","99.616666666667","1.2771367521368","1.2","5.42","1.2","4.22","6.63","61.11","8.43","14.29","1.98","13.85","12.05","10.24","6.63","0","4.22","0","0","0","0","0","0","0.6","0","0.6","4.82","0","16.86","13.85","33.07"
"32","Alec Martinez","CHI","D","44","28.583333333333","0.64962121212121","0","4.2","0","4.2","4.2","66.67","4.2","0.00","0.5","18.89","8.4","6.3","0","0","2.1","0","0","0","0","0","0","4.2","2.1","0","0","0","0","0","-"
"720","Luke Hughes","N.J","D","71","116.8","1.6450704225352","0","8.22","4.11","4.11","8.22","88.89","9.25","0.00","0.8","25.17","12.33","12.84","1.54","0.51","0.51","0","0","0","0","0","0","4.11","1.03","1.03","1.03","1.03","0","0","-"
