"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"529","Adrian Kempe","L.A","C, L","69","172.46666666667","2.4995169082126","0.7","2.78","1.74","1.04","3.48","52.63","13.92","5.00","1.4","24.7","20.87","10.44","3.48","0","2.44","0","0","0","0","0","0.35","1.39","0","1.74","2.09","0","3.48","1.04","26.76"
"303","Andrew Shaw","CHI","C, R","26","58.766666666667","2.2602564102564","1.02","1.02","0","1.02","2.04","40.00","8.17","12.50","1.33","10.21","9.19","10.21","6.13","0","0","0","0","0","0","0","1.02","4.08","1.02","3.06","2.04","0","6.13","10.21","38.29"
"485","Alexander Wennberg","CBJ","C","57","117.41666666667","2.0599415204678","0.51","2.04","1.02","1.02","2.56","38.46","6.64","7.69","0.84","10.73","9.2","5.62","2.56","0","0.51","0","0","0","0","0","0.51","1.53","1.02","1.53","3.58","0","14.31","18.91","22.01"
"19","Eric Staal","MIN","C","66","177.88333333333","2.695202020202","1.69","3.04","2.02","1.01","4.72","60.87","8.1","20.83","1.38","14.5","12.48","8.77","5.06","0","1.01","0","0","0","0","0","0","3.04","0.34","1.01","1.69","0","29.35","28.33","17.16"
"166","Gustav Nyquist","CBJ","C","70","178.46666666667","2.5495238095238","1.01","2.02","1.01","1.01","3.03","56.25","10.76","9.38","1.57","16.14","13.45","9.41","5.38","0","1.01","0","0","0","0","0","0","1.34","0","1.34","2.35","0","1.01","0.34","25.21"
"507","Sam Reinhart","BUF","C","69","237.45","3.4413043478261","1.26","1.77","0.76","1.01","3.03","37.50","7.33","17.24","1.4","14.4","12.89","9.35","5.05","0","0.76","1.01","0.51","0.51","0","0","0.25","1.26","0.25","0.51","3.28","0.25","2.53","3.28","10.99"
"558","Victor Olofsson","BUF","L, R","54","178.46666666667","3.3049382716049","3.7","2.02","1.01","1.01","5.72","68.00","15.13","24.44","1.57","25.89","20.84","11.77","1.34","0","0.67","0","0","0","0","0","0","2.02","0.34","0","2.02","0","0","0","-"
"314","Jean-Gabriel Pageau","NYI, OTT","C","67","119.76666666667","1.7875621890547","2.5","2.5","1.5","1","5.01","62.50","7.01","35.71","1.47","14.03","12.02","12.02","6.01","0","1","2.5","0.5","0","0.5","0","0","3.01","0","2","2","0.5","35.57","24.05","29.89"
"627","Kevin Stenlund","CBJ","C","32","60.816666666667","1.9005208333333","2.96","1.97","0.99","0.99","4.93","83.33","13.81","21.43","1.13","19.73","15.79","7.89","0.99","0","1.97","1.97","0.99","0.99","0","0","0.99","3.95","0.99","0","5.92","0","1.97","0.99","65.77"
"364","Matt Dumba","MIN","D","69","184.16666666667","2.6690821256039","0.33","2.28","1.3","0.98","2.61","47.06","13.36","2.44","0.9","28.34","19.55","5.86","0.98","0","1.95","1.63","0.33","0","0.33","0","0.65","0.65","0.98","3.26","1.95","0.65","0","0","-"
"511","Jake Virtanen","VAN","R","69","61.016666666667","0.88429951690821","5.9","2.95","1.97","0.98","8.85","81.82","17.7","33.33","1.9","33.43","24.58","10.82","1.97","1.97","2.95","0","0","0","0","0","0","0.98","1.97","0.98","0.98","1.97","0.98","0.98","49.17"
"534","Marcus Pettersson","PIT","D","69","61.45","0.89057971014493","0","1.95","0.98","0.98","1.95","40.00","5.86","0.00","0.54","19.53","11.72","3.91","0","0","0.98","0","0","0","0","0","0","1.95","0","0.98","0.98","0","0","0","-"
"613","Denis Gurianov","DAL","R","64","121.83333333333","1.9036458333333","3.45","2.46","1.48","0.98","5.91","75.00","13.79","25.00","1.62","29.06","19.7","11.82","4.43","0.98","0.98","1.97","0.98","0.98","0","0","0.49","0.98","0.49","0","0.98","0","0","0","-"
"446","Jake Guentzel","PIT","C, L","39","123.8","3.174358974359","2.91","1.94","0.97","0.97","4.85","62.50","10.66","27.27","2.17","16.96","13.57","14.05","9.69","0","1.94","0","0","0","0","0","0.97","1.94","0","1.45","5.82","0.48","0.97","1.94","16.16"
"731","Max Comtois","ANA","L","29","63.483333333333","2.1890804597701","1.89","0.95","0","0.95","2.84","33.33","7.56","25.00","1.44","17.01","13.23","14.18","6.62","0","0","0","0","0","0","0","0","1.89","0","1.89","1.89","0","0","0","-"
"13","Frans Nielsen","DET","C","60","64.716666666667","1.0786111111111","0","1.85","0.93","0.93","1.85","66.67","7.42","0.00","1.65","11.13","11.13","8.34","7.42","0","0.93","0","0","0","0","0","0","0.93","0","0","3.71","0.93","7.42","11.13","37.08"
"179","Tyler Johnson","T.B","C","65","128.76666666667","1.9810256410256","0.47","2.8","1.86","0.93","3.26","43.75","8.85","5.26","1.01","13.05","11.18","9.32","4.19","0","1.4","0","0","0","0","0","0","1.4","0.93","0.93","1.4","0","13.05","7.92","28.99"
"244","Charlie Coyle","BOS","C","70","130.7","1.8671428571429","0.46","1.84","0.92","0.92","2.3","38.46","7.35","6.25","1.42","12.39","10.1","10.1","6.43","0","1.38","0.92","0.46","0.46","0","0","0","1.38","0","1.84","1.38","0","15.15","13.31","24.43"
"475","Jonathan Drouin","MTL","L","27","64.9","2.4037037037037","0.92","2.77","1.85","0.92","3.7","100.00","12.02","7.69","0.75","15.72","13.87","5.55","0.92","0","0.92","3.7","1.85","1.85","0","0","0.92","0.92","0.92","0","0.92","0","0","0.92","0.00"
